gene_short_name	scaled_TPM	group_number
sst-20	3.0204309115982703e-15	1
Y116A8C.3	6.3467813863580705e-15	1
clec-178	9.8921163005976e-15	1
mig-6	1.01242767973934e-14	1
Y73F4A.1	1.10395485958161e-14	1
W02D9.7	1.23112155486266e-14	1
K02E7.11	1.2730796131934801e-14	1
F32E10.8	1.73510706297776e-14	1
ttr-1	1.9462871793432102e-14	1
F55B11.3	2.74480805808375e-14	1
K07A1.6	3.93486518214514e-14	1
ZK856.5	1.0280642759269799e-13	1
Y62H9A.4	1.0592540205077899e-13	1
K07A1.20	2.66278245632262e-13	1
snf-9	3.12752243377691e-13	1
F56C4.4	5.74860366311649e-13	1
M01E5.1	8.05236368829998e-13	1
F57A8.6	1.2298903465555399e-12	1
C46E10.1	5.73131589604495e-12	1
ZK84.2	6.99255943692108e-12	1
Y62H9A.3	9.508807184734869e-12	1
F28A10.3	9.91804238899845e-12	1
fut-4	1.3301563274715699e-11	1
ule-5	3.8584504342820895e-11	1
F35C12.3	1.31813558949643e-10	1
F28A10.5	1.78372416979305e-10	1
ule-3	1.07009720744758e-09	1
clec-151	4.209755039831961e-09	1
M162.7	4.50763206816725e-09	1
K10G6.4	7.0011552930789e-09	1
W02D9.6	1.63241231003692e-08	1
irld-6	1.64308392573782e-08	1
F54B3.2	6.30143238582152e-08	1
ssp-37	9.66563114743294e-08	1
ttbk-2	1.19185399199085e-07	1
Y57G7A.6	1.33098940702241e-07	1
C04H5.7	1.609418713402e-07	1
ZK813.3	1.72783275114727e-07	1
oac-9	6.60300382344967e-07	1
F57C2.4	7.6477641472392e-07	1
F17E9.4	1.12735143768311e-06	1
ttr-14	1.27619303116786e-06	1
D1054.10	1.29346981214112e-06	1
Y69H2.3	1.60429747715374e-06	1
K08F4.5	2.39138890674263e-06	1
Y37D8A.19	3.73437814419094e-06	1
nas-20	4.31813997834216e-06	1
ets-9	5.54909271901939e-06	1
C09D4.3	7.84047714211711e-06	1
Y41C4A.7	9.67767984928416e-06	1
Y62H9A.5	1.31740005199708e-05	1
ZK813.7	2.74793669878665e-05	1
F31D5.1	4.58221287832535e-05	1
C14F11.4	5.64910379514516e-05	1
ZC190.8	6.00160767071327e-05	1
W09C3.8	6.77814698655687e-05	1
tbx-34	8.51745297054284e-05	1
mpz-4	0.0001652255462015	1
ZC373.2	0.0001830241563076	1
F35E2.9	0.0001857885422906	1
pqn-15	0.000212153977839	1
B0238.7	0.000277417720993	1
ZK813.1	0.0002800108130592	1
Y39B6A.30	0.0002967494289342	1
Y73F8A.14	0.0003544957502344	1
fbxa-202	0.0006242411688108	1
F55B11.2	0.0007297436700554	1
W03D8.3	0.0015323873688304	1
F54F7.3	0.0025238663736919	1
K03B4.6	0.0036304650132928	1
ZK262.4	0.0059424013050363	1
ttr-28	0.0075890278219071	1
Y55B1AR.4	0.0088535019396429	1
szy-20	0.0118369296897089	1
pgp-14	0.0131444970715294	1
ZK688.10	0.0181614670368746	1
BE0003N10.1	0.0217245791971892	1
F22F7.11	0.0227630264645269	1
fbxa-101	0.0261354181161678	1
cacn-1	0.0272390628970514	1
tsen-54	0.0323768596968584	1
col-89	0.0354465541188717	1
pfkb-1.2	0.0383670283484151	1
spe-4	0.0466868047467323	1
D1025.1	0.0534323780955052	1
skr-17	0.0635557322647019	1
Y102A5C.2	0.0714100977222675	1
nep-6	0.0729990588856615	1
Y67D8A.2	0.0829446916689139	1
brp-1	0.0881690350994808	1
C36E6.2	0.0892354942329557	1
C50F2.5	0.0892447031544822	1
T24H7.3	0.0926792007897219	1
ifa-1	0.0967940610252049	1
dhs-26	0.0986074261938657	1
ZC513.3	0.100473083243152	1
mys-4	0.105609653466336	1
hil-3	0.105735736032754	1
Y11D7A.9	0.106566530150072	1
F25H9.7	0.115824202269603	1
K12C11.5	0.136514239805251	1
Y47G6A.3	0.140067407370137	1
B0432.11	0.140449541592028	1
nhr-183	0.140801403650029	1
syx-17	0.145655640696203	1
ceh-8	0.148013587673754	1
Y38F1A.1	0.149709012874088	1
B0432.13	0.1498060436296	1
T02C12.5	0.151039148199914	1
R05H11.1	0.161047171587295	1
Y51F10.3	0.176850489817229	1
epg-2	0.179250414398313	1
Y105E8A.25	0.18373570380014	1
Y54G2A.13	0.186023106518548	1
msp-32	0.189510097514151	1
H06I04.6	0.198929789986752	1
F22B5.5	0.199683341469428	1
pqn-62	0.214316894903516	1
mtm-5	0.225957779008966	1
F55F10.3	0.227989517954164	1
msp-77	0.230679313638293	1
T24B8.5	0.2320846424791	1
F27C8.5	0.243084005831704	1
uggt-2	0.252026457220981	1
Y62E10A.3	0.255484682065003	1
F58A6.5	0.257387413548342	1
xpc-1	0.267800947970962	1
spds-1	0.271875011740341	1
acs-21	0.279561331254987	1
R12B2.2	0.279827048181678	1
tsp-19	0.285574984442913	1
F07F6.1	0.285591842287775	1
ZC21.8	0.29961945963732	1
nhr-156	0.301499304089935	1
slc-25A21	0.302206527731253	1
W03F11.4	0.308475452820162	1
F26A3.1	0.313938895573907	1
C06C6.9	0.319572209051292	1
C17G10.3	0.347961061204042	1
nlp-4	0.370124236931581	1
Y71F9AL.2	0.371414381673157	1
tep-1	0.375497084990658	1
Y51B9A.5	0.384300724399421	1
Y39G8B.2	0.405051325480028	1
C01G5.4	0.42389024706464	1
fbxc-47	0.433715837440997	1
C17C3.11	0.434107565257203	1
F36A2.14	0.434136539381056	1
Y66A7A.9	0.436603971460985	1
C33H5.16	0.440419267123506	1
Y54G11A.1	0.447040217656247	1
msp-113	0.448123466001975	1
gld-3	0.453733052452557	1
ndx-2	0.466140306655424	1
Y41E3.18	0.474624471364493	1
Y26D4A.12	0.489707085710895	1
F54H5.5	0.51693920790433	1
Y53C10A.10	0.518310869080465	1
H38K22.6	0.531872304299275	1
glct-6	0.535550307047892	1
R07E5.6	0.547849605898437	1
F42A9.7	0.562478559504449	1
D1086.11	0.566720981701895	1
T08B6.9	0.568185761757888	1
F22G12.5	0.623632325422329	1
E04F6.4	0.625177555577958	1
nft-1	0.64842261240321	1
Y45F3A.1	0.655442008277638	1
icp-1	0.664985551903044	1
B0393.4	0.66760003695827	1
F19C7.5	0.712769295818944	1
pssy-2	0.723320492140625	1
F25H5.7	0.727070754692507	1
F14F7.4	0.728150080263539	1
Y39G10AR.15	0.740648527583531	1
glr-4	0.785245022617442	1
F59A6.4	0.789000519732702	1
mut-16	0.83529456204271	1
K09C6.8	0.844315057065166	1
F13A7.7	0.875361194007524	1
Y23H5A.3	0.8875809391898	1
ssp-9	0.90947532755279	1
T06E4.5	0.954047963330851	1
F13D12.5	0.9631336863328	1
Y40B1A.1	0.971696437500614	1
ceh-84	0.973128235609749	1
K03H1.12	1.02933000472474	1
Y57G11B.5	1.05510496179801	1
F10G8.2	1.07326631512717	1
K02F6.1	1.09061984561406	1
C47E12.11	1.12877332199854	1
H05L14.1	1.1754688219701	1
F38H4.6	1.18610076228778	1
F23C8.8	1.20023462985726	1
Y69A2AR.23	1.24349082669469	1
F54F7.14	1.25078176885843	1
R11E3.1	1.26708758602205	1
H08M01.1	1.28192156875103	1
pfk-1.2	1.28770921237461	1
enu-3.5	1.29643169549314	1
F08F8.6	1.30023569055662	1
grl-16	1.32365156041821	1
F56A8.4	1.32913314982545	1
C32C4.3	1.34510396904421	1
Y67D8B.5	1.34952845549489	1
set-13	1.35363010958921	1
mua-3	1.36620406801844	1
K11D12.13	1.37532211666237	1
Y106G6E.1	1.37634753206813	1
Y105C5B.11	1.37800216132957	1
ZK622.1	1.39659629550823	1
spe-27	1.39765833657241	1
mex-1	1.40267625727015	1
F44D12.6	1.43151045648847	1
C18H9.5	1.45599886321767	1
T11F8.4	1.47494551268477	1
npp-4	1.49397183007788	1
R13A1.3	1.50068582426922	1
F25G6.1	1.52001800472293	1
T22C1.9	1.5484114896318	1
H27M09.5	1.55213360491082	1
zipt-22	1.5523069301142	1
Y6E2A.10	1.55563027450487	1
C17H12.5	1.55722007494364	1
F33D11.2	1.57910129522739	1
F32B4.2	1.59345144598575	1
R07C3.13	1.63578986204287	1
C35A5.4	1.65109283032454	1
T22A3.12	1.66508319404776	1
clec-153	1.69204656423308	1
F22D6.8	1.75685160859373	1
col-154	1.78532098053272	1
K09C4.6	1.78798226848091	1
R03D7.4	1.81333655614809	1
Y48C3A.14	1.83835113360587	1
rtcb-1	1.84454308427197	1
T23B7.2	1.84678552901915	1
F56F3.4	1.87721994068746	1
wago-4	1.92937089670641	1
drr-2	1.9363911302295	1
F54D8.6	1.96629761608206	1
Y87G2A.20	1.97010734373582	1
eri-9	1.98247636392401	1
Y57G7A.3	1.98509251616747	1
ZK892.5	2.02907761440157	1
fbxa-218	2.04376790448305	1
F21C3.6	2.06816628994934	1
Y73F4A.2	2.08318692458677	1
F58D5.7	2.10986384596587	1
sth-1	2.13174139978671	1
mys-2	2.14573882721844	1
C16C8.18	2.14936014222951	1
kin-5	2.16167018914899	1
Y39B6A.18	2.17726478438474	1
Y46G5A.14	2.18249803168585	1
dom-3	2.2431738817915	1
cit-1.1	2.25278306253356	1
dnc-6	2.26452697264259	1
C28D4.5	2.28236677528843	1
R07H5.11	2.30680887329117	1
C13C4.6	2.32031435967473	1
T28B8.6	2.33229997539566	1
C47E8.1	2.34846875198716	1
tbx-36	2.36446323519185	1
ZK418.13	2.37113424159843	1
T06C10.3	2.3723944535468	1
rib-1	2.42309586193519	1
R04B3.2	2.42407867249384	1
ttr-29	2.43023647261474	1
ZK524.4	2.43456184762491	1
B0513.90	2.43529475718743	1
K07C5.6	2.43586284095986	1
