gene_short_name	scaled_TPM	group_number
cup-4	1.19492014504666e-15	1
F55B11.3	2.00174855508609e-15	1
C18A3.1	4.5989079800789e-15	1
clec-222	5.588770933638271e-15	1
cof-2	9.305929937192861e-15	1
clec-178	9.56552162995923e-15	1
ZC317.7	9.915046569854041e-15	1
Y62H9A.4	1.0556899598471701e-14	1
ZC116.3	1.3055276576397801e-14	1
Y116A8C.3	1.39620433895612e-14	1
E02H4.4	2.27402330159779e-14	1
his-16	2.32118437374777e-14	1
ttr-1	2.58338483265872e-14	1
T02E1.7	2.7957112601075202e-14	1
ssp-37	2.93568335238097e-14	1
F54F7.9	3.52084279156407e-14	1
K07A1.6	4.4419907522375903e-14	1
Y39F10A.3	4.82485008082853e-14	1
col-187	7.44579411837953e-14	1
fut-4	7.58520395079942e-14	1
fbxa-62	1.40800492611063e-13	1
eol-1	1.7857169389902e-13	1
cyp-33B1	2.25185749822306e-13	1
C54D10.4	6.52847704312502e-13	1
H29C22.1	8.85751488926286e-13	1
T05B4.14	1.35692846620941e-12	1
Y62H9A.3	1.4354753600917299e-12	1
irld-18	2.86907004617847e-12	1
lgc-28	5.17032633151921e-12	1
ule-3	6.0584093102307296e-12	1
srh-4	6.50429222640378e-12	1
F35C12.3	7.529513665414599e-12	1
clec-151	4.6900465398604796e-11	1
W02D9.7	1.0500043499023401e-10	1
Y62H9A.5	3.55150713738966e-10	1
K02F6.3	3.99070245422374e-10	1
W02D9.6	1.19575855642604e-09	1
ZK1010.5	1.6710538518625702e-09	1
ZC190.7	2.4785203488364803e-09	1
Y105C5B.17	4.1326771284849e-09	1
F15B10.3	6.2386935958913405e-09	1
Y73F4A.1	1.1381043613676e-08	1
T19H5.7	2.51686039231489e-08	1
W07E6.3	2.8272708624929e-08	1
F07F6.1	3.8170711790919e-08	1
ZK813.3	4.16938058150955e-08	1
pes-8	1.12148281732317e-07	1
F26B1.1	1.8931039119556e-07	1
E02H9.7	5.35150605609193e-07	1
sst-20	5.6320979434311e-07	1
ZC376.8	7.41615655142616e-07	1
T20H9.6	9.33749542039293e-07	1
D1054.10	9.62366394306252e-07	1
acp-4	1.58212728685411e-06	1
F57C2.4	1.58534414796237e-06	1
