gene_short_name	scaled_TPM	group_number
aman-1	4.61693793190986e-16	1
Y116A8C.3	1.3440384095757101e-15	1
lgc-28	3.2332454262006903e-15	1
Y62H9A.4	6.0359907172594605e-15	1
ttr-1	1.19679705010065e-14	1
clec-178	1.52488064780299e-14	1
K02E7.11	2.23127444600803e-14	1
inx-18	3.174173641579e-14	1
F35E2.5	3.64129131588703e-14	1
K07A1.6	5.20837378342854e-14	1
Y51A2B.6	7.40329457988115e-14	1
C18H7.7	7.660500580062681e-14	1
F57A8.6	8.57866560933359e-14	1
nhr-60	6.23384336668619e-13	1
K09C6.10	8.54374041864044e-13	1
Y62H9A.3	1.02806415910408e-12	1
phat-4	1.2021646151238499e-12	1
ssp-37	2.1722331385242597e-12	1
nhr-27	2.29221898172332e-12	1
rpi-2	2.54763042744581e-12	1
F35C12.3	1.2013527914999599e-11	1
ule-3	1.2505930127771e-11	1
nep-20	1.94441164341727e-11	1
W02D9.6	2.40387645205772e-10	1
F55B11.3	6.22879992697773e-10	1
F36A4.5	6.78978764867482e-10	1
H29C22.1	1.2799753766373202e-09	1
tag-314	2.36905963009224e-09	1
Y105C5B.17	2.8701282922368e-09	1
Y49E10.29	3.88894011245186e-09	1
Y73F4A.1	4.79172882593188e-08	1
W04E12.5	4.97487055837014e-08	1
ZK813.3	5.81952103904622e-08	1
fut-5	7.03600955719986e-08	1
nep-23	1.25255759519019e-07	1
W02D9.7	2.86627276030237e-07	1
F57C2.4	2.92224712113416e-07	1
F17E9.4	3.29143866778387e-07	1
Y57G11B.3	3.48442761804501e-07	1
R03G8.6	4.47913655919108e-07	1
ttr-14	4.97968474332383e-07	1
scl-23	1.19085489675091e-06	1
Y62H9A.5	1.21781392044207e-06	1
zig-2	2.62151740203965e-06	1
D1054.10	5.73461685859244e-06	1
C04H5.7	8.57410981226689e-06	1
Y1A5A.1	1.04158580383257e-05	1
ZK262.2	1.54614635346247e-05	1
F44F4.10	2.45341321055649e-05	1
R08C7.5	4.45101581554175e-05	1
ZC373.2	7.84366836285568e-05	1
F35E2.9	0.0001189728614981	1
F46C5.7	0.0005035565393723	1
C04G6.6	0.0013110292947826	1
F55B11.2	0.0014818147568518	1
C14F11.4	0.0019643404668312	1
F54F7.3	0.0020381296395067	1
pqn-89	0.0021775547386658	1
bath-3	0.0023845404717207	1
ule-5	0.0023979831527398	1
ZK813.1	0.0025464529473	1
Y53H1C.3	0.0025950537745508	1
Y37D8A.19	0.0040990953150756	1
F47E1.4	0.0055420018778178	1
ZK813.7	0.0075760850385882	1
C09D4.2	0.0279941781686933	1
Y75B7B.2	0.0351706488395707	1
set-9	0.0405965788247109	1
ttr-42	0.0422239807040408	1
C30G12.6	0.0450923101035476	1
pqn-88	0.0470549990163452	1
B0432.11	0.0473871051428674	1
T15H9.5	0.050874173565938	1
Y39B6A.30	0.0541476747038914	1
C08B6.3	0.0584693325153472	1
zgpa-1	0.0633865025567263	1
C16A11.4	0.0662405666084454	1
Y53C10A.15	0.0694915268118259	1
mig-14	0.0745385202571501	1
maph-1.2	0.0784271367547098	1
grl-26	0.0817708586046893	1
ZK637.12	0.0821094025555114	1
K02A11.2	0.0894344290876443	1
gsa-1	0.0933040885797072	1
B0035.6	0.0938256833532703	1
C50F2.5	0.0945622060772865	1
C10A4.9	0.0952403312684116	1
F20D6.1	0.0955489930861311	1
F52C6.3	0.0993716506615657	1
lars-2	0.103611819680168	1
C24H12.5	0.103737786715635	1
nspc-18	0.1053779442704	1
vps-50	0.107239373263335	1
C47E8.1	0.109472836781392	1
ZK287.3	0.115823473698432	1
Y113G7C.1	0.119307487175228	1
Y57A10B.7	0.131144418924491	1
set-28	0.132251884826675	1
Y71G12B.22	0.134961175513474	1
abf-6	0.136761621395851	1
taf-9	0.139998507722541	1
T12G3.4	0.142774881863688	1
ZK856.5	0.145113348929471	1
ZK783.6	0.150136713094248	1
glh-4	0.158358195584417	1
nep-9	0.158882450767324	1
Y62E10A.3	0.160844394255628	1
Y48G9A.11	0.161040705695734	1
mbtr-1	0.170075706086301	1
F10E7.6	0.170348035092628	1
F25H5.2	0.172264867256878	1
his-64	0.172421711039741	1
F53A9.7	0.176509891447445	1
inx-21	0.183952501878779	1
snf-2	0.188765796731694	1
C27H6.9	0.191317649201753	1
C50F2.7	0.19253090404491	1
F14D7.12	0.206533875495189	1
W05H7.2	0.217678797930421	1
lin-45	0.226358179129635	1
mig-21	0.229731233411028	1
F36H12.2	0.2303408122482	1
tax-4	0.231621312819318	1
ZK1127.4	0.234124842480197	1
K06A1.2	0.238619157973508	1
R05F9.11	0.240408933706249	1
bath-5	0.242750399157086	1
K11D2.5	0.249691481223469	1
F09E8.8	0.253998082655244	1
F48E3.2	0.258810247111603	1
F38A5.6	0.260670666143601	1
Y51H7C.9	0.261879675745376	1
C07H6.9	0.265485601846259	1
nhr-46	0.267823729159985	1
C03C11.1	0.275099537139453	1
D1044.6	0.282582529379642	1
C18G1.9	0.286670830507848	1
T21C12.4	0.289414653054426	1
M05D6.3	0.290766474665342	1
C08B11.8	0.304661288082165	1
C05D12.7	0.304758849665694	1
W01B6.4	0.312685696004742	1
F23B2.7	0.318356307674371	1
Y92H12BR.7	0.327593810954224	1
F08A7.1	0.338041290673632	1
ina-1	0.343306866522081	1
W09G3.8	0.34605643186713	1
acs-15	0.351599628070408	1
C09H10.9	0.353489639531163	1
K04G2.4	0.362286388631015	1
H14A12.5	0.362747158040147	1
cox-15	0.371662335920162	1
C50F4.12	0.371755889494563	1
C16C10.8	0.381728218676242	1
tag-261	0.388773513476211	1
gly-12	0.408330763026537	1
JC8.16	0.408616756157528	1
M01A8.1	0.409915378101945	1
xpg-1	0.414892848174862	1
B0261.7	0.415429096253712	1
F56E10.1	0.415565118392532	1
T15B12.2	0.417142331387971	1
F15H9.1	0.417371759885012	1
san-1	0.421261046060993	1
lin-35	0.424614143766	1
ZK1010.2	0.427057363867382	1
him-5	0.427545594116952	1
R08C7.8	0.429172930265453	1
F35G12.11	0.431804249547611	1
F56D6.14	0.433191793626028	1
C56C10.9	0.449275639369867	1
R10E4.3	0.453447386687307	1
cku-70	0.453631533671464	1
C09B9.4	0.460645985653316	1
exos-7	0.46596468629039	1
jamp-1	0.473691331727882	1
erl-1	0.476433003469658	1
K11H3.3	0.491483282838495	1
F43E2.6	0.492972959204938	1
C29H12.2	0.494365615338706	1
sru-39	0.505192867746857	1
F36G3.3	0.508961690476058	1
oxy-4	0.512110808978284	1
C45G9.4	0.517152121276391	1
F58A4.6	0.51722798965179	1
K04C1.3	0.531006648072544	1
F23H12.3	0.533880175100761	1
fip-5	0.534046490736506	1
T01C3.2	0.549574798475031	1
slc-25A32	0.554207089001688	1
C16D9.1	0.556564483044664	1
D1046.2	0.560399242202134	1
set-30	0.579946165466667	1
ztf-23	0.581367903624961	1
Y67A6A.1	0.588666226062556	1
T04A6.1	0.592260128588049	1
W04A8.6	0.59401067182256	1
M01G5.1	0.595966358010921	1
F22B5.6	0.59725924145013	1
K06H7.2	0.602598663425514	1
dnj-2	0.621538211155257	1
dml-1	0.630581874018741	1
ced-4	0.637476988979572	1
mdt-10	0.638543571416714	1
mig-18	0.653477251396472	1
Y73B6A.1	0.653509063869756	1
M05B5.3	0.658069277928984	1
rsr-1	0.65969904702394	1
R05H10.3	0.659998304255408	1
unc-50	0.66273092883564	1
Y66D12A.3	0.664285028127529	1
F23B12.1	0.666177630013019	1
E01B7.2	0.667441185971977	1
taf-7.2	0.66833001992479	1
C44B7.2	0.671224430009093	1
mdt-6	0.680873838391116	1
hpo-3	0.682662450436309	1
ZK1058.3	0.683238825571967	1
ZK930.7	0.690028702943957	1
ZK652.8	0.692909297297504	1
BE10.1	0.700316745995956	1
D1086.11	0.706955109821766	1
sgcb-1	0.70754460123212	1
H04J21.1	0.72843608615552	1
C53D5.5	0.73538446386634	1
ntl-11	0.743096064929267	1
Y71F9AL.2	0.745588483563095	1
glrx-5	0.755769173138905	1
Y43F8C.13	0.758237981720457	1
ZK1128.3	0.782015747477522	1
F20D6.10	0.784807761071154	1
set-14	0.784900002255792	1
T28F4.3	0.794163278448935	1
fog-1	0.807618011427983	1
Y37E11AL.12	0.813210933789562	1
nmtn-1	0.820817201791314	1
F35F11.2	0.827892477143362	1
ZC376.8	0.836899302739995	1
C48B4.11	0.837572684497114	1
M01H9.5	0.841853494983133	1
Y67A10A.3	0.856902353975743	1
exos-1	0.86713895606894	1
usp-3	0.876609446632911	1
F54F7.14	0.885210110836405	1
K03H1.7	0.916233274698385	1
Y116A8A.7	0.929263202765158	1
cup-16	0.933106034491993	1
T07E3.2	0.947727551317601	1
F54B11.7	0.950476429308548	1
F42A10.9	0.952773557523308	1
bath-36	0.963237967415878	1
F53A10.2	0.967406391182775	1
hop-1	0.972210442388775	1
rmh-2	0.97818623200006	1
ttr-6	0.997776545562753	1
Y69H2.15	1.01074542076197	1
F01G4.4	1.01345096922419	1
C36H8.1	1.01444099460264	1
Y71H2AM.15	1.01657425061669	1
hpo-4	1.01846744040276	1
T24B8.4	1.02387097255539	1
T08B2.11	1.02599310410273	1
ttm-1	1.02809465397032	1
gpr-2	1.03082137658099	1
F11A10.6	1.03181119520076	1
tps-1	1.0338983004745	1
spe-44	1.03422444450162	1
unc-53	1.03428414906552	1
slo-1	1.03443053307158	1
B0238.12	1.03521543500197	1
pxn-1	1.03553666174971	1
ndx-3	1.0359139392153	1
C41G7.15	1.03605342308278	1
ccb-1	1.03690259121585	1
Y45G5AM.7	1.0383972758194	1
ZC395.4	1.03883456413116	1
cec-1	1.04192246042037	1
Y52B11A.4	1.04455915739686	1
F14D2.19	1.04597607156176	1
pdxk-1	1.0464304608564	1
C35D10.1	1.04692734466687	1
ugtp-1	1.0472720809687	1
R05H5.5	1.04767023157203	1
nhr-61	1.04875543346455	1
cln-3.2	1.04897629938378	1
Y67D2.5	1.04905508823738	1
ztf-3	1.04945648806629	1
ard-1	1.04985486559105	1
bath-30	1.0499225329947	1
C49G7.12	1.04992591383803	1
R13H4.5	1.04994169576781	1
Y41C4A.8	1.05006834102745	1
F55G1.6	1.05013378638871	1
F32D8.13	1.05028773498385	1
R12C12.6	1.05041133138342	1
polq-1	1.05046857340986	1
acdh-11	1.05054190767376	1
C47D12.2	1.05057748632564	1
Y43F4B.7	1.05065415649858	1
trpp-8	1.05080133320595	1
eea-1	1.0508197715233	1
R10E11.5	1.05110004644526	1
T26A8.4	1.05119883891132	1
algn-2	1.05135671664944	1
F33E11.2	1.05136254154841	1
ess-2	1.05137879717524	1
clh-5	1.05138151781605	1
ugt-64	1.05155266332043	1
M01E5.2	1.05158010824096	1
rap-2	1.05160743880584	1
Y48E1C.4	1.05163809852222	1
sup-17	1.05175962975978	1
btb-19	1.05182783466345	1
K09E4.2	1.05183137755795	1
lpl-1	1.05187505209715	1
adbp-1	1.05188935196136	1
mob-1	1.05196746346891	1
M04F3.2	1.05199303424148	1
laat-1	1.0520292135907	1
Y52B11C.1	1.05204098495541	1
