gene_short_name	scaled_TPM	group_number
lgc-28	1.23368627975471e-16	1
T19C3.5	6.25361263957183e-16	1
aman-1	7.29387071434697e-16	1
clec-178	1.03104017819104e-15	1
Y73F4A.1	5.3130816625952006e-15	1
ZK1251.3	5.6662566997333205e-15	1
ttr-1	6.1211508640200505e-15	1
F38A5.22	6.690354630710481e-15	1
Y95B8A.4	7.009530459729601e-15	1
F55B11.3	7.95030166399898e-15	1
K07A1.6	8.23817331600024e-15	1
Y116A8C.3	1.00421562095139e-14	1
clec-145	1.05133202270446e-14	1
mig-6	1.2205379251598601e-14	1
lgc-25	1.3060115167454601e-14	1
D1086.6	1.43263628881703e-14	1
lgc-26	1.59093221588784e-14	1
clec-222	1.83004338389187e-14	1
F32E10.8	1.97673010359049e-14	1
ZK856.5	1.98815733619505e-14	1
snf-9	2.2375140713706902e-14	1
K02E7.11	2.44019478509996e-14	1
clec-151	2.5802081746386402e-14	1
Y51A2B.6	2.6935736784754402e-14	1
T05B11.4	2.9171516136609904e-14	1
Y62H9A.4	2.9606614124226e-14	1
C31H1.5	3.37757583876082e-14	1
cutl-7	5.14715190276272e-14	1
ZC317.7	5.64630162474983e-14	1
F19C7.6	7.34738608568926e-14	1
Y69H2.3	8.534573685183231e-14	1
Y37H2A.10	8.92136357707364e-14	1
F17E9.4	9.920586769466051e-14	1
nep-8	1.02579201470903e-13	1
col-135	2.30005915594519e-13	1
Y61A9LA.4	2.38706180740765e-13	1
H29C22.1	3.05839722333268e-13	1
H04M03.11	3.28185262144259e-13	1
C54D10.4	5.967152895386799e-13	1
fbxa-181	1.11033471904731e-12	1
Y62H9A.3	1.90535712996359e-12	1
ssp-37	1.98242253244283e-12	1
ule-3	2.03011301740997e-12	1
T02E1.7	2.20056816495356e-12	1
F35C12.3	7.96826166953856e-12	1
F01G12.18	9.474464286835979e-12	1
ule-5	1.09243306557872e-11	1
F52C6.14	1.5184037845797298e-11	1
Y62H9A.5	2.50840043644471e-11	1
ZK1010.5	4.4831009541968003e-11	1
K07E3.9	5.476636033924379e-11	1
ZK1053.2	5.61349084290643e-11	1
D1054.10	7.53232748099851e-11	1
F56D6.23	1.30120532530636e-10	1
best-1	1.31447154303126e-10	1
W02D9.7	2.40426334491655e-10	1
ZC373.2	2.8693172992428e-10	1
W02D9.6	5.92791238338254e-10	1
F52F12.9	6.21518200713491e-10	1
Y43F8C.5	1.1692597949498102e-09	1
Y105E8A.27	1.95238348731606e-09	1
Y105C5B.17	2.1529070077076103e-09	1
abf-1	3.03975504375982e-09	1
