gene_short_name	scaled_TPM	group_number
C29E4.10	3.12844948377458e-16	1
Y95B8A.4	1.24395157037307e-15	1
lgc-28	1.6083869469415502e-15	1
Y116F11B.8	2.88420438344844e-15	1
mig-6	3.1570708971138803e-15	1
E02H4.4	3.8643958551153806e-15	1
aman-1	4.322440559018931e-15	1
lgc-26	8.350540385953031e-15	1
Y116A8C.3	8.90615598084619e-15	1
F55B11.3	8.96820428120297e-15	1
clec-178	9.07296429424135e-15	1
Y49E10.29	1.4155588943523e-14	1
Y73F4A.1	1.43554004941543e-14	1
Y62H9A.4	4.67070910143621e-14	1
Y51A2B.4	4.92502144257375e-14	1
K02E7.11	4.96096905637494e-14	1
F38A5.22	5.01203150894841e-14	1
ttr-1	5.02978350093504e-14	1
F17E9.4	6.863046233476571e-14	1
K07A1.6	7.48145209930233e-14	1
ZK813.3	7.483868903427841e-14	1
T05B11.4	7.634599306269861e-14	1
snf-9	1.00641059226271e-13	1
Y116A8A.6	1.36347800994651e-13	1
his-55	1.42014063331896e-13	1
T13B5.9	1.4526369587512299e-13	1
nep-8	1.65998655275503e-13	1
Y23H5B.12	7.28061830675972e-13	1
Y62H9A.3	1.0886745883075699e-12	1
H29C22.1	1.3584986582624799e-12	1
C31H1.5	1.4728687642072998e-12	1
C54D10.4	2.2395388114486297e-12	1
spe-12	4.7001114148808494e-12	1
ule-3	4.8469217975608996e-12	1
phat-4	5.1874499057083e-12	1
ule-5	1.63230192694498e-11	1
F35C12.3	2.7550954481598398e-11	1
best-1	1.19505342894891e-10	1
K02F6.3	1.65278627236195e-10	1
D1054.10	2.64464299418843e-10	1
M02B1.4	4.853635707765161e-10	1
clec-151	5.03472836952634e-10	1
Y43F8A.2	6.65955926746012e-10	1
W02D9.7	7.59962810990585e-10	1
T19H5.7	8.875210121976991e-10	1
ttr-13	1.0904350410556601e-09	1
F36A4.5	1.2531166897996e-09	1
Y43F8C.5	4.014472691479761e-09	1
Y57G11B.3	2.41969497670805e-08	1
nkb-2	2.44916255868257e-08	1
ssp-37	3.23777431106477e-08	1
Y105C5B.17	3.48218602392974e-08	1
pes-8	3.61661145275304e-08	1
Y25C1A.6	4.0500363271735e-08	1
F15H10.7	7.87896592330021e-08	1
irld-6	1.11661533503211e-07	1
Y62H9A.5	1.25112076881535e-07	1
C18H7.7	1.30465397551398e-07	1
try-10	1.85048158923267e-07	1
K08C9.2	2.33170125014819e-07	1
ttr-14	2.7807855301716e-07	1
C18H2.5	2.84832365215526e-07	1
ttr-9	3.16522924526642e-07	1
C04H5.7	3.47333616889962e-07	1
Y69H2.3	3.52064990872654e-07	1
ZK856.5	3.94972624721227e-07	1
nas-20	5.49946322164074e-07	1
wht-8	9.10507283722062e-07	1
F57C2.4	1.00257918455028e-06	1
T08B6.4	1.5894464153626e-06	1
Y37D8A.19	1.70507361711982e-06	1
Y105E8A.27	1.75688861979826e-06	1
Y37D8A.5	2.03099383920541e-06	1
acp-3	2.0422011904387e-06	1
snpc-3.3	3.90112721981354e-06	1
Y57G11C.1143	4.00064116339761e-06	1
F58D2.2	4.57160298283059e-06	1
ZK795.2	5.81663489237894e-06	1
F54F7.3	7.01859673742034e-06	1
ZK813.7	7.81415539184748e-06	1
Y57G11C.23	9.29106673471748e-06	1
D1086.6	1.197692598266e-05	1
W03G11.2	1.80894138461011e-05	1
ZC373.2	2.32116981193442e-05	1
C14F11.4	2.87241731621733e-05	1
Y105C5B.18	3.35861595907221e-05	1
Y39B6A.30	4.01841574939408e-05	1
C28C12.11	6.60317145889273e-05	1
W02D9.6	8.20415906157665e-05	1
lam-1	0.0001198484774044	1
C55C3.8	0.0001768560401714	1
ZK945.8	0.0002369501996825	1
ZK813.1	0.000360832580298	1
nep-10	0.0003830373729721	1
F55B11.2	0.0004204668415812	1
Y116A8C.33	0.0004374003909265	1
pqn-75	0.0005283236171086	1
F22E12.1	0.0005682872567692	1
Y43F8C.9	0.0008504066673665	1
M162.7	0.0011280307937992	1
K03H1.12	0.001165173430633	1
ZK84.2	0.0012132036340121	1
C04G6.6	0.0012451730389968	1
bath-3	0.001287704656418	1
clec-153	0.0019656424587751	1
irld-14	0.0030395927782541	1
irld-3	0.003248606867807	1
D1086.17	0.0035901006441485	1
Y57G7A.6	0.0055845058316136	1
M28.9	0.0056445076471033	1
Y38F2AL.12	0.0078897856479003	1
Y71F9B.15	0.0086013478304878	1
D1086.11	0.0094531062923561	1
gly-14	0.0101056704142709	1
ttr-28	0.0101672844771323	1
Y66D12A.19	0.0108677296741952	1
T08B6.9	0.0148329368096411	1
chil-14	0.0171029550931568	1
H34I24.1	0.0176237601792478	1
nrf-5	0.0193037504871028	1
Y47G6A.3	0.0253030185822219	1
oac-19	0.0268373693502912	1
F29B9.7	0.0269271971609535	1
his-48	0.0347713277533001	1
set-24	0.0351210464934049	1
Y57A10A.7	0.0379323711433695	1
R148.4	0.0386930226901858	1
nhr-23	0.0422039550479536	1
K12H6.2	0.0446887605609042	1
W04A8.2	0.0502997874277672	1
cosa-1	0.051657175545619	1
C16C8.13	0.0519023516440927	1
K05C4.4	0.0527904257867992	1
Y59H11AM.4	0.0533000024256101	1
Y54G2A.49	0.0590148547048741	1
his-63	0.0656968440871529	1
Y37F4.5	0.0663499231408187	1
F59A1.15	0.0663711346037979	1
marc-2	0.0692547736669334	1
C14C11.2	0.0707899472930862	1
R05D3.3	0.0713162349877519	1
fbxa-106	0.0729018761446321	1
F49E11.7	0.073243974309462	1
F01G10.5	0.0773325422990635	1
F28C6.4	0.0775708019987599	1
prom-1	0.0787901927801736	1
