gene_short_name	scaled_TPM	group_number
H29C22.1	5.15914563932008e-16	1
T19C3.5	1.5847443578475301e-15	1
snf-9	2.7507756681824204e-15	1
Y73F4A.1	6.3016926136681405e-15	1
Y116A8C.3	6.9071138658066604e-15	1
F10D11.4	9.0926504563103e-15	1
Y62H9A.4	1.0868169498721801e-14	1
F32E10.8	1.1262795770988401e-14	1
C31H1.5	1.49944371736976e-14	1
clec-178	1.58455993642218e-14	1
Y95B8A.4	2.2730321606296802e-14	1
ttr-1	2.6168142443625e-14	1
F38A5.22	4.39488424156286e-14	1
F56C4.4	4.53293960096892e-14	1
lgc-25	6.691997298739999e-14	1
W03D8.1	7.04643638670963e-14	1
K07A1.6	1.98846307732536e-13	1
lgc-23	2.16412232325738e-13	1
Y105E8A.27	2.96126331487514e-13	1
K09C6.10	2.983325280793e-13	1
phat-4	4.56091212016605e-12	1
Y62H9A.3	5.3172749015531e-12	1
C54D10.4	7.37380378165036e-12	1
D1081.11	8.16853621451742e-12	1
ule-3	1.0376860743892499e-11	1
F35C12.3	1.5032823574232797e-11	1
M02B1.4	1.7039390417598397e-11	1
irld-4	2.8538319710139798e-11	1
best-11	2.9014798751147698e-11	1
clec-151	1.29193987420272e-10	1
D1054.10	2.37841115932349e-10	1
ZK1010.5	2.45790570377694e-10	1
W02D9.7	3.0815117831109e-10	1
Y43F8C.5	3.26591780011217e-10	1
F55B11.3	3.3477274761043803e-10	1
W02D9.6	4.71565537824436e-10	1
K02F6.3	1.33753961609905e-09	1
ttr-13	1.7047772485745702e-09	1
clec-119	2.8648417932013603e-09	1
F47B3.4	3.47982588219667e-09	1
F54F7.9	4.337969906235751e-09	1
F56F4.3	5.570108812603491e-09	1
F07C4.6	5.91507147499968e-09	1
Y105C5B.17	6.16861965866855e-09	1
fbxc-28	1.06004780732018e-08	1
F57C2.4	1.25126237571424e-08	1
irld-8	3.13952854506109e-08	1
Y105C5B.18	3.23126141001133e-08	1
ttr-12	3.55442812513955e-08	1
F13A7.7	3.76665483280697e-08	1
ZK813.3	5.22356615944669e-08	1
clec-223	5.36367389105421e-08	1
F17E9.4	8.60804069479748e-08	1
nkb-2	8.79285193363325e-08	1
dyf-7	1.00034028452092e-07	1
K08C9.2	1.2877980266601e-07	1
C04H5.7	1.60589853600934e-07	1
F40D4.17	1.68001005890086e-07	1
D1086.17	2.06486778251355e-07	1
Y62H9A.5	2.82809438959299e-07	1
Y37D8A.19	3.55079074971136e-07	1
ZK1225.5	3.59298115287658e-07	1
ZK930.7	6.16408979684575e-07	1
M28.9	6.3385080609917e-07	1
ZC190.8	7.24326412672766e-07	1
ttr-14	7.77489222780889e-07	1
sst-20	1.84334438359267e-06	1
wht-8	3.1556681679681e-06	1
D1086.6	5.33136850226151e-06	1
Y39E4B.13	5.44581597966307e-06	1
ZK813.7	1.11649305293553e-05	1
pqn-75	1.53667136622161e-05	1
C55B6.5	1.77438808366445e-05	1
C14F11.4	2.01496001357873e-05	1
W09C3.8	2.44919277859131e-05	1
clec-175	4.01397132542803e-05	1
C28C12.11	4.02392539635812e-05	1
R08C7.5	4.6497969474485e-05	1
ZK795.2	4.91630365979307e-05	1
ZC373.2	6.83949887835594e-05	1
irld-3	9.65312685322886e-05	1
ZK813.1	0.0001006001331005	1
F29B9.7	0.000104384513004	1
spe-19	0.0001153679833101	1
acp-3	0.0002352362181055	1
R07C3.13	0.0002438536765274	1
best-8	0.0003152803447653	1
ZK84.2	0.0005044200645616	1
F55B11.2	0.000582433502976	1
Y43F8C.9	0.0008082734403282	1
ule-5	0.001535801695726	1
abf-1	0.0016876208141749	1
T13A10.1	0.0017149827005226	1
Y38F2AL.12	0.0024406552680746	1
F22E12.1	0.002561828987902	1
F54F7.3	0.0049366610750583	1
irld-14	0.0053874705615724	1
Y66D12A.19	0.0081580771050512	1
irld-18	0.0099896219710583	1
lam-1	0.0101027608509085	1
D1086.11	0.0101671199896117	1
pqn-88	0.010440333150179	1
W01B6.2	0.0104765943589944	1
F31E8.5	0.0224350417421129	1
his-47	0.0228829152814819	1
nhr-23	0.0239575573795914	1
Y57G7A.6	0.0295615327162785	1
F22B5.6	0.0361304630015719	1
F56F4.4	0.0390891539019087	1
Y81G3A.1	0.0414499988092952	1
set-21	0.0416737666101623	1
klp-18	0.0453801945071466	1
F35H8.1	0.0490024033623006	1
F54D10.4	0.0518787691592173	1
hpr-17	0.0545361690563347	1
C16A11.5	0.0551207436371412	1
T13F2.6	0.0577413284366362	1
bath-34	0.059047212540554	1
spe-44	0.059095637089924	1
orc-3	0.0620973147334971	1
cyp-31A3	0.0627621954787135	1
mbtr-1	0.0646265885147347	1
Y57A10A.7	0.065660219817486	1
nrf-5	0.0664848644432864	1
K06B4.15	0.0665883309836698	1
C17G10.3	0.0680224880342019	1
ZC513.3	0.0686436196360277	1
cdt-1	0.0687319557677696	1
fbxa-211	0.0689574869490921	1
Y65B4BL.3	0.0699156760692386	1
Y57G7A.5	0.0709728675761721	1
Y55F3BR.2	0.0767637036965206	1
pfk-1.2	0.0769120190905899	1
rad-54	0.0827404144578819	1
Y52B11A.11	0.0834590476100775	1
F57A10.4	0.0894134169864833	1
ceh-92	0.0910782201360972	1
K11H3.4	0.0917367526724241	1
W05H7.2	0.0940232254660559	1
Y54G2A.15	0.0948086203114416	1
egg-2	0.0966055144305102	1
mes-6	0.0978866935446763	1
F28F8.7	0.0984051320665089	1
F55A11.4	0.0986564302959418	1
marc-1	0.103651818501988	1
F40H6.1	0.104135004340888	1
F36H12.2	0.106098435604208	1
R09H10.2	0.109382359394536	1
T02E1.7	0.118351419698178	1
C24H12.5	0.124731834514817	1
nola-3	0.126298103645625	1
Y119D3B.14	0.128151255331829	1
B0432.13	0.130527792255508	1
C06A5.8	0.132878578622565	1
ppw-1	0.135544805156881	1
mans-4	0.139678110509912	1
C08B11.8	0.141250710061499	1
W05G11.2	0.142714256767357	1
Y73F8A.35	0.145759779154666	1
polg-1	0.146289092571616	1
T16G1.5	0.149958677257492	1
spe-41	0.150212755284728	1
F14F7.4	0.150241608421655	1
C27H6.9	0.150990894958859	1
T24A6.1	0.153449674622718	1
W01A8.2	0.159341636895588	1
egrh-2	0.159778199805856	1
egl-1	0.161297668747337	1
C08H9.16	0.166976128320947	1
H14A12.5	0.169046538644256	1
Y73B3A.4	0.17128987528257	1
Y43E12A.3	0.172145031360157	1
Y62E10A.3	0.172573638451987	1
D2005.4	0.172586387355924	1
Y51H7C.9	0.17457876580487	1
Y37D8A.5	0.177176903263823	1
CD4.8	0.177726778417418	1
lam-2	0.181252490289337	1
Y53G8AR.6	0.181802015938391	1
Y82E9BR.19	0.182478641242864	1
Y42A5A.5	0.184489636041584	1
F26D2.10	0.184721475160059	1
T19B4.5	0.186383077730711	1
T11F8.12	0.187044174842311	1
bath-1	0.18765827060257	1
kle-2	0.188581820203476	1
T04C4.3	0.191065963794267	1
Y69A2AR.28	0.192672266749154	1
Y46G5A.22	0.194007031065481	1
ani-1	0.195091129714017	1
C24D10.1	0.195138040760871	1
T28D9.3	0.198135682049795	1
T13F3.9	0.199748415638127	1
T03D3.5	0.208617345390178	1
xpf-1	0.21122523283497	1
C41G7.3	0.212770155451021	1
R11A8.1	0.212986378892497	1
gpr-2	0.215012189114966	1
BE0003N10.6	0.215432645523703	1
Y39G10AR.15	0.215644340024637	1
H25P06.5	0.219428375279366	1
set-25	0.222095019223551	1
C26F1.3	0.223843560177896	1
cosa-1	0.22585812150446	1
