gene_short_name	scaled_TPM	group_number
galt-1	1.7475867272719102e-15	1
aman-1	2.90101750154535e-15	1
lgc-26	4.3607880725722505e-15	1
irld-7	5.6202736175370306e-15	1
C29E4.10	5.798045593174041e-15	1
Y73F4A.1	6.12356531581346e-15	1
T19C3.5	6.1732419457507705e-15	1
mig-6	7.783440360875921e-15	1
cup-4	8.116838424337391e-15	1
ZK856.5	1.01247616286194e-14	1
Y116A8C.3	1.0671208944894e-14	1
ule-3	1.1615344696839999e-14	1
F38A5.22	1.20659408327315e-14	1
ttr-1	1.8140906439938e-14	1
lgc-28	1.9058826388375402e-14	1
C34D4.2	1.99627483439966e-14	1
nep-8	2.02327836364983e-14	1
F55B11.3	2.07121175247667e-14	1
Y49E10.29	2.13619805660615e-14	1
Y62H9A.4	2.2437740942279e-14	1
E02H4.4	2.3484696733793502e-14	1
D1086.6	2.95426083696257e-14	1
K02E7.11	3.07190055374654e-14	1
F16B12.1	4.13732805267091e-14	1
C07G1.7	5.62690629294721e-14	1
Y105E8A.27	6.06989832931053e-14	1
ZK813.3	6.79934864998851e-14	1
Y69H2.3	7.23766715909208e-14	1
best-25	7.2559584065487e-14	1
F17E9.4	8.16970843764863e-14	1
K07A1.6	9.500819067540461e-14	1
Y43D4A.2	2.05657988171314e-13	1
bgnt-1.4	2.09602411116131e-13	1
F46F5.15	2.39793769314259e-13	1
oac-9	2.4692579963191597e-13	1
C31H1.5	2.98584391098743e-13	1
H29C22.1	3.16693884223991e-13	1
nep-10	4.21811572056405e-13	1
T05B4.14	7.90129751947967e-13	1
Y62H9A.3	1.09859891313836e-12	1
C54D10.4	1.24283109226064e-12	1
ZK1010.5	1.28788504243116e-12	1
phat-4	2.6305153970614996e-12	1
ule-5	6.86143028494813e-12	1
K12D12.4	2.3036351220875198e-11	1
spe-12	3.30253815260106e-11	1
scl-17	3.9433099697851595e-11	1
M70.1	5.291689086990079e-11	1
D1054.10	5.7901792416628595e-11	1
F35C12.3	9.538698904386329e-11	1
M02B1.4	1.08359533642305e-10	1
ZC373.2	2.25007566596968e-10	1
W02D9.7	3.14843500449842e-10	1
F01G12.18	6.15097009070723e-10	1
W02D9.6	8.950498746195201e-10	1
Y105C5B.17	2.9040560453384203e-09	1
T19H5.7	6.2660587202309206e-09	1
H20J04.1	9.153961071662261e-09	1
F55B11.2	9.73803489798833e-09	1
ttr-12	1.31709862870813e-08	1
Y37E11AR.7	1.34140605725538e-08	1
F13A7.7	1.36966582083096e-08	1
irld-6	1.51349335693979e-08	1
F56F4.3	2.03183674185127e-08	1
Y47H9B.2	2.09093130201553e-08	1
ttr-9	2.72869306566524e-08	1
ZK84.2	3.95076753218069e-08	1
T05C12.9	5.65781841297705e-08	1
nkb-2	6.04101474640092e-08	1
C18H7.7	6.52281484987837e-08	1
sst-20	2.47576553829621e-07	1
D1086.17	2.51981179638393e-07	1
nas-20	2.867861290225e-07	1
K08C9.2	2.92728920839934e-07	1
F57C2.4	2.96182879486731e-07	1
Y43F8C.5	4.15860234986441e-07	1
ZC190.8	4.33782961430995e-07	1
cin-4	4.64616378452106e-07	1
F58D5.8	5.04786049648037e-07	1
ZK813.7	6.17909708597646e-07	1
ttr-14	6.2491816963671e-07	1
Y37D8A.19	1.27961017894049e-06	1
ZK795.2	1.34914981325129e-06	1
C04H5.7	2.43160248349364e-06	1
snf-9	2.98023622949762e-06	1
math-48	3.93298439650173e-06	1
T08B6.4	3.97841711882964e-06	1
Y57G11C.23	1.96554789178431e-05	1
Y105C5B.18	2.88215880516181e-05	1
ZK813.1	3.64136260415362e-05	1
irld-3	5.44111439850544e-05	1
C28C12.11	7.03310458821123e-05	1
Y43F8C.9	0.000209533966382	1
M162.7	0.0003066773003155	1
C55A1.6	0.0006216122481371	1
Y116A8C.33	0.0006983793884415	1
F54F7.3	0.0008993485191764	1
Y50E8A.2	0.0010295942616715	1
T16G12.12	0.0012425893387569	1
irld-14	0.0012690242295836	1
bath-3	0.0015992913824131	1
Y62H9A.5	0.001620951823046	1
klp-17	0.0025024507345077	1
dhhc-12	0.0028605230053138	1
Y54F10BM.12	0.0081003126184558	1
gly-14	0.0088514889267158	1
D1086.11	0.0104965417460799	1
mig-21	0.0111921685226492	1
K11H3.8	0.0181275196814842	1
bath-35	0.0241706835663074	1
Y73B6BL.12	0.0267250378462837	1
ttr-42	0.0268181876687477	1
Y43E12A.3	0.0275995848867693	1
C14F11.4	0.0288106095838245	1
Y54G2A.15	0.0312124067860048	1
Y65B4BL.4	0.0327711396878581	1
Y57G7A.6	0.0388167359793357	1
F35H8.1	0.0421972878220624	1
fog-1	0.0432269404753695	1
bath-7	0.0452565305215718	1
C48B4.11	0.0452883380679904	1
B0250.7	0.045761105279563	1
C16A11.5	0.0493047417688818	1
H34I24.1	0.0519768736662393	1
M28.9	0.0520581005666576	1
Y53H1C.3	0.05221102428821	1
F59H6.15	0.0547414843196006	1
F35G12.5	0.0639347278600374	1
F40G9.17	0.0705933837800423	1
C15F1.8	0.0718041248648822	1
ZK616.5	0.0744433093615125	1
