gene_short_name	scaled_TPM	group_number
cup-4	1.57021821674899e-15	1
mig-6	2.8991544003324802e-15	1
aman-1	3.0789797884116402e-15	1
Y73F4A.1	3.81445380926536e-15	1
D1086.6	6.0168944226351305e-15	1
F55B11.3	6.353428900445551e-15	1
Y62H9A.4	6.792216633646761e-15	1
lgc-25	7.97335976254943e-15	1
ttr-1	9.485406942196341e-15	1
lgc-28	1.61221378498135e-14	1
his-16	2.11564581209674e-14	1
cya-2	2.51474116599074e-14	1
H29C22.1	2.59002513197719e-14	1
K02E7.11	2.95076446312329e-14	1
snf-9	3.3660361092789704e-14	1
C31H1.5	3.67711201158776e-14	1
nep-8	4.4007645350758e-14	1
Y69H2.3	4.57859225226564e-14	1
K07A1.6	4.7652141425011804e-14	1
Y105E8A.27	1.25190528870669e-13	1
Y57G11A.2	1.26231216523533e-13	1
F56C4.4	1.70910437783754e-13	1
F17E9.4	1.77338342507866e-13	1
F59A1.13	3.08119081222489e-13	1
ssp-37	4.50311223684432e-13	1
phat-4	1.3524893321219799e-12	1
K08C9.2	2.44627557270205e-12	1
Y62H9A.3	3.90771082001725e-12	1
ule-3	6.54300872724392e-12	1
clec-79	1.3654593285079298e-11	1
K02F6.3	6.56008541839415e-11	1
D1054.10	2.42396017060101e-10	1
W02D9.7	3.8306620078609603e-10	1
clec-151	4.54182136982862e-10	1
W02D9.6	4.83260094884936e-10	1
F01G12.18	4.90041270742804e-10	1
T19H5.7	6.77408808125366e-10	1
Y95B8A.4	1.0142163890668e-09	1
sst-20	2.03555711749505e-08	1
ZK813.3	6.52812051343907e-08	1
pes-8	7.53837970571082e-08	1
C18H7.7	7.81188879917051e-08	1
R07B1.8	1.18712228310651e-07	1
nkb-2	1.21291157106194e-07	1
ZK1225.5	2.26514381190396e-07	1
Y62H9A.5	2.98031787878296e-07	1
nas-20	4.19254298311249e-07	1
ttr-14	4.20348337434398e-07	1
nep-23	7.93956446055224e-07	1
Y37D8A.19	1.11632128429905e-06	1
M02B1.4	1.43208570514246e-06	1
Y43F8C.5	4.48159221527225e-06	1
math-48	6.9601517313843e-06	1
C09B9.2	1.03938913143205e-05	1
C14F11.4	1.05569911744125e-05	1
C04H5.7	1.14597814485639e-05	1
F54F7.3	1.58564288629145e-05	1
ZK813.7	2.47425886454938e-05	1
Y43F8C.9	3.92505805718431e-05	1
ZK795.2	6.66409436991046e-05	1
ZC373.2	7.35697352810374e-05	1
C28C12.11	0.0001053898563196	1
Y105C5B.18	0.0001211917459174	1
R102.3	0.0001956128921067	1
F37A4.4	0.0002069001948534	1
AC7.3	0.0003108464484412	1
Y116A8A.2	0.0004475812579271	1
F55B11.2	0.0011853963033769	1
ZK813.1	0.0012550111184075	1
C25A8.2	0.0017389014550182	1
ZK84.2	0.001960001097258	1
irld-3	0.0034883730708629	1
C55B7.10	0.0041205840646878	1
ule-5	0.0041983810106214	1
lam-1	0.0055911018495745	1
pqn-88	0.0064799305849958	1
D1086.17	0.0079103542152224	1
Y54F10BM.12	0.0083462251509867	1
Y71F9B.15	0.0161592364556012	1
