gene_short_name	scaled_TPM	group_number
clec-145	2.9988193005129297e-16	1
aman-1	1.7250417359146e-15	1
Y49E10.29	3.1716272837717104e-15	1
Y73F4A.1	6.4716534133388604e-15	1
ule-3	7.22739460646639e-15	1
W02D9.7	1.00818110384979e-14	1
Y95B8A.4	1.24292110426216e-14	1
ttr-1	1.42606892398025e-14	1
F55B11.3	1.42770339401969e-14	1
F38A5.22	1.4371879311372202e-14	1
nep-8	1.45829581733831e-14	1
H29C22.1	1.49408935637301e-14	1
snf-9	1.75840620884193e-14	1
clec-178	1.91133774836462e-14	1
Y116A8C.3	1.9977587945553902e-14	1
D1086.6	2.6539827448871703e-14	1
oac-9	2.7323690457351e-14	1
Y62H9A.4	2.87292351436066e-14	1
C31H1.5	4.2819053527275804e-14	1
ZK813.3	5.1066750864192605e-14	1
K07A1.6	5.67325329542508e-14	1
T13B5.9	5.90968389113905e-14	1
W03D8.1	1.1364299257465999e-13	1
nep-20	1.14808275062268e-13	1
F17E9.4	1.15306244838616e-13	1
bgnt-1.4	1.34463598180112e-13	1
ttr-14	1.75540859598305e-13	1
H01G02.4	3.4314069847231e-13	1
F10D11.4	3.52569581817525e-13	1
Y51A2B.16	4.52417125587676e-13	1
T05B4.14	4.61338062044024e-13	1
F56C4.4	4.68964553502348e-13	1
T04F3.5	7.58229085516403e-13	1
T26C12.2	1.35085416373822e-12	1
Y62H9A.3	4.0566336766634695e-12	1
C54D10.4	5.1471075720782394e-12	1
ule-5	8.493704129935019e-12	1
spe-12	1.00803894445234e-11	1
D1054.10	6.28203265779511e-11	1
irld-4	6.534924655263129e-11	1
ZK1010.5	7.023571940416249e-11	1
clec-151	8.700569320528619e-11	1
F35C12.3	9.05676094038184e-11	1
M70.1	1.2139767178331201e-10	1
K02F6.3	1.35654577535602e-10	1
F26B1.1	1.55773748123673e-10	1
W02D9.6	1.9504495684728001e-10	1
Y43F8C.5	3.13195629981547e-10	1
M02B1.4	4.1009995069730203e-10	1
ZC373.2	6.18238057863432e-10	1
F01G12.18	1.5009035856182201e-09	1
T19H5.7	2.0097290476906502e-09	1
Y105E8A.27	2.0749270550305203e-09	1
ttr-12	4.1882327546336406e-09	1
H20J04.1	5.3822212449469505e-09	1
Y47H9B.2	6.94363797296856e-09	1
F55B11.2	7.0651982604947906e-09	1
clec-223	9.01238102379105e-09	1
F56F4.3	2.20219142809303e-08	1
R07B1.8	2.88466424299058e-08	1
C18H7.7	3.19497241947476e-08	1
F13A7.7	3.80036539142753e-08	1
K08C9.2	1.29156886215412e-07	1
F56A11.6	1.39869515869994e-07	1
F07E5.8	2.2113781302577e-07	1
nep-23	2.28640856583892e-07	1
Y62H9A.5	2.92701212425224e-07	1
ZK856.5	3.01903523050851e-07	1
sst-20	3.02167571810245e-07	1
ZK813.7	4.02368304213725e-07	1
Y69H2.3	4.83048456637752e-07	1
ttr-9	5.47665666083279e-07	1
F57C2.4	8.07039592008964e-07	1
Y37D8A.19	9.14631538098999e-07	1
wht-8	1.26217143137716e-06	1
nas-20	1.6890305953382e-06	1
F19B2.7	2.00434052605152e-06	1
F02C9.1	2.04189415399488e-06	1
K12B6.2	5.85881631590245e-06	1
Y57G11C.23	6.72585990414479e-06	1
F40D4.17	9.26443969931541e-06	1
F57F4.1	9.6427768420873e-06	1
C14F11.4	1.21944315228622e-05	1
F41G3.20	1.53381471726996e-05	1
C28C12.11	2.02300397506336e-05	1
ZK795.2	2.03557757784185e-05	1
nkb-2	5.01959353866872e-05	1
acp-3	0.0001149352045348	1
irld-3	0.0001504538281774	1
Y105C5B.18	0.0002250575898518	1
ZK84.2	0.0004418780924506	1
Y43F8C.9	0.0005659361407254	1
spe-38	0.0006068261276447	1
C01G12.16	0.0009497260673055	1
Y116A8C.33	0.0009503044980185	1
ZK813.1	0.0009594050528332	1
F54F7.3	0.0010823677335451	1
irld-14	0.0011228362779684	1
M162.7	0.0012109213025086	1
ttr-28	0.002345360849058	1
cdc-25.4	0.0024341693961472	1
D1086.17	0.0038281693675345	1
lam-1	0.0040881993143746	1
D1086.11	0.0077849857773305	1
Y54G2A.15	0.0078046118329346	1
F21D9.2	0.0089942998587361	1
M28.9	0.0115522287494852	1
ttr-42	0.0183124787473035	1
nrf-5	0.0213367003251817	1
C08B6.6	0.0267416643443135	1
dhhc-12	0.03260536343466	1
Y38F2AL.12	0.0413027236558638	1
Y57G7A.6	0.045660281155569	1
epi-1	0.0468018267118539	1
F13E9.14	0.0528357331959894	1
R148.4	0.0778461143718089	1
snf-5	0.0796829408900398	1
F35H8.1	0.0842021032943624	1
C48B4.6	0.0904713871122377	1
Y62E10A.3	0.0924362138834578	1
maph-1.2	0.0968855051525502	1
F01G4.4	0.0995867524034004	1
