gene_short_name	scaled_TPM	group_number
cup-4	1.10234803497388e-15	1
lgc-26	1.2727867070629702e-15	1
D1086.6	1.4066660651997502e-15	1
mig-6	1.81010029175658e-15	1
Y73F4A.1	2.66018284027795e-15	1
aman-1	2.6670085447573304e-15	1
ule-3	5.29910636473623e-15	1
unc-122	7.058855915690051e-15	1
Y62H9A.4	1.02347421379458e-14	1
snf-9	1.0758429259222e-14	1
F55B11.3	1.86220773491401e-14	1
Y116A8C.3	2.0132289701522602e-14	1
ttr-1	2.1392059300079602e-14	1
lgc-28	2.60160560679159e-14	1
oac-9	3.82731577623002e-14	1
Y51A2B.6	4.10477911952849e-14	1
Y95B8A.4	4.42983497113121e-14	1
Y57G11C.23	4.95404794811131e-14	1
ZK262.3	1.9806216662143599e-13	1
otpl-7	3.10828956063909e-13	1
D1081.11	1.18636118559432e-12	1
C31H1.5	1.4939603169060498e-12	1
H29C22.1	4.8968485139426596e-12	1
T05B4.14	5.73746196345781e-12	1
ule-5	1.1573529156216398e-11	1
Y62H9A.3	2.4250998009621598e-11	1
K07E3.9	4.0895952956051796e-11	1
F35C12.3	6.34130442865694e-11	1
ZK1010.5	1.59727365434091e-10	1
Y62H9A.5	2.10436550194051e-10	1
D1054.10	2.77740392442153e-10	1
W02D9.6	3.6485793566716e-10	1
Y43F8C.5	8.26809108919706e-10	1
R13H9.5	1.3437078730948e-09	1
best-1	1.5092302948182e-09	1
Y105E8A.27	3.09277549144955e-09	1
ttr-12	4.3473228487113605e-09	1
Y105C5B.17	6.665114872983651e-09	1
fbxb-38	7.68711461794601e-09	1
F55B11.2	8.72674919257456e-09	1
T19H5.7	1.7050707788374e-08	1
K08C9.2	1.76368370989316e-08	1
nkb-2	2.44095095797294e-08	1
ZK813.3	6.2631988407115e-08	1
Y57G11B.3	6.61377577319212e-08	1
F01G12.18	7.41844103143172e-08	1
gmeb-3	2.17911852301403e-07	1
F17E9.4	2.4173926572873e-07	1
F57C2.4	4.09210662852615e-07	1
ttr-14	4.43652360983939e-07	1
try-10	4.44656945502309e-07	1
ZK856.5	7.57315350600236e-07	1
F40D4.17	1.20053364444347e-06	1
F53H4.2	1.31057110807458e-06	1
Y37D8A.19	1.39190954427978e-06	1
ZK930.7	1.93239064343737e-06	1
T08B6.4	4.65532530902779e-06	1
K09E4.1	5.68525966780766e-06	1
C17C3.9	6.89257187645023e-06	1
math-48	9.92365515270722e-06	1
K07A1.6	1.31337564686191e-05	1
C04H5.7	1.38278700051826e-05	1
F57B9.8	1.40933088473686e-05	1
F54F7.3	1.87233955346369e-05	1
Y105C5B.18	2.4139977636331e-05	1
ZK262.2	3.08816462916108e-05	1
B0432.11	3.45669519222781e-05	1
ZK813.7	4.22685063281959e-05	1
C14F11.4	4.76028756207615e-05	1
ZK795.2	5.27951482385031e-05	1
ZC373.2	7.72398125094073e-05	1
C47E8.1	9.67325987868445e-05	1
ZK813.1	0.0001277853759345	1
irld-3	0.0001394529092934	1
C01G10.14	0.0001413867924582	1
acp-3	0.0001460386847338	1
clec-175	0.0002369684636782	1
kin-21	0.0004692015698621	1
Y43F8C.9	0.000595040301737	1
C17H12.5	0.0006642661012273	1
C28C12.11	0.0010856002188504	1
T04B2.7	0.0011649234977749	1
nep-20	0.0013835455930256	1
try-7	0.0020368525999505	1
ZK84.2	0.0027453387064959	1
D1086.17	0.0046656367339104	1
mpst-4	0.0048677227458179	1
F22E12.1	0.0053191248180023	1
F21D9.2	0.005339555490587	1
D1086.11	0.0058618680673055	1
B0252.5	0.0112468071964235	1
F56A11.6	0.0180116528034367	1
C06C6.7	0.0191625619204667	1
Y54F10BM.12	0.0358092422661338	1
M28.9	0.0374032975831575	1
H34I24.1	0.0437851310058665	1
K07H8.5	0.0526802075453559	1
Y54G2A.15	0.0586960157632996	1
F36G9.13	0.0637523820444048	1
Y38H8A.4	0.0852646183549881	1
H12D21.5	0.0855445039226669	1
W02D9.7	0.0877105874601481	1
tsp-18	0.101738723228542	1
Y47G6A.13	0.120081286973993	1
D1081.12	0.12407294773024	1
Y110A2AR.1	0.133287257683949	1
wht-4	0.151097600354953	1
ttr-42	0.154714550056139	1
Y57G11B.5	0.15993288759909	1
F32B6.10	0.166913194805048	1
T16G12.3	0.168338197091963	1
M05D6.1	0.17622335536738	1
C48B4.11	0.178028052551314	1
F26A3.5	0.179674482854344	1
Y116A8C.469	0.184634952149047	1
Y37E11AL.2	0.186095005838491	1
ZK1225.4	0.206867175732113	1
K09H9.9	0.211940265988302	1
W03D8.5	0.219835364013262	1
nrf-5	0.221951619587975	1
mpz-6	0.22798386603061	1
K12H6.2	0.229647128465717	1
elo-7	0.231904582451896	1
C42C1.8	0.232164049389349	1
Y38H6C.15	0.236214659143836	1
Y82E9BR.2	0.242951662987753	1
Y37E11B.10	0.249425356878701	1
fbxa-211	0.257965150864809	1
Y37D8A.5	0.257999389795186	1
spe-41	0.260686775928044	1
exo-1	0.267450845887374	1
C09F9.1	0.26763674309784	1
clec-117	0.278866562483678	1
R12B2.3	0.295706442054811	1
oac-19	0.300370460904796	1
F35H8.1	0.314117446156915	1
snf-5	0.323870282018159	1
F13D12.9	0.339691399456848	1
T08B6.9	0.346343918159913	1
wht-6	0.351571044126281	1
F46F5.14	0.354229919798697	1
T28B8.4	0.355925952799028	1
tpxl-1	0.361161903007493	1
dna-2	0.37333469982529	1
C15A11.2	0.375380789756073	1
B0035.6	0.376231726159644	1
C30G12.6	0.388022444092111	1
C56C10.6	0.393903135632868	1
prom-1	0.394857880912654	1
C48B4.7	0.399381333829941	1
F01D5.8	0.413234186157995	1
C38C6.5	0.426731621975593	1
epi-1	0.431272204213134	1
K06B4.15	0.437032470640552	1
F47B3.4	0.44528070781269	1
chk-2	0.465197512928912	1
T21C12.4	0.468030259844276	1
R06B10.2	0.468848804546564	1
T10E9.6	0.4714699450843	1
his-64	0.483401503940362	1
clec-79	0.484936427407956	1
D2062.4	0.488363016819207	1
gpr-2	0.522053684950429	1
sfxn-1.1	0.53092476786971	1
K10C2.14	0.532653625025077	1
C18G1.9	0.537603864105189	1
rad-54	0.547177545997895	1
puf-6	0.549362842292655	1
C14A6.6	0.553475187563242	1
Y87G2A.20	0.555059421926238	1
scrm-8	0.572208992663284	1
cdl-1	0.573699118020006	1
Y113G7C.1	0.578749921822491	1
prde-1	0.584007552615176	1
san-1	0.591641938208085	1
dnj-28	0.595701297382584	1
F49D11.14	0.595948750254021	1
F54F12.1	0.603466771538465	1
T08G3.7	0.620318922085369	1
C55A6.11	0.624415513076026	1
C42C1.9	0.633058103439198	1
T28A8.3	0.633952508151608	1
F43D2.3	0.636934652616403	1
irld-1	0.641855964565901	1
Y4C6B.1	0.652603530518136	1
C18H7.4	0.655288813014688	1
zwl-1	0.657297737700865	1
enu-3.2	0.664221811502851	1
pot-2	0.664615335344637	1
orc-5	0.664990861243446	1
E02H9.7	0.678948709105765	1
nas-21	0.688915428991124	1
Y37E3.19	0.697300679273523	1
F43E2.6	0.700145661224328	1
C03C10.2	0.702422731361261	1
T16H12.2	0.707551839182475	1
W09D6.1	0.729058975540143	1
ZK1053.2	0.736653096961078	1
T28A8.8	0.737374185026541	1
Y49E10.10	0.740780264555747	1
R09H10.2	0.748564459475088	1
dog-1	0.76169383065603	1
C31H1.2	0.762141113683433	1
C55B7.11	0.770890015924473	1
F54D10.5	0.772840236090773	1
W09C3.2	0.785233726268337	1
F55A11.11	0.793543128533181	1
set-24	0.800111170524571	1
mctp-1	0.826049656005991	1
T27A3.5	0.896003484140126	1
C53B7.3	0.902666269173025	1
aat-9	0.911602219458107	1
nos-1	0.91844872642694	1
rpom-1	0.92540420984308	1
F55D12.6	0.930155709357177	1
fbxa-210	0.931432698653565	1
