gene_short_name	scaled_TPM	group_number
T19C3.5	3.3638945892167204e-17	1
cup-4	1.55120179636478e-16	1
aman-1	3.95914995503399e-16	1
K02E7.11	5.13502775370634e-16	1
ZC116.3	5.55923456729974e-16	1
clec-178	9.12461379217947e-16	1
F32E10.8	9.72208054082023e-16	1
clec-145	1.04068804475925e-15	1
lgc-26	1.3009473862248902e-15	1
oac-9	2.03548126080942e-15	1
Y49E10.29	2.27745681104839e-15	1
lgc-28	2.3902062211673103e-15	1
lgc-25	2.60811251129797e-15	1
unc-122	3.39915066692037e-15	1
Y73F4A.1	3.5589424395969605e-15	1
Y116A8C.3	4.286496426343471e-15	1
clec-222	6.122752247862121e-15	1
snf-9	6.671938148639811e-15	1
ZC317.7	7.33027333050211e-15	1
T13B5.9	7.745940907471881e-15	1
ZK262.3	7.791111963296051e-15	1
Y39F10A.3	8.60819564884918e-15	1
nep-8	1.08046056804375e-14	1
ttr-1	1.0861010730584e-14	1
clec-190	1.3212564272056e-14	1
Y43D4A.2	1.91027544541234e-14	1
T05B11.4	2.0410314930794998e-14	1
C31H1.5	2.24310887607002e-14	1
F38A5.22	2.5710296458631502e-14	1
F39F10.2	2.76746289906377e-14	1
K07A1.6	3.48164204659004e-14	1
Y116F11B.8	4.25363558613075e-14	1
F07G11.4	4.93417780054594e-14	1
col-45	5.53198937515574e-14	1
F19H6.4	6.150468380359231e-14	1
ZC317.1	6.72666014163675e-14	1
phy-4	7.32771221159234e-14	1
Y62H9A.4	1.51988238767715e-13	1
W04C9.9	1.61027323996448e-13	1
Y51A2B.16	2.0350686917451598e-13	1
nep-10	2.18994777613129e-13	1
F17E9.3	3.51412141856699e-13	1
Y17G7B.19	3.7825535582259995e-13	1
fbxb-15	5.872669875972209e-13	1
nhr-192	6.61309179882085e-13	1
ssp-37	8.73489186305277e-13	1
Y62H9A.3	1.3025883550420001e-12	1
T05B4.14	1.4372427067814599e-12	1
T05C12.4	1.58744509811928e-12	1
ule-3	1.8605381194868798e-12	1
C54D10.4	2.24111229878854e-12	1
str-159	5.78408632397948e-12	1
best-1	1.0321406818267898e-11	1
ZK1010.5	1.1827746133459498e-11	1
irld-4	1.7455335430187897e-11	1
F35C12.3	2.6423244348565198e-11	1
C35A5.4	4.3690425509344094e-11	1
F56D6.23	4.843874525832729e-11	1
F55B11.3	5.1949059767079497e-11	1
clec-151	5.4190812297211396e-11	1
F01G12.18	1.37387225259541e-10	1
ZC190.7	1.97423112556506e-10	1
Y105E8A.27	2.05274605591682e-10	1
D1054.10	2.09671312833389e-10	1
W02D9.7	2.25429458039816e-10	1
fbxa-94	2.32488351842517e-10	1
ttr-13	4.21956383577535e-10	1
clec-119	5.75990868017536e-10	1
pitr-5	6.17141351453117e-10	1
F27E5.3	8.81513894115355e-10	1
abf-1	1.1065041973599401e-09	1
Y51A2B.6	1.3343242400886602e-09	1
F07C4.6	1.4021517045955602e-09	1
R07B1.8	1.59991215204871e-09	1
D2062.13	1.9460360515465904e-09	1
K02F6.3	2.7034479277059902e-09	1
Y105C5B.17	2.98742543310171e-09	1
C18H7.7	4.1039616628277e-09	1
F46F5.16	4.2652963862463205e-09	1
F59E12.3	5.9845760390484e-09	1
T19H5.7	6.5072400419503105e-09	1
F28G4.2	6.817077959388521e-09	1
F56F4.3	7.467812515180171e-09	1
Y47H9B.2	1.14107478231074e-08	1
ttx-1	1.26448672176205e-08	1
gmeb-3	1.27507807733755e-08	1
F36A4.1	1.46618035564074e-08	1
ttr-9	1.47354730281983e-08	1
ZK1225.5	1.6353789068274e-08	1
ZK813.3	1.82504498392956e-08	1
ZC190.8	5.50804103406028e-08	1
F26B1.1	6.1869615637168e-08	1
F31D5.1	6.67625618745866e-08	1
irld-6	7.04910600704728e-08	1
F17E9.4	8.06313977981837e-08	1
M02B1.4	8.18943605972726e-08	1
nep-13	1.11128730057548e-07	1
W02B12.13	1.54258664720078e-07	1
ttr-12	1.68329399161801e-07	1
Y25C1A.6	1.92933244309352e-07	1
ttr-14	2.01225976508386e-07	1
AH6.3	2.14763908846338e-07	1
Y95B8A.4	2.23395984664184e-07	1
Y43F8C.5	2.39134415105598e-07	1
Y62H9A.5	2.59117756611061e-07	1
sst-20	3.87741484449296e-07	1
H29C22.1	5.41220830767416e-07	1
C04H5.7	5.5726689694448e-07	1
cin-4	6.18683246475141e-07	1
C55C3.8	6.94620875573137e-07	1
math-48	8.55198654291206e-07	1
Y57G11C.23	1.43785058740959e-06	1
T08B6.4	1.81834230750944e-06	1
F14D7.1	2.42158152161199e-06	1
W09C3.2	3.2347399122061e-06	1
K08C9.2	3.43046318753063e-06	1
Y37D8A.19	4.05497331302904e-06	1
nep-23	5.30732063716083e-06	1
snpc-3.3	5.52296515120903e-06	1
D1086.6	7.12139885218131e-06	1
ZK813.7	7.14526822347517e-06	1
nkb-2	7.48472888763832e-06	1
C14F11.4	8.17592765297338e-06	1
ZK795.2	8.3220411336507e-06	1
ZK262.2	9.97415967539438e-06	1
W02D9.6	1.00228238306534e-05	1
best-6	1.01648086404511e-05	1
ZK973.4	1.25298780938844e-05	1
ZC373.2	1.65115487861782e-05	1
F22F7.11	1.74457221682871e-05	1
Y116A8A.2	2.09652961856947e-05	1
ZK813.1	2.66728203060453e-05	1
C28C12.11	3.1093049159208e-05	1
irld-3	3.48864374671629e-05	1
Y105C5B.18	4.23551054679973e-05	1
clec-175	5.44651057045758e-05	1
acp-3	8.44106027186836e-05	1
F55B11.2	8.91947312235993e-05	1
try-10	9.35789999312521e-05	1
nep-20	0.0001091752969183	1
ule-5	0.0001364973580139	1
irld-14	0.0002303319048557	1
F36G9.15	0.0002305222634741	1
ZK84.2	0.0002409805371022	1
Y50E8A.2	0.0002477416323463	1
EEED8.4	0.0002745059148282	1
Y43F8C.9	0.0003064701522902	1
F22E12.1	0.0003642427829673	1
Y116A8C.33	0.000409375236889	1
spe-38	0.0004336040748003	1
Y97E10AR.8	0.0004437251261441	1
F47E1.4	0.0005304803308106	1
M162.7	0.0006881491156612	1
D1086.17	0.0007156487331056	1
Y34F4.3	0.0008827620147007	1
C55A6.11	0.0012726986399248	1
lam-1	0.001588228911545	1
pqn-88	0.0018556578588625	1
spe-12	0.0019826128447808	1
C04G6.6	0.0021415232413052	1
Y38F2AL.12	0.0024079806195205	1
ttr-28	0.0028963026668716	1
R01H2.2	0.0055510039989749	1
F35C11.3	0.0065807235300226	1
C40C9.3	0.0074761089653479	1
nep-9	0.0075848894254693	1
F57C2.4	0.0076169113428784	1
Y57G7A.6	0.0082470251810148	1
irld-18	0.0085263920702692	1
Y73B6BL.12	0.0090847647220751	1
F52C6.4	0.0093623026383705	1
F54D10.4	0.0103190820611054	1
T27F6.1	0.0110634461526481	1
Y116A8C.24	0.0123104574985128	1
oac-19	0.0123739919865994	1
Y54G2A.15	0.0129344991558092	1
Y39E4A.1	0.0129660025688029	1
C14A6.8	0.0139192469798593	1
C18H2.5	0.014181371879539	1
nrf-5	0.0145677771289628	1
T02E1.7	0.0148629443209532	1
D1081.10	0.0150876212879557	1
M04G7.2	0.0153956145899425	1
M28.9	0.0174140755285219	1
spin-2	0.0196909600024796	1
F14D2.5	0.0198273576740207	1
twk-6	0.020628731991505	1
ttr-42	0.0212437997877257	1
F28F8.7	0.0213430575032779	1
nep-24	0.0213620538955949	1
Y53G8AR.1	0.0217099979357052	1
his-32	0.021974876761103	1
dpy-17	0.0240906658108765	1
M110.7	0.0249271085223857	1
ZK930.5	0.0249280543319367	1
F54F7.3	0.0258716771874749	1
C06E1.11	0.0259726254128366	1
gly-14	0.026818301225165	1
D1081.11	0.0269641672504805	1
Y54F10BM.12	0.0300096208602222	1
Y23H5A.8	0.0319923421104217	1
H34I24.1	0.0330601507795925	1
Y54G11A.14	0.0353678469759776	1
F59A1.15	0.0359574328637583	1
clec-153	0.03651504066977	1
T22A3.6	0.0371319822429769	1
Y81G3A.1	0.0372304058114871	1
ttr-58	0.0384880632095099	1
irld-8	0.0416810956024348	1
H14A12.5	0.041771641143912	1
Y37H2A.7	0.0439178157994216	1
Y73B3A.13	0.0442753179816279	1
Y66D12A.19	0.0466701371066123	1
F59C6.18	0.047543492379075	1
M01A8.1	0.047891108749606	1
bath-21	0.0480239872681497	1
lam-3	0.0489061228812169	1
C02F5.2	0.0501430582467955	1
T06E4.5	0.0507445380218175	1
C17C3.11	0.051631709118973	1
F56D5.2	0.0538485964830295	1
T16H12.1	0.0539170903579816	1
Y77E11A.23	0.0544533255675953	1
C52B11.4	0.0557222130121494	1
F10E7.11	0.0564862511366759	1
set-21	0.0567101394875372	1
T27F7.12	0.0575765683456402	1
pgp-13	0.059263173667619	1
best-11	0.0598259359783252	1
Y116A8C.23	0.0625204404846068	1
F26H11.4	0.0631560032665516	1
F14D2.15	0.0640661022986622	1
F14D2.2	0.0651654682668656	1
C50E10.2	0.0652828771567085	1
Y71G12A.4	0.0656183093140039	1
wht-8	0.0663694047515466	1
F40G9.17	0.0676524744481496	1
grl-18	0.0678592528792125	1
K11H3.4	0.0684033789862218	1
Y69A2AR.32	0.0705067659570471	1
C43F9.5	0.071365204501697	1
Y80D3A.8	0.0721381074029753	1
dhhc-12	0.0733091972925446	1
C40A11.8	0.0734098517279392	1
K08E4.7	0.0761840073770211	1
cdk-2	0.0774453226996446	1
nspe-4	0.0775077043020129	1
bath-35	0.0786155346528229	1
F41E6.1	0.0807090923862879	1
T10E9.8	0.0830108326140875	1
R08C7.8	0.0837304614268731	1
wht-4	0.084454104972482	1
ZK678.3	0.0846322860030892	1
elo-8	0.086147106459979	1
Y51H7C.1	0.0885579653117683	1
Y48G1BL.8	0.0892253733785224	1
F40H6.1	0.0905263974020807	1
F21D9.2	0.0918859004651623	1
C46H11.7	0.0937352889681279	1
F40E12.2	0.0943319981268893	1
pes-8	0.0947693112357305	1
R10D12.10	0.0955472560142355	1
T08G3.7	0.0983037629492839	1
Y53C12A.11	0.0992665817690587	1
Y95B8A.8	0.0998953017383421	1
Y48G9A.7	0.101705620332683	1
F36G9.13	0.10252445687537	1
twk-37	0.102789802233762	1
F46F5.7	0.104211941899886	1
C46E10.1	0.106158237683298	1
Y71G12B.26	0.107460044562199	1
T15H9.5	0.10818987416677	1
F15H9.1	0.108282485729402	1
F35H8.1	0.109048829840339	1
W03G11.2	0.109486377902348	1
Y53G8AM.5	0.110573138981333	1
T08B6.9	0.11370410873812	1
ZK1225.4	0.113983725715106	1
ZK39.10	0.116886059715256	1
srf-3	0.117082011120741	1
F58D2.2	0.117144755555108	1
K06B4.15	0.117545797801152	1
T12G3.11	0.118041968839531	1
Y39B6A.30	0.118156225723846	1
Y39F10C.1	0.118188890653304	1
E02H9.7	0.118616100524948	1
bath-34	0.120117460621565	1
C37H5.14	0.120813208829766	1
ZC262.7	0.120840587503953	1
C06C6.6	0.122524933483114	1
snf-5	0.123519566506363	1
F41D3.9	0.123527708399523	1
ZK1055.4	0.124817134546835	1
C06C6.7	0.125344429975827	1
erp-44.3	0.127313675706199	1
C18A3.9	0.127911901229408	1
enu-3.2	0.128594885281957	1
R02D5.10	0.128608007053035	1
C03B8.2	0.12868966673503	1
F54D5.5	0.129662813341793	1
mrpl-46	0.129901547420061	1
mrp-8	0.131296348051799	1
clec-79	0.136093011790391	1
C01G10.1	0.138150882324271	1
peel-1	0.140389950472027	1
snf-10	0.142517662056361	1
strm-1	0.143350349427731	1
F36A4.5	0.144937367872188	1
F47G6.3	0.145848120206288	1
F56H1.3	0.148402143649953	1
F23H12.10	0.148966262603514	1
Y81G3A.4	0.149556874150377	1
F40F11.4	0.150746054284411	1
D1081.12	0.151461313556561	1
C35D10.3	0.152088085519837	1
ZK892.3	0.152091707786023	1
F25H5.10	0.152124397572544	1
R05D3.3	0.152939053802314	1
F36D3.5	0.154638267932403	1
F42G4.5	0.154693466897489	1
B0432.9	0.155294112687595	1
F52C6.3	0.156238692727891	1
Y39B6A.18	0.156471231007187	1
R155.3	0.157623080121395	1
oac-23	0.158873984080164	1
maph-1.2	0.160183309728242	1
bath-27	0.16032431865658	1
tsp-19	0.161460309085627	1
pitr-6	0.161662035600006	1
K08H2.5	0.161774683285178	1
Y47D9A.5	0.163616271472829	1
dhs-24	0.165788103006286	1
D2096.13	0.167018829995806	1
T02H6.3	0.169336039748	1
H04D03.4	0.169970301976509	1
R03D7.2	0.174908412509998	1
Y8A9A.2	0.176171806651543	1
Y38F1A.7	0.180904883587643	1
