gene_short_name	scaled_TPM	group_number
ttr-1	2.9201327244261304e-15	1
lgc-28	3.37684486657862e-15	1
Y73F4A.1	3.97184037843459e-15	1
Y116A8C.3	4.4220870562966504e-15	1
clec-178	4.9697792643118106e-15	1
F55B11.3	7.28004811537341e-15	1
clec-145	8.93934477267924e-15	1
F32E10.8	9.397398745138761e-15	1
lgc-25	9.61712155509869e-15	1
ZC116.3	1.38882533048921e-14	1
ZK1225.5	1.7226962333697302e-14	1
T05B11.4	1.7480395533331e-14	1
ZK1251.3	2.5640717006404903e-14	1
lgc-24	2.6737610464771103e-14	1
F38A5.22	4.96438052121563e-14	1
C18H7.7	6.69833328806662e-14	1
Y57G11C.23	8.51584507604452e-14	1
ZK813.3	9.981697028971071e-14	1
gcy-2	1.08982372211178e-13	1
ZK795.2	1.9677000226877899e-13	1
ZK262.3	2.15825252120176e-13	1
nep-8	4.43567825363894e-13	1
K09H11.11	5.67743921302979e-13	1
C31H1.5	7.70560397545339e-13	1
phat-4	8.27655598479091e-13	1
Y62H9A.3	9.084531054792409e-13	1
ssp-37	9.94438807771327e-13	1
H29C22.1	1.4666351610811998e-12	1
Y62H9A.4	1.99142134776333e-12	1
F35E2.9	2.14321752483837e-12	1
W05B10.6	2.55310991899399e-12	1
T05B4.14	4.22619369858732e-12	1
ule-3	4.48622681980491e-12	1
T21E12.5	2.7901028885853197e-11	1
Y62H9A.5	8.626688106034401e-11	1
Y59E9AL.8	9.1496295830115e-11	1
Y43F8C.5	9.386573896145519e-11	1
C35A5.4	1.65926858196206e-10	1
Y43F8A.2	3.0695216956032203e-10	1
W02D9.7	8.49334001974707e-10	1
D1054.10	1.1241394874655101e-09	1
clec-151	1.1431305222081e-09	1
M02B1.4	1.2285785005558702e-09	1
F07C4.6	1.4593554898442702e-09	1
ZK1010.5	2.3358100307275702e-09	1
R10D12.10	3.70344825898688e-09	1
F54F7.9	4.6191521362785e-09	1
C29E4.14	7.65629003526226e-09	1
K08C9.2	2.73433981719376e-08	1
F59E12.3	3.19014055596568e-08	1
nkb-2	4.08611532698926e-08	1
F01G12.18	4.93533337155342e-08	1
try-10	5.76406188283688e-08	1
Y57G11B.3	6.00699303787954e-08	1
ttr-9	7.45282471475546e-08	1
F17E9.4	8.53073312700646e-08	1
cin-4	1.03033655190219e-07	1
C14F11.4	1.23197417654276e-07	1
D1086.17	1.32970685778817e-07	1
F36A4.1	1.79520208855796e-07	1
