gene_short_name	scaled_TPM	group_number
clec-145	2.76689525232011e-16	1
cup-4	5.6123519382758e-16	1
lgc-28	1.0005584295341501e-15	1
Y116A8C.3	1.7576380229097001e-15	1
T19C3.5	2.2148569313357202e-15	1
lgc-25	2.31511178568809e-15	1
nep-8	3.6743086776941704e-15	1
clec-190	4.289122460105711e-15	1
F38A5.22	4.895167253900941e-15	1
unc-122	8.13832653694475e-15	1
Y62H9A.4	9.301477773864301e-15	1
T05B11.4	9.433215862728771e-15	1
Y73F4A.1	1.14292863853547e-14	1
ttr-1	1.3761189472439999e-14	1
snf-9	1.47114598611503e-14	1
Y51A2B.6	1.4760109098724902e-14	1
F55B11.3	1.8135212290483e-14	1
F54B3.2	1.8954060366547702e-14	1
C31H1.5	2.01433077375094e-14	1
F16B12.1	2.8121492374786302e-14	1
Y49E10.29	2.96117313644687e-14	1
clec-178	3.53304893302359e-14	1
twk-37	4.98338416547277e-14	1
K07A1.6	5.20176463137784e-14	1
ZK813.3	7.20845177100087e-14	1
clec-208	1.00073670632358e-13	1
acp-3	1.11195037525497e-13	1
C25F9.2	1.36644532359773e-13	1
Y116F11B.8	1.63894656564219e-13	1
T21E8.4	2.61249649081051e-13	1
Y116A8A.6	2.64431377594979e-13	1
ZK795.2	3.0400018707037996e-13	1
K06H6.5	3.78486082909089e-13	1
F15D4.4	1.6145057834574399e-12	1
T02E1.7	3.0977261654178697e-12	1
H29C22.1	3.2298604282788397e-12	1
ule-3	5.33087545060108e-12	1
C54D10.4	5.46269310202732e-12	1
ule-5	8.05745569589803e-12	1
Y75B8A.32	1.0198736361790599e-11	1
oac-23	1.2434520099797298e-11	1
F56H1.10	2.1705587816021598e-11	1
Y105C5B.17	3.23690101168426e-11	1
ZK1010.5	5.1756620628515195e-11	1
C35A5.4	2.77792289784392e-10	1
D1054.10	3.1597835125491004e-10	1
F01G12.18	5.11348064804281e-10	1
W02D9.7	7.67613580879247e-10	1
irld-6	2.00682048415579e-09	1
Y39F10A.3	2.1319336656604803e-09	1
ttr-12	6.002579056995081e-09	1
K02F6.3	7.113464575658931e-09	1
C18H7.7	9.9694416820248e-09	1
nep-13	1.22784111089647e-08	1
ZK1248.5	1.89659814527184e-08	1
clec-123	2.45251264182911e-08	1
thn-5	2.6301147064024e-08	1
K08C9.2	3.41683030603555e-08	1
ssp-37	4.94218148515889e-08	1
