gene_short_name	scaled_TPM	group_number
aman-1	9.48875479946884e-16	1
lgc-26	1.1726786264996102e-15	1
sst-20	1.9092565385523002e-15	1
Y73F4A.1	3.4179325706566603e-15	1
ule-3	4.73814501538042e-15	1
Y57A10A.1	6.596898803024641e-15	1
Y116A8C.3	7.56972011053621e-15	1
C31H1.5	8.04107027282231e-15	1
clec-178	1.06505208895059e-14	1
F32E10.8	1.3448681650753201e-14	1
Y62H9A.4	1.5430329078768602e-14	1
K02E7.11	1.7770349736275702e-14	1
pes-23	1.8794698981601502e-14	1
Y49E10.29	2.24278804408259e-14	1
F55B11.3	3.21243879180713e-14	1
Y26D4A.12	4.9127075914198405e-14	1
F56C4.4	5.91990481921047e-14	1
ZK262.3	1.73914797548107e-13	1
clec-79	4.95807746232183e-13	1
M70.1	6.52415572093126e-13	1
Y62H9A.3	4.0534459339096096e-12	1
H29C22.1	4.89413755164332e-12	1
C54D10.4	8.63853381666198e-12	1
ule-5	1.4573169647209697e-11	1
M02B1.4	5.0063729321692e-11	1
K11H3.8	5.1146805312998096e-11	1
Y43F8C.5	9.858784189596649e-11	1
peel-1	4.97908614007795e-10	1
R13H9.5	6.03740705730217e-10	1
K11H12.6	6.68114199097386e-10	1
fbxa-94	1.0614011933164601e-09	1
D1054.10	1.07831151595052e-09	1
clec-119	2.19773205145227e-09	1
M162.7	2.4947515649947604e-09	1
B0207.9	2.8906374462627e-09	1
F28A10.7	3.85373561241935e-09	1
K02F6.3	1.57409009402418e-08	1
C18H7.7	1.88609775323157e-08	1
T19H5.7	1.8886196096179e-08	1
ZK1225.5	2.11631588783853e-08	1
ZK813.3	4.22628100876228e-08	1
C04H5.7	6.86327704330553e-08	1
ttbk-2	9.41505380280927e-08	1
F57C2.4	1.78084862016874e-07	1
ZK813.7	1.97181171728292e-07	1
K01A6.5	2.33645631578136e-07	1
clec-123	2.34387134888087e-07	1
ZK795.2	2.54065737096639e-07	1
T08B6.9	2.64069297227124e-07	1
F17E9.4	4.57609873940177e-07	1
ttr-12	5.84047716260521e-07	1
Y95B8A.4	6.80550569928695e-07	1
clec-153	7.85134026960958e-07	1
Y62H9A.5	9.29540503436781e-07	1
oac-9	1.16310726848601e-06	1
ttr-14	1.39414302170386e-06	1
ttr-9	1.52926878146798e-06	1
E02H9.7	1.58414565709419e-06	1
Y48B6A.5	1.92921819019597e-06	1
spe-19	1.95842582118305e-06	1
Y50E8A.6	2.49289933757373e-06	1
C01G12.3	2.558698157997e-06	1
Y105E8A.27	2.94804118220778e-06	1
cup-4	3.04809442179485e-06	1
Y37D8A.19	3.43212397413221e-06	1
K07A1.6	3.60441094346188e-06	1
F58D2.2	4.04272802126289e-06	1
C14F11.4	5.63103968889941e-06	1
ZK84.2	7.24205847021958e-06	1
C28C12.11	1.37816657343642e-05	1
C50E10.2	1.64134755289963e-05	1
K08C9.2	3.00307605339952e-05	1
Y105C5B.18	6.42133472321053e-05	1
W02D9.6	6.78585870954001e-05	1
ZC373.2	9.39154287491216e-05	1
F19C7.5	0.0001022673156829	1
Y116A8A.2	0.0001226315729907	1
Y39B6A.30	0.0001238237414097	1
F40E3.5	0.0001541532011839	1
Y43F8C.9	0.0001906922944606	1
irld-14	0.0002571125501427	1
F55B11.2	0.0003802913694218	1
ZK813.1	0.0007200156040117	1
comp-1	0.0011969880657681	1
abf-1	0.0016799454018915	1
C14A4.8	0.0025189926971903	1
T05B4.14	0.0026783602184582	1
K09H9.9	0.0043864687885918	1
Y57G7A.6	0.0054742838348174	1
epi-1	0.0056922265445082	1
Y54G2A.15	0.0064015265172522	1
F56D6.14	0.0066963766909813	1
F54F7.3	0.0080018920006909	1
D1086.17	0.0101447707500858	1
Y54F10BM.12	0.0109895814813292	1
M28.9	0.0136125712560435	1
AH6.3	0.0160922239338361	1
hdl-2	0.0185655108106762	1
F40H6.1	0.0199425569732853	1
pssy-2	0.0201237188979621	1
D1086.6	0.0269943747618545	1
Y97E10AR.8	0.0337601786680196	1
Y49E10.10	0.0360318374532912	1
C30G12.6	0.0366565941936807	1
C43F9.5	0.0410083653716584	1
F56A11.6	0.0419569430477858	1
F35H8.1	0.0423077627943775	1
W02D9.7	0.0543985448878912	1
chil-14	0.0548098124393884	1
H34I24.1	0.0576170279323327	1
Y69A2AR.19	0.0592003902891415	1
R04B5.11	0.0667059645192188	1
pck-3	0.0687005711032533	1
dhhc-12	0.07232585625121	1
dnj-28	0.0746485622589741	1
R03D7.8	0.0802457885340411	1
ttr-42	0.0824313062312944	1
F22B5.5	0.0901161271148774	1
ZK930.4	0.0919731781674079	1
