gene_short_name	scaled_TPM	group_number
aman-1	8.17015258037546e-17	1
cup-4	1.0918447788326201e-15	1
T19C3.5	1.7042291721880201e-15	1
H29C22.1	2.8968010589252802e-15	1
lgc-26	3.8941432766118306e-15	1
Y73F4A.1	5.8793934091865105e-15	1
Y62H9A.4	6.955104222250351e-15	1
F55B11.3	8.2782157723261e-15	1
Y116A8C.3	1.2523273589575101e-14	1
ttr-1	1.3418961887860999e-14	1
clec-223	1.93200774725054e-14	1
rme-6	2.2633419192862702e-14	1
lgc-28	2.27950937184495e-14	1
lgc-24	4.37261476312977e-14	1
phy-3	4.45252242774624e-14	1
clec-178	1.44881512301784e-13	1
twk-37	2.85101426162879e-13	1
F38B2.3	8.63577340076082e-13	1
C46E10.1	3.66164710810067e-12	1
ule-3	1.3137847345521099e-11	1
T02E1.7	4.44637609189073e-11	1
F35C12.3	6.61161220855281e-11	1
H20J04.1	9.479255120123219e-11	1
Y59E9AL.8	1.14547665387009e-10	1
D1054.10	4.49326377033971e-10	1
abf-1	1.52154622817418e-09	1
Y57G11B.3	6.21513064045921e-09	1
Y62H9A.3	8.31162172139765e-09	1
irld-6	1.07878157610059e-08	1
ZK1248.5	1.19025398289156e-08	1
Y47H9B.2	1.99743021596009e-08	1
F29G9.7	3.40422129921196e-08	1
ssp-37	4.59954431270901e-08	1
ZK813.3	4.92382399055007e-08	1
C09D4.3	8.13455163107886e-08	1
T05F1.8	1.12569809188179e-07	1
C18H2.5	1.390802487579e-07	1
F17E9.4	1.49329668942714e-07	1
clec-175	1.67147064732689e-07	1
Y62H9A.5	2.17054525059376e-07	1
bgnt-1.6	3.15862033290589e-07	1
ZK856.5	3.59396188097121e-07	1
ttr-14	4.19575446863645e-07	1
Y69H2.3	4.45780876344179e-07	1
K01D12.5	6.14135191162739e-07	1
M162.7	7.18707743810626e-07	1
F57C2.4	1.4158880821693e-06	1
sst-20	1.69752647185205e-06	1
C04H5.7	2.33454567250325e-06	1
K07F5.6	2.75770013288389e-06	1
Y37D8A.19	2.83920115353611e-06	1
K12B6.2	5.17586173729683e-06	1
snb-5	5.24552445172374e-06	1
K07A1.6	5.28341418677737e-06	1
Y39E4B.13	5.61066865765884e-06	1
Y73B6BL.289	7.58303423829521e-06	1
C14F11.4	7.88922681767513e-06	1
T04A6.4	1.53268302204135e-05	1
scrm-6	2.02481912412665e-05	1
D1086.6	2.90057380617996e-05	1
snpc-3.3	3.52947904173945e-05	1
W02D9.6	4.82577126496691e-05	1
try-10	7.29226604406492e-05	1
C01G6.2	8.02789931787918e-05	1
ZC373.2	0.0001957161706531	1
F55B11.2	0.0004406853439924	1
ZK813.1	0.0005081940645762	1
irld-14	0.0009215559455753	1
C34B2.4	0.0014772632818541	1
D1086.11	0.0015043223553617	1
ZK813.7	0.0015272637142721	1
Y50E8A.2	0.0019046929525966	1
