gene_short_name	scaled_TPM	group_number
sst-20	1.8262047126282103e-15	1
Y116A8C.3	2.35688662961967e-15	1
ttr-1	4.6529173998139104e-15	1
Y62H9A.3	7.3922687817853e-15	1
Y73F4A.1	9.980474665279851e-15	1
F38A5.22	1.07698699959476e-14	1
lgc-25	1.16229291471116e-14	1
F32E10.8	2.7979256671698403e-14	1
clec-151	3.00288038537204e-14	1
E02H4.4	4.39218875186271e-14	1
clec-223	4.7509272185918804e-14	1
K06B4.15	6.10410099735679e-14	1
C50E3.12	6.7870705787573e-14	1
nep-20	1.14008652927601e-13	1
T16H12.13	1.32741089487342e-13	1
C18D11.10	1.48784564983826e-13	1
nep-8	4.34525532733278e-13	1
C31E10.1	4.85844262883373e-13	1
Y62H9A.4	1.10634537285999e-12	1
srj-4	1.2362798038473898e-12	1
fut-4	3.2608358684011898e-12	1
F35C12.3	7.04487309738979e-12	1
ule-3	1.4344602116619399e-11	1
F19C7.5	1.58513153887944e-10	1
Y43F8C.5	2.7533298488878503e-10	1
F55B11.3	3.49323904640389e-10	1
D1054.10	6.53328590049337e-10	1
R13H9.5	6.67911941493184e-10	1
clec-119	1.6975812522924502e-09	1
Y105C5B.17	1.8258798682271902e-09	1
ZK1010.5	2.39223964467733e-09	1
W02D9.6	2.4857522507501303e-09	1
ZK353.4	3.7931872732172605e-09	1
irld-6	1.55807720724609e-08	1
nep-13	2.08448913866631e-08	1
pes-8	4.23883019407067e-08	1
ttr-9	6.31068293419442e-08	1
ZK813.3	1.55290093504887e-07	1
Y116A8C.23	1.83885589141441e-07	1
nas-20	2.55466340924589e-07	1
ZK813.7	5.16105366495969e-07	1
clec-73	5.88987828058762e-07	1
Y62H9A.5	6.31725631750862e-07	1
ttr-14	7.12433745488974e-07	1
F42G4.6	9.80591014718029e-07	1
R03D7.8	1.37346364434866e-06	1
Y69H2.3	1.42299153521013e-06	1
K11D12.13	1.88182654061035e-06	1
Y37D8A.19	2.47376033615441e-06	1
ttr-12	2.57887541117909e-06	1
H29C22.1	2.87394534193705e-06	1
oac-9	2.93185939967471e-06	1
C14F11.4	6.77597671341432e-06	1
ZK795.2	8.22580828909037e-06	1
C04H5.7	8.86038268630428e-06	1
K07A1.6	1.05231844767824e-05	1
ZC373.2	1.5647739187795e-05	1
ule-5	1.81021496410115e-05	1
T08B6.4	2.52116749652088e-05	1
D1086.6	5.14154704183196e-05	1
Y105C5B.18	5.27617497653491e-05	1
ZK688.10	0.0001575094312101	1
AC7.3	0.0001647114122563	1
K08C9.2	0.0001649304213139	1
ZK84.2	0.0003797303115841	1
T13F3.8	0.0003823340764147	1
Y51B9A.7	0.0005616015311775	1
snf-5	0.0005833712949644	1
F08F8.6	0.0009949545014225	1
F17E9.4	0.0011998366586618	1
ZK813.1	0.0013186426150814	1
M162.7	0.0017332194796728	1
F55B11.2	0.0019279600383332	1
Y97E10AR.8	0.0024427458569647	1
F54F7.3	0.0037692727144219	1
D1086.11	0.0043974360362482	1
M28.9	0.0096822342792888	1
F37A8.1	0.0105750420422954	1
C10H11.7	0.0108312466120835	1
Y54G2A.15	0.0199607423858816	1
