gene_short_name	scaled_TPM	group_number
cup-4	1.19771694022139e-15	1
lgc-26	2.2467040274148603e-15	1
lgc-28	2.5429477749315103e-15	1
Y73F4A.1	3.7050592073906205e-15	1
ule-3	5.23628892541934e-15	1
ttr-1	6.28303080220782e-15	1
abf-1	7.22501659119583e-15	1
nep-8	7.6905691397161e-15	1
F53C3.1	8.800682561528361e-15	1
clec-178	1.0290127862614801e-14	1
Y116A8C.3	1.09731508296314e-14	1
aman-1	1.2276399640475401e-14	1
R10E9.3	1.35231888586697e-14	1
F38A5.22	1.78476732570989e-14	1
F55B11.3	2.6709903146171902e-14	1
F54F7.9	2.89244692005171e-14	1
lgc-25	3.2537503791547804e-14	1
Y62H9A.4	3.50428978948023e-14	1
ZK809.1	3.59835268000128e-14	1
K02E7.11	4.00271950873248e-14	1
cof-2	4.3507617364341205e-14	1
ZK1225.5	7.97103109731933e-14	1
snf-9	1.04377117911484e-13	1
Y57G11C.23	1.23555837358152e-13	1
F33E2.5	1.4324038047903e-13	1
ttr-13	1.55914964991344e-13	1
K07A1.6	2.48066211003322e-13	1
lgc-23	3.25662449680289e-13	1
T09D3.3	4.77404375520061e-13	1
bgnt-1.4	4.97694070701134e-13	1
ssp-37	5.52512854010896e-13	1
Y62H9A.3	1.24784986347007e-12	1
H29C22.1	1.33355046721494e-12	1
F25H5.2	1.49732352432937e-12	1
T05B4.14	1.98455948150902e-12	1
srg-42	2.01403500421833e-12	1
C31H1.5	2.0741719671574798e-12	1
fut-4	2.0343378424777497e-11	1
T21E12.5	2.36789799072218e-11	1
F26B1.1	4.5554297053669293e-11	1
irld-4	5.54515895707048e-11	1
best-1	1.33074493295703e-10	1
R102.8	1.4169059685841e-10	1
Y43F8C.5	2.78555492715188e-10	1
K02F6.3	2.87094368604188e-10	1
Y62H9A.5	3.23036610279061e-10	1
D1054.10	4.8262835467647e-10	1
M02B1.4	5.27448901014522e-10	1
F01G12.18	6.16965419619797e-10	1
W02D9.7	7.42295740809017e-10	1
C09B9.2	1.4220178153699101e-09	1
ttr-12	1.4566439778423401e-09	1
R10D12.10	3.2280010778273202e-09	1
D1081.10	6.857394316445091e-09	1
C29E4.14	8.069834334744061e-09	1
C55C2.4	2.113989678074e-08	1
D2062.13	3.50733224814217e-08	1
ZK1053.2	3.90761276470011e-08	1
unc-93	1.18696511485105e-07	1
nep-13	1.86275009505218e-07	1
ZC190.8	1.93705983406345e-07	1
F32B4.2	4.06858152652127e-07	1
C18H2.5	4.13980782171203e-07	1
