gene_short_name	scaled_TPM	group_number
aman-1	1.07680244634845e-15	1
ule-3	1.5297199410133502e-15	1
Y73F4A.1	4.06868751468909e-15	1
Y62H9A.4	4.9127555256169206e-15	1
clec-178	5.1871055307351505e-15	1
F55B11.3	5.9907594879726405e-15	1
ttr-1	6.735100715799711e-15	1
snf-9	7.35202221634422e-15	1
W02D9.7	8.36415213322315e-15	1
Y116A8C.3	1.09512113611337e-14	1
K07A1.6	1.1902297073297e-14	1
ZK856.5	1.3222047612276801e-14	1
mig-6	1.3462160017634e-14	1
D1086.6	1.40679680136475e-14	1
ZK813.3	3.4673077029427604e-14	1
Y51H7C.13	3.6069686928921e-14	1
F38A5.22	4.0928129484777504e-14	1
clec-222	5.19728250379114e-14	1
Y69H2.3	5.5105697281075403e-14	1
F17E9.4	5.85497407084503e-14	1
ttr-14	6.364011509340331e-14	1
Y47H9B.2	3.82357208226886e-13	1
Y62H9A.3	8.33935475591607e-13	1
F38B2.3	1.3275756917913e-12	1
phat-4	2.34776197320761e-12	1
ule-5	5.2560041202492095e-12	1
H29C22.1	5.6378096142786495e-12	1
F35C12.3	7.270985275563109e-12	1
M70.1	1.0596095896077399e-11	1
Y62H9A.5	3.29923247727792e-11	1
D1054.10	6.980593865890939e-11	1
F01G12.18	1.62670350637998e-10	1
ZC373.2	2.56967189139524e-10	1
M02B1.4	4.23314061404048e-10	1
W02D9.6	1.07118702644677e-09	1
C18H7.7	9.566351667669941e-09	1
F55B11.2	1.43986968350494e-08	1
R07B1.8	3.26601151151168e-08	1
nkb-2	3.92704992120273e-08	1
C04H5.7	4.55310330108047e-08	1
D1086.17	7.71729269756387e-08	1
ZK813.7	1.47764767836833e-07	1
ttr-9	1.59133473370794e-07	1
F57C2.4	3.72369399115736e-07	1
sst-20	4.02370468680479e-07	1
nep-13	4.27847303875482e-07	1
Y37D8A.19	6.02722513240275e-07	1
Y57G11C.23	2.10734061184258e-06	1
C14F11.4	3.14412922275692e-06	1
F54F7.3	4.91056272593308e-06	1
C28C12.11	1.74576572760304e-05	1
Y105C5B.18	2.24702481511598e-05	1
ZK813.1	3.67728411649745e-05	1
ZK84.2	5.11460786081569e-05	1
irld-3	6.73151328396527e-05	1
Y39B6A.30	0.0001937918000563	1
Y43F8C.9	0.0002264401087141	1
D1086.11	0.0008415228746958	1
F40H6.1	0.0061982323416256	1
C04G6.6	0.0071690672171731	1
ZK688.10	0.021399614319472	1
Y57G7A.6	0.0227917313221385	1
peel-1	0.0296282416116097	1
ttr-42	0.0781096326354263	1
C02B8.1	0.079684185986579	1
F13D12.5	0.121723191656278	1
Y116A8C.23	0.129427448949535	1
wago-4	0.134505991335937	1
C48B4.10	0.172430919453909	1
Y69A2AR.32	0.182478881310058	1
F21D9.2	0.197322379502071	1
maph-1.2	0.201578133502647	1
D1044.7	0.208337743241458	1
Y73B6BL.23	0.237610813240239	1
B0035.6	0.240976178273824	1
R148.4	0.25610200484136	1
fbxa-211	0.267272830221002	1
cyk-7	0.271716552657132	1
wht-4	0.292952545905722	1
tofu-4	0.313454375157169	1
T07C4.3	0.338006618480482	1
abf-6	0.338177854422543	1
bath-7	0.339137372867534	1
C30F12.4	0.339670516901612	1
F26F4.8	0.350577802661267	1
T12G3.4	0.365825256176125	1
Y57G11A.2	0.367467047446226	1
spo-11	0.368700977041924	1
chk-1	0.373907600136763	1
C50B8.6	0.385325416974557	1
F14D2.14	0.385417598552962	1
D1081.12	0.386357551214741	1
wago-10	0.394038347159003	1
him-14	0.395442458872435	1
F07E5.5	0.413608669763684	1
K06B4.15	0.425536296969953	1
mcm-3	0.430519187338879	1
htp-2	0.433247907984121	1
fbxa-197	0.436482900573377	1
F53H4.2	0.437952393393834	1
Y65B4BL.3	0.442651839951972	1
nlp-4	0.463194283518412	1
C36E6.8	0.477641156884652	1
brd-1	0.480596595402623	1
M28.8	0.491719813244572	1
clec-79	0.497138278200672	1
Y57A10A.2	0.503992928844326	1
duo-1	0.523530454460384	1
R02F2.4	0.531755386094651	1
coh-3	0.536162558197495	1
Y39F10C.1	0.554535060435494	1
F36D4.6	0.555351722365477	1
Y71G12A.4	0.556566655123969	1
exo-1	0.557714314889138	1
JC8.7	0.557819981831126	1
C34D4.10	0.561816864430717	1
T22H9.1	0.564419571671099	1
cep-1	0.566437926873171	1
C35E7.8	0.570717102389535	1
C39D10.6	0.573401641323508	1
F54F7.6	0.578184249267208	1
B0304.4	0.58107761885514	1
B0511.19	0.58387178563011	1
R07B7.2	0.589127926428445	1
ung-1	0.594457422672293	1
F57B10.4	0.594852768502643	1
egg-4	0.596770982483218	1
sun-1	0.598158216293004	1
R05F9.11	0.613090118333898	1
irld-8	0.615932779759614	1
zim-1	0.62946741092804	1
F26F4.5	0.632047411271185	1
C14B1.9	0.632295891232932	1
E02H1.2	0.632977612803644	1
twk-37	0.634942021206326	1
C17D12.7	0.635447942561049	1
klp-19	0.646184176569246	1
T28A8.3	0.652097203245417	1
cdk-2	0.656896449346041	1
F13B6.3	0.666899943355487	1
F36H12.2	0.668180284140381	1
chl-1	0.668230501057571	1
Y47G6A.3	0.67284244198439	1
gei-14	0.675358483374646	1
mut-7	0.677271915311074	1
F54D10.5	0.698305991608423	1
syp-4	0.708126194798084	1
nyn-1	0.71074181706014	1
Y113G7C.1	0.712123588486095	1
K08D9.9	0.720378842161859	1
Y42H9B.3	0.73745023719162	1
knl-3	0.749616730147558	1
pgl-2	0.752447483796845	1
R07C3.13	0.753255859641218	1
pms-2	0.753866517202221	1
C26F1.3	0.756578887716569	1
C53B7.3	0.760545427275455	1
Y23H5B.6	0.76806872046913	1
mis-12	0.77344642464869	1
F37A4.4	0.80284486010904	1
fbxa-192	0.818208560520675	1
fbxc-47	0.82029140561413	1
Y57G11C.40	0.827867330057761	1
B0001.7	0.830256232939085	1
unc-59	0.8319988663932	1
pie-1	0.834828030467636	1
bath-24	0.835258485645166	1
W05G11.2	0.839653809656759	1
elo-8	0.848670663908438	1
Y49F6B.2	0.848817401398797	1
