gene_short_name	scaled_TPM	group_number
lgc-26	2.67601963395638e-16	1
aman-1	4.00658323591922e-16	1
F32E10.8	4.30295991603184e-16	1
cup-4	4.53689352949425e-16	1
T19C3.5	1.00820232245966e-15	1
Y116A8C.3	1.9522775803045203e-15	1
C31H1.5	2.0373301166879903e-15	1
cof-2	2.67720645711404e-15	1
lgc-28	2.8571458605398402e-15	1
clec-222	3.4648158193388e-15	1
Y49E10.29	3.61989773906992e-15	1
lgc-25	3.829183231127691e-15	1
Y73F4A.1	3.9017156919143104e-15	1
ZC116.3	4.30285551558145e-15	1
Y59H11AR.10	5.516994088501461e-15	1
clec-178	8.893219833482641e-15	1
nep-8	8.9636562805086e-15	1
F55B11.3	9.554153698792561e-15	1
ZK856.5	1.00030868874901e-14	1
E02H4.4	1.8106482010004502e-14	1
ttr-1	1.8733396807417902e-14	1
F28A10.1	2.10378252901551e-14	1
Y39F10A.3	2.41278070123747e-14	1
Y51H4A.22	4.1072642103434804e-14	1
C07D8.5	4.5895631233102405e-14	1
snf-9	8.224735557875921e-14	1
F57B1.8	8.421011776076191e-14	1
Y32G9A.3	9.53820755442128e-14	1
Y51A2B.6	1.37647264302539e-13	1
ZK795.2	1.94309618111575e-13	1
nep-10	1.96730392231894e-13	1
ZC317.7	1.97190924677833e-13	1
Y62H9A.4	5.76771615110794e-13	1
H29C22.1	6.45295867946981e-13	1
Y62H9A.3	7.23027375993471e-13	1
C54D10.4	9.02585574229821e-13	1
T05B4.14	1.14308921650944e-12	1
ule-3	3.78327191841614e-12	1
T26E4.4	4.27263551369284e-12	1
K12D12.4	1.1386498051577e-11	1
spe-12	1.5657789169599798e-11	1
best-1	3.11061110271189e-11	1
F19C7.5	4.5792746043160294e-11	1
clec-151	4.8876055167615395e-11	1
W02D9.7	6.83337664558919e-11	1
F35C12.3	6.97145815103133e-11	1
M02B1.4	1.21034981544057e-10	1
F01G12.18	1.29185412861908e-10	1
D1054.10	1.47062680789976e-10	1
F52F12.9	2.2655657795524701e-10	1
W02D9.6	6.09155413134232e-10	1
F47B3.4	8.64466983347186e-10	1
