gene_short_name	scaled_TPM	group_number
cup-4	6.16200877754277e-16	1
aman-1	7.35515106363266e-16	1
lgc-26	2.2999919571448e-15	1
T19C3.5	2.6633674341024303e-15	1
best-25	3.3879884850154904e-15	1
unc-122	4.6996786990660906e-15	1
oac-9	4.772030481262851e-15	1
K02E7.11	4.940942010181061e-15	1
lgc-28	5.62255694410747e-15	1
F38A5.22	5.68252584163526e-15	1
ZK262.3	6.14953732327881e-15	1
clec-223	6.4143424905120705e-15	1
Y116A8C.3	6.50776967812181e-15	1
cya-2	7.021806493167381e-15	1
Y73F4A.1	7.760119098718231e-15	1
clec-222	7.9921348532005e-15	1
ule-3	8.899659643517291e-15	1
C29E4.10	9.19623981862626e-15	1
F32E10.8	9.70492625057333e-15	1
clec-190	1.0351744333864301e-14	1
otpl-7	1.2289373269429901e-14	1
D2062.5	1.3740710044758e-14	1
C31H1.5	1.4696143558178e-14	1
nep-8	1.73820624090484e-14	1
ZK856.5	1.93557217661759e-14	1
ttr-1	2.11693309677468e-14	1
clec-178	2.77117032522556e-14	1
K07A1.6	4.57308301378188e-14	1
T05B11.4	7.652161828795811e-14	1
W04G5.3	7.87908764522676e-14	1
snf-9	1.07335475316252e-13	1
F17E9.4	1.29106653215638e-13	1
Y50E8A.6	1.61752145934273e-13	1
C04B4.1	1.94284418137232e-13	1
Y62H9A.4	2.94407762622573e-13	1
W03D8.1	3.98662144556458e-13	1
Y62H9A.3	9.24745078880597e-13	1
H29C22.1	1.4490349944748198e-12	1
phat-4	1.52447992908692e-12	1
C54D10.4	3.52513746998644e-12	1
irld-4	9.444348114107179e-12	1
lgc-25	1.93357434856827e-11	1
F35C12.3	1.9410839536289597e-11	1
F01G12.18	4.2358730315695297e-11	1
F55B11.3	1.69206625221318e-10	1
W02D9.7	1.69814342649784e-10	1
Y62H9A.5	1.83806252540176e-10	1
fbxa-94	2.06780007295367e-10	1
D1054.10	2.65008902149574e-10	1
F52F12.9	2.90391255744775e-10	1
T08D10.5	3.02288980915946e-10	1
M70.1	3.8352909034704006e-10	1
clec-151	5.1594090672094e-10	1
ttr-13	1.01943782585139e-09	1
K02F6.3	1.5102376562128301e-09	1
clec-119	1.63269768428105e-09	1
T05C12.9	2.5409233316817803e-09	1
C18H7.7	2.7812987580305902e-09	1
H20J04.1	2.9088075562359104e-09	1
ttr-12	3.1212243514967604e-09	1
