gene_short_name	scaled_TPM	group_number
F59A1.13	7.98020716660828e-16	1
T19C3.5	8.17778048262506e-16	1
aman-1	8.49027902310622e-16	1
ZK856.5	2.2259897654603703e-15	1
Y116A8C.3	2.240293370514e-15	1
ZC116.3	2.72682052820968e-15	1
cup-4	4.12214302922693e-15	1
Y73F4A.1	5.096840745735931e-15	1
lgc-26	5.13094650130918e-15	1
clec-178	5.816113614318321e-15	1
ule-3	6.14651974951278e-15	1
clec-145	6.653196851564081e-15	1
Y49E10.29	8.089419239425451e-15	1
mig-6	9.465743853394162e-15	1
clec-223	1.01037336280032e-14	1
nep-8	1.13196526177921e-14	1
unc-122	1.19849318099022e-14	1
ttr-1	1.25094477752796e-14	1
Y62H9A.4	1.53981192868228e-14	1
Y95B8A.4	2.13093946066457e-14	1
F38A5.22	2.2054530391472902e-14	1
K02E7.11	2.4518011496285902e-14	1
C31H1.5	2.55136137816876e-14	1
irld-7	4.6986170348708704e-14	1
Y69H2.3	5.75054617743779e-14	1
ZK813.3	5.82592078907683e-14	1
F17E9.4	8.981766549427851e-14	1
snf-9	9.18930497138916e-14	1
ZK1037.6	9.68895750652637e-14	1
Y61A9LA.4	1.03408296732624e-13	1
F56C4.4	1.2314966084295e-13	1
W03D8.1	1.86548013189822e-13	1
ZC190.7	1.87023124210968e-13	1
C54D10.4	4.23036739596149e-13	1
C26D10.7	6.78199207085703e-13	1
H29C22.1	9.93856822390525e-13	1
phat-4	1.5623844390886498e-12	1
lgc-23	1.6249319436664698e-12	1
ssp-37	2.22740513639902e-12	1
Y62H9A.3	3.31849368608245e-12	1
spe-12	3.7447098124782695e-12	1
T13B5.9	3.89518298418943e-12	1
irld-4	6.884098059766949e-11	1
F35C12.3	8.344813748049029e-11	1
Y69A2AR.46	1.02063070448548e-10	1
Y62H9A.5	1.09827630180456e-10	1
F55B11.3	1.80790671282703e-10	1
D1054.10	1.90242809227486e-10	1
W02D9.7	6.39367879413065e-10	1
clec-119	7.05440282610621e-10	1
ttr-13	1.5629844226590502e-09	1
Y105C5B.17	3.22885152357464e-09	1
Y43F8A.2	3.84448677856321e-09	1
H20J04.1	4.65137229783462e-09	1
Y57G11B.3	7.4373321864689505e-09	1
T16A1.2	7.58259233330871e-09	1
C18H7.7	1.08654977463312e-08	1
nkb-2	4.87215068179109e-08	1
nas-20	1.89724589267952e-07	1
ttr-14	2.18120430149186e-07	1
ttr-12	4.70279215838847e-07	1
sst-20	6.6872878640152e-07	1
Y105E8A.27	8.22748698089817e-07	1
Y37D8A.19	9.02594177093043e-07	1
Y43F8C.5	1.3123630924354e-06	1
wht-8	1.73944190162776e-06	1
C04H5.7	1.87151577804641e-06	1
ZC190.8	1.90772023882272e-06	1
T08B6.4	2.62780375383564e-06	1
ZK795.2	2.66048312509261e-06	1
K07A1.6	3.35436844059352e-06	1
F40D4.17	4.08960104617492e-06	1
C14F11.4	8.7383232323898e-06	1
D1086.6	9.48688535013798e-06	1
F57B9.8	9.6755501197895e-06	1
ZK813.7	1.15181660248148e-05	1
ZK262.2	1.48608119882248e-05	1
ZC373.2	2.25149387537826e-05	1
W02D9.6	2.82429161441456e-05	1
Y105C5B.18	2.95525397648032e-05	1
F23B12.1	3.85162598605371e-05	1
K08C9.2	3.97598850975898e-05	1
try-10	4.49924643557078e-05	1
C28C12.11	4.65829932654027e-05	1
K02F6.3	0.0001204119921102	1
F07E5.8	0.0001621975144619	1
F55B11.2	0.0001670776119671	1
ZK813.1	0.0002279392897224	1
F26D2.10	0.0003189408015012	1
ule-5	0.0003321991383184	1
acp-3	0.0004351488153071	1
T05B4.14	0.0004495201754131	1
ZK84.2	0.0010867701199418	1
F54F7.3	0.0015919890803126	1
Y38F2AL.12	0.0016085622554351	1
irld-14	0.0018799829881613	1
klp-17	0.0022020146631604	1
D1086.17	0.0026464790612809	1
D1086.11	0.0028214943163969	1
Y57G7A.6	0.0030352117312573	1
F47E1.4	0.0046097204969032	1
bath-3	0.0064088313880262	1
lam-1	0.0081357748938397	1
chil-14	0.0084728368184513	1
F35H8.1	0.0094859605395669	1
T24C4.8	0.0101778974665513	1
ZK970.8	0.0172442894547192	1
Y54G2A.15	0.0188228656406734	1
C24H12.5	0.0205088214330927	1
F54D10.4	0.0225089352124087	1
ttr-42	0.0253590056865827	1
snpc-3.2	0.0305384918618468	1
Y48G1A.2	0.031164457576554	1
F56D5.2	0.0315532624338812	1
M28.9	0.0318564464482698	1
F57C2.4	0.0352186800492977	1
srw-66	0.0355541802275341	1
nep-9	0.0365148247637592	1
Y62E10A.3	0.0386182084616665	1
gmeb-3	0.0387869228174414	1
ZK930.4	0.0412499517630148	1
his-67	0.0416762621677489	1
Y43F8C.9	0.0451958306506108	1
F21D9.2	0.0479658680929453	1
nrf-5	0.0499776480829177	1
H11L12.1	0.0509722545533845	1
K09F6.3	0.0529381188191866	1
pqn-88	0.0534313929793428	1
T08B6.9	0.0551318477769244	1
Y48G1BR.1	0.0654525981843585	1
B0432.8	0.0667549681575813	1
F28F8.7	0.0688901952080433	1
Y54E5B.2	0.0705445053305022	1
F46F11.10	0.0715184491389397	1
rga-3	0.072959118708488	1
F15H9.1	0.0749387081054862	1
Y59H11AM.1	0.0774151099945799	1
Y73B6BL.44	0.0799215314729238	1
fbxa-202	0.0809448897830778	1
fbxc-44	0.08188319065263	1
gly-14	0.082161778317981	1
F53H4.2	0.0821693756892434	1
K11H12.6	0.0835833440054731	1
M03C11.6	0.0873267311170448	1
bath-24	0.087333380575386	1
T07F10.5	0.0889312483148719	1
T02E1.7	0.0892433175861985	1
peel-1	0.0895009406250701	1
