gene_short_name	scaled_TPM	group_number
T19C3.5	2.15873827369439e-17	1
aman-1	2.2477512628148e-16	1
cup-4	1.3250399394929801e-15	1
Y116A8C.3	1.32977872593561e-15	1
lgc-28	1.4502512375171402e-15	1
K02E7.11	2.07552931167071e-15	1
C31H1.5	2.1378369005750802e-15	1
Y73F4A.1	2.53632579175319e-15	1
lgc-26	2.5605761482748103e-15	1
F32E10.8	2.8085116556647203e-15	1
clec-178	4.5482872291664905e-15	1
F55B11.3	5.30558691172032e-15	1
ttr-1	7.055939016791031e-15	1
Y51A2B.6	7.453678948559211e-15	1
ZC317.1	8.52340296571164e-15	1
D1086.6	1.0452151139292401e-14	1
hil-6	1.87236761846573e-14	1
F38A5.22	1.91554387885437e-14	1
oac-9	1.98206127424223e-14	1
D2024.4	3.33890372382684e-14	1
nep-8	3.6461094677790604e-14	1
best-25	4.73719198079313e-14	1
F46F5.11	5.34312069617017e-14	1
F59A1.13	5.57103823451884e-14	1
ZK813.3	5.72633062327167e-14	1
Y51H4A.22	5.92133141190529e-14	1
cdr-3	6.24588337986291e-14	1
F56C4.4	6.633504940877611e-14	1
F17E9.4	6.9542528343314e-14	1
F46F5.15	1.14762298217257e-13	1
Y62H9A.4	3.16498689390922e-13	1
H29C22.1	3.68332006624201e-13	1
ule-3	8.8154909557766e-13	1
spe-12	1.5554374494721598e-12	1
Y62H9A.3	1.58716368414157e-12	1
D1081.11	2.766898707423e-12	1
ule-5	8.432159118328879e-12	1
C54D10.4	1.0476170282782399e-11	1
clec-151	1.2999937061335899e-11	1
Y105C5B.17	2.5707634237565298e-11	1
M70.1	3.27118874125156e-11	1
F01G12.18	1.40370424830137e-10	1
D1054.10	1.419659913886e-10	1
M02B1.4	1.92439881162333e-10	1
clec-119	2.6307729624714004e-10	1
Y43F8C.5	2.71419395509617e-10	1
W02D9.6	3.0185058902784005e-10	1
W02D9.7	5.151512318984261e-10	1
Y42H9AR.2	6.39018413465542e-10	1
ZC373.2	6.76382648249114e-10	1
K02F6.3	1.39745355799865e-09	1
ttr-9	1.9625762980564e-09	1
fut-4	6.61151188861442e-09	1
C18H7.7	9.945775639288351e-09	1
T16A1.2	1.13115871453997e-08	1
ssp-37	1.24086957107181e-08	1
T19H5.7	1.90587244616009e-08	1
