gene_short_name	scaled_TPM	group_number
cof-2	5.06835382878228e-16	1
Y116A8C.3	1.1421907278385302e-15	1
aman-1	2.5891056910203904e-15	1
Y73F4A.1	4.89972570050285e-15	1
F55B11.3	9.170320748753121e-15	1
H29C22.1	1.35380440956225e-14	1
mig-6	1.5555831472178802e-14	1
Y62H9A.4	1.86311867554117e-14	1
ttr-1	1.9923520928000702e-14	1
D1086.6	2.67347814644433e-14	1
ZK813.3	2.8029147935824802e-14	1
oac-9	3.18603143439097e-14	1
C31H1.5	3.65505682113965e-14	1
mpz-6	4.11542670526274e-14	1
W02D9.7	4.6480671087984e-14	1
lgc-28	5.907562970576241e-14	1
Y105E8A.27	6.654299368850751e-14	1
Y95B8A.4	6.95722360522243e-14	1
E02H4.4	1.25822027230599e-13	1
F38A5.22	1.94548256733771e-13	1
T05B4.14	7.14591275336864e-13	1
Y62H9A.3	1.91039234068335e-12	1
Y105C5B.17	2.21336119399035e-12	1
ule-3	3.74957710631215e-12	1
ssp-37	4.85583691401685e-12	1
ule-5	6.68357118771438e-12	1
Y62H9A.5	1.15380392243321e-11	1
F35C12.3	3.89802697303351e-11	1
B0244.9	1.17646041933533e-10	1
irld-4	1.23469472054803e-10	1
Y43F8C.5	1.7255383463332002e-10	1
ZC373.2	1.73611290761624e-10	1
D1054.10	3.64047644899538e-10	1
pitr-5	1.9681277871830403e-09	1
Y47G6A.3	3.4484783597116504e-09	1
ttr-12	9.160475049552911e-09	1
C17F3.3	1.89627555410074e-08	1
F54B3.2	4.36834086210733e-08	1
Y37D8A.19	7.71353225961999e-08	1
R07B1.8	9.34871521048775e-08	1
ttr-9	1.0459547102113e-07	1
C04H5.7	1.11443683058713e-07	1
K08C9.2	1.11544918861585e-07	1
F36H2.6	1.14254532866476e-07	1
nkb-2	1.4049071322451e-07	1
D1086.17	2.53592920387572e-07	1
F17E9.4	2.84784738622486e-07	1
F57C2.4	4.74920737783868e-07	1
F58D2.2	5.72003327134717e-07	1
ZK813.7	6.32986385960633e-07	1
ttr-14	1.02222683496662e-06	1
Y38H6C.15	1.08710562317419e-06	1
T08B6.4	4.98675284962784e-06	1
Y37D8A.5	6.05049431372228e-06	1
K07A1.6	6.18862682174309e-06	1
cin-4	6.45179307309562e-06	1
snpc-3.3	1.00470054791842e-05	1
T08H10.3	1.188233927872e-05	1
C14F11.4	1.63495676768504e-05	1
C28C12.11	1.71172873005754e-05	1
wht-8	1.88609339816179e-05	1
ZK813.1	3.01267467740927e-05	1
Y105C5B.18	3.35398950902135e-05	1
W02D9.6	3.6558194035689e-05	1
F29B9.7	9.79226682135925e-05	1
Y37E3.19	0.000165986503839	1
sams-5	0.0002225805374911	1
Y106G6G.4	0.0003071144503623	1
F55B11.2	0.0003412452700617	1
clec-175	0.0003697732833285	1
