gene_short_name	scaled_TPM	group_number
clec-145	1.9249382110550104e-15	1
lgc-28	3.2230381960633e-15	1
mig-6	4.07173133787601e-15	1
Y116A8C.3	6.425375154927841e-15	1
Y62H9A.4	8.557211725429481e-15	1
Y73F4A.1	8.747291628909771e-15	1
ZC116.3	1.0246296835260601e-14	1
ttr-1	1.10010693659669e-14	1
F55B11.3	1.21244028574126e-14	1
Y49E10.29	1.2518831107709101e-14	1
Y69H2.3	1.67901325067273e-14	1
H29C22.1	3.02898943399251e-14	1
C31H1.5	3.04292164269884e-14	1
nep-20	7.1258016396053e-14	1
E02H4.4	7.44403469264355e-14	1
C18D11.10	8.346486297259281e-14	1
ZK813.3	9.70092218009026e-14	1
F17E9.4	1.14017826701558e-13	1
ttr-14	1.3484077332663e-13	1
nep-8	1.44529947210319e-13	1
Y116A8A.6	2.47641187711497e-13	1
Y105E8A.27	2.65273171513213e-13	1
F16B12.1	3.20263525721434e-13	1
Y51A2B.5	4.1181424936300597e-13	1
Y62H9A.3	3.51498610853655e-12	1
C54D10.4	3.94731586554063e-12	1
ule-3	4.81386994389438e-12	1
T05B4.14	9.87018324119283e-12	1
F35C12.3	3.2229507748550796e-11	1
D1054.10	8.419275372017039e-11	1
clec-151	9.914904232715219e-11	1
F01G12.18	1.83787016977824e-10	1
M02B1.4	4.09954488755295e-10	1
W02D9.7	7.31357626193113e-10	1
ZC373.2	8.13031966562686e-10	1
spe-42	1.2778240213366e-09	1
clec-119	1.4769456466921e-09	1
ttr-12	1.60689972351993e-09	1
Y43F8C.5	1.8386649008832e-09	1
ZK1010.5	5.715039973806291e-09	1
F55B11.2	5.902648936224191e-09	1
F13A7.7	2.89760148278451e-08	1
F56F4.3	2.96183118493068e-08	1
D1086.17	4.61545117604473e-08	1
C04H5.7	5.60158674648142e-08	1
K08C9.2	6.68730665971253e-08	1
ssp-37	7.2410309883562e-08	1
ttr-9	8.80242235715053e-08	1
Y67D8B.5	1.35054108515641e-07	1
nkb-2	1.91683982317656e-07	1
try-10	2.11625573667316e-07	1
ZK813.7	2.27699189500559e-07	1
nas-20	4.56822865279354e-07	1
Y62H9A.5	5.15805727808417e-07	1
F32B4.2	7.1968418525582e-07	1
Y37D8A.19	1.03754224573664e-06	1
sst-20	1.18145613978704e-06	1
C17C3.9	1.57857846382132e-06	1
T08B6.4	2.19346345504112e-06	1
F57C2.4	3.6368364052092e-06	1
Y48B6A.5	4.48683444326667e-06	1
C14F11.4	4.76118481760078e-06	1
T22D1.8	7.42851128027744e-06	1
C28C12.11	2.99536819739986e-05	1
ZK795.2	3.12844963817295e-05	1
F42A9.3	3.17037239550515e-05	1
irld-3	5.32833476660349e-05	1
W02D9.6	5.92095077235393e-05	1
ZK813.1	6.30722174129008e-05	1
clec-175	6.58103835658349e-05	1
best-6	0.0001308429711862	1
Y116A8C.33	0.000182818918686	1
best-8	0.0003126183909073	1
Y43F8C.9	0.0004853364559579	1
W03D8.3	0.0006910519646508	1
ttr-42	0.0007431340392988	1
ZK84.2	0.0010110683634906	1
ule-5	0.0015012045654325	1
F54F7.3	0.0018062817493562	1
D1086.11	0.0024571520585419	1
T24C4.8	0.0066156384402343	1
ZK418.2	0.0156689238109057	1
nrf-5	0.019822664659161	1
F14F7.4	0.0242960004598042	1
Y54G2A.15	0.0277520522096978	1
Y66D12A.19	0.0348117593337547	1
M28.9	0.0383503178799143	1
C53B7.2	0.0453369464588061	1
dhhc-12	0.0469586408461959	1
Y49E10.10	0.0511236566777402	1
Y49E10.4	0.0534519651466916	1
F35H8.1	0.0591364152929371	1
C48B4.11	0.0596768527420093	1
F40H6.1	0.060178978296844	1
mct-5	0.0611125747462393	1
rnf-1	0.0702092394769623	1
pgl-3	0.0807230032149807	1
Y82E9BR.2	0.0820807187363244	1
Y110A2AR.1	0.0847900962299215	1
ZK892.5	0.0880257156660916	1
Y17G9B.4	0.09003123688403	1
C27C7.1	0.0983502979122935	1
zim-2	0.104022227614134	1
F42A9.7	0.106469794729261	1
toe-2	0.106625452236196	1
C16C8.14	0.106637295239957	1
T16G12.3	0.112726078535653	1
ZK616.5	0.114774900264078	1
Y39B6A.42	0.115586383754142	1
R06C7.2	0.116257039787582	1
T07C4.3	0.117587970061145	1
enu-3.2	0.119589473605322	1
Y71F9AL.4	0.120666946966079	1
ZC581.7	0.12401151292699	1
H34I24.1	0.124463598137721	1
peel-1	0.12581328712315	1
T13F2.6	0.127303105688787	1
orc-3	0.131366509355625	1
T02E1.7	0.1341699579161	1
W03C9.2	0.138755725156915	1
F14D2.8	0.139887206328463	1
Y69A2AR.28	0.146539122409631	1
C09D4.2	0.147627432784726	1
rsa-2	0.147748832329191	1
Y62F5A.10	0.148516016940551	1
snpc-3.2	0.148825843116741	1
D1081.12	0.153656387476937	1
F59A6.5	0.15795753719191	1
syp-3	0.15851998473582	1
tag-267	0.163101428822026	1
chaf-2	0.16674686376042	1
dnj-28	0.169058198450245	1
Y55F3BR.2	0.17180685812361	1
C45G9.2	0.171878046512818	1
Y66D12A.16	0.171990299601227	1
Y54G11A.3	0.1728781237568	1
his-64	0.173010646063083	1
gpr-2	0.176046187718908	1
fbf-2	0.179356783672183	1
C50C3.1	0.185142781073447	1
F57A10.4	0.18834519898868	1
Y39B6A.30	0.188465000049125	1
Y47G6A.3	0.18887825164344	1
cec-9	0.19195678292347	1
clec-79	0.196476327529408	1
his-62	0.200430930817522	1
Y57A10A.5	0.202869028808625	1
madf-8	0.203245312526425	1
syp-4	0.204974536474881	1
F21F3.4	0.21126109958302	1
cep-1	0.21473218255267	1
T08B6.9	0.214961048274142	1
Y39B6A.16	0.216513753779342	1
inft-2	0.217842404570957	1
coh-4	0.22037006600979	1
syx-4	0.221167745111161	1
W06B4.1	0.221790797827659	1
sas-6	0.224253252067375	1
fbxa-108	0.231013948426806	1
hpr-17	0.231016350291246	1
ZK1127.4	0.234000291763342	1
F10D11.3	0.238431992325577	1
D2096.12	0.238697171008872	1
F21D9.2	0.238723148242299	1
ceh-92	0.24536817076538	1
H11L12.1	0.247086047794624	1
Y111B2A.1	0.253369864137697	1
C07H6.9	0.257049045246308	1
hcp-3	0.26038162446701	1
K07A1.1	0.262664070697886	1
F36G9.13	0.263663586673739	1
snpc-1.2	0.264510934837015	1
perm-1	0.266161669437716	1
Y17G7B.12	0.266336454542669	1
F37D6.4	0.26695947964	1
F25H8.2	0.276845181648291	1
gop-2	0.278315039192519	1
bath-24	0.278573876609982	1
puf-3	0.27976610635921	1
flh-1	0.281022262167895	1
fbxc-47	0.281481065874062	1
H04D03.2	0.282390686516394	1
pie-1	0.286351702571629	1
C26F1.3	0.288168480853	1
ZK930.5	0.290249800667363	1
F16C3.4	0.293122084724092	1
C28C12.12	0.294525602049084	1
Y73F8A.26	0.296629454786264	1
Y54G2A.36	0.297862911352794	1
rfc-2	0.298631638059607	1
Y71F9AL.8	0.298855433478199	1
T06E6.1	0.306872447441434	1
Y59A8B.12	0.307766856737873	1
Y17G7B.18	0.308043863355525	1
sys-1	0.312451453151877	1
C08B6.3	0.316599041293622	1
tcl-2	0.317950418441655	1
marc-3	0.324044364051067	1
thoc-7	0.329910599793486	1
Y47G6A.14	0.333660750112168	1
C16C8.5	0.334242619322102	1
R08D7.1	0.334567341076456	1
T10E9.2	0.336876204338761	1
C17G10.1	0.337773069811124	1
R05D11.4	0.337799170933329	1
cku-80	0.340217658502395	1
F59A1.15	0.340942589632352	1
F58G1.2	0.341041768330586	1
btb-19	0.34322054888787	1
crn-3	0.350516818091032	1
sao-1	0.358630812716416	1
C30F12.4	0.359498940183498	1
C48B4.6	0.359752989817183	1
Y45F10D.7	0.363657656538469	1
polk-1	0.364625802955197	1
mrps-22	0.364810981609888	1
F13H8.8	0.3690441918481	1
Y82E9BR.18	0.370950799105428	1
fbxa-145	0.371993159454566	1
Y71H2B.5	0.384297092081572	1
D1081.9	0.387690444471981	1
pif-1	0.391030270262393	1
pot-1	0.403141251056902	1
uba-2	0.403457899227781	1
C30H6.9	0.40751199705913	1
syp-1	0.407768693928907	1
Y54F10BM.1	0.410965625770334	1
T12E12.3	0.412630036913648	1
abf-6	0.413069463009086	1
eri-3	0.414427110244992	1
T22C1.3	0.415519333303947	1
hal-2	0.421034375680239	1
szy-4	0.422683674857227	1
ZK856.11	0.427913857964371	1
C09H10.10	0.431643199975412	1
acl-3	0.432451629597127	1
