gene_short_name	scaled_TPM	group_number
aman-1	3.72595805787568e-16	1
T19C3.5	6.75308297896435e-16	1
F21D9.2	1.09548026707287e-15	1
K09F6.3	2.01738183629959e-15	1
lgc-28	2.36674897498723e-15	1
C31H1.5	2.40088869902901e-15	1
F28A10.1	3.0368151276217603e-15	1
F32E10.8	3.1884714337357404e-15	1
unc-122	3.2946564838325604e-15	1
F56C4.4	3.5342433804130403e-15	1
Y73F4A.1	3.7402696398504505e-15	1
mig-6	4.0640674745355805e-15	1
Y116A8C.3	4.2576422190120305e-15	1
Y49E10.29	4.5679206358142805e-15	1
clec-178	5.3871833503399804e-15	1
ttr-1	5.4877821735931405e-15	1
Y51H7C.13	7.107533239141781e-15	1
Y51A2B.6	9.11469068012321e-15	1
Y62H9A.4	9.169597852140592e-15	1
K02E7.11	1.02969544578843e-14	1
R06B10.2	1.09520965459945e-14	1
E02H4.4	1.14967271367799e-14	1
clec-222	1.28457920609114e-14	1
Y39F10A.3	1.43686758873838e-14	1
nep-8	2.1594922689866602e-14	1
snb-7	2.4730261960852e-14	1
Y95B8A.4	2.8445508479724204e-14	1
K07A1.6	3.43139879375768e-14	1
Y51A2B.4	5.4647098578847305e-14	1
F57A8.6	6.97489303339609e-14	1
F46F5.11	7.029118014098151e-14	1
Y105E8A.27	7.97106890224539e-14	1
nep-20	1.39793580119288e-13	1
clec-79	2.08742070677679e-13	1
ZC317.7	2.52946850736581e-13	1
his-16	2.57130297784395e-13	1
Y62H9A.3	2.59343904305479e-13	1
T05B4.14	2.81618555183622e-13	1
dhhc-12	6.881295189764629e-13	1
H29C22.1	7.47286549339471e-13	1
ssp-37	9.86819773552231e-13	1
ule-3	1.0869047581049399e-12	1
C54D10.4	1.15137318362077e-12	1
K01G12.3	1.18367319903722e-12	1
F18A12.7	1.3020633565017999e-12	1
phat-4	1.39949787527557e-12	1
D1081.11	1.44973496665484e-12	1
spe-12	3.24742556359192e-12	1
F35C12.3	2.0694878669628798e-11	1
K11H12.6	2.4692331272031598e-11	1
M70.1	2.90809162938842e-11	1
B0524.4	3.9362616697575096e-11	1
clec-151	4.4224873104811395e-11	1
ZK1010.5	7.680463794967079e-11	1
F55B11.3	7.90786122904287e-11	1
Y43F8C.5	8.698207404155109e-11	1
K02F6.3	1.38718384224019e-10	1
W02D9.7	1.87859096723578e-10	1
D1054.10	1.92988093956105e-10	1
abf-1	5.64981651909785e-10	1
C18H7.7	4.224484607661731e-09	1
Y57G11B.3	6.044858936308061e-09	1
T19H5.7	1.33827575761063e-08	1
clec-190	1.37006977516913e-08	1
clec-223	1.72540589830296e-08	1
F01G12.18	2.12470635828109e-08	1
ZC190.8	2.19701431846029e-08	1
Y53F4B.36	3.24921035031747e-08	1
ttr-9	3.34187804513262e-08	1
nep-13	3.72232798345057e-08	1
ZK813.3	4.92116442404164e-08	1
ZK856.5	6.24569423092519e-08	1
Y69H2.3	6.39891544792962e-08	1
ttr-14	9.48185994977371e-08	1
F17E9.4	1.20196670450203e-07	1
nep-23	1.33862990497417e-07	1
sst-20	1.56627377205776e-07	1
ttr-12	2.63832430525074e-07	1
Y62H9A.5	2.9278777475504e-07	1
F47G6.3	3.58627854593902e-07	1
irld-6	4.65510821518347e-07	1
F57C2.4	5.02607643844145e-07	1
Y48B6A.5	5.10607899947066e-07	1
Y57G11C.23	5.63570178114711e-07	1
M02B1.4	7.21189196219442e-07	1
Y57G11B.8	7.3617645971194e-07	1
nas-20	9.66140994495303e-07	1
Y37D8A.19	9.85782284806975e-07	1
C04H5.7	1.13705493987577e-06	1
T08B6.4	1.38563533858898e-06	1
cin-4	1.70861496287076e-06	1
ZK795.2	2.15916996921483e-06	1
C14F11.4	3.18835031671789e-06	1
snpc-3.3	4.86198935234491e-06	1
F40D4.17	5.19620079873003e-06	1
W02D9.6	6.11086081028952e-06	1
scrm-6	8.56736629585607e-06	1
C47E12.10	9.98681115285585e-06	1
D1086.6	1.01635391363352e-05	1
ZK813.7	1.18414494826462e-05	1
K08C9.2	1.59886301487091e-05	1
Y105C5B.18	1.73384069941408e-05	1
ZC373.2	1.8277225130218e-05	1
nkb-2	2.16555520944195e-05	1
nep-10	2.98337674883979e-05	1
irld-3	3.13013214964659e-05	1
Y71F9B.15	3.16369337214448e-05	1
F35E2.9	4.11423156768262e-05	1
C01G10.14	4.35582786777384e-05	1
C28C12.11	4.67566906211248e-05	1
pqn-75	7.78033854732869e-05	1
acp-3	9.6320459836873e-05	1
spe-38	0.0001215897794885	1
Y57G7A.6	0.0001893503436706	1
ZK813.1	0.0002245164276306	1
F55B11.2	0.0002372782067029	1
M162.7	0.0004718183372892	1
C34B2.4	0.0004780805967261	1
Y50E8A.2	0.0005025688860671	1
ule-5	0.0005286806880387	1
D2062.1	0.0007507907676097	1
T13A10.1	0.000755308234176	1
his-70	0.0012223060316603	1
D1086.11	0.0012377205904885	1
ZK1290.7	0.0013041963452805	1
F54F7.3	0.0014514120619915	1
irld-14	0.0019947953653217	1
T24C4.8	0.0022962832943924	1
D1086.17	0.0027111250659394	1
lam-1	0.0040216615389386	1
bath-3	0.0055705651124615	1
ttr-42	0.0067584001863022	1
Y38H6C.15	0.006886583403679	1
clec-119	0.0074296722545635	1
snf-9	0.0082135358119252	1
pqn-88	0.0084796270098598	1
ZK84.2	0.008997009223773	1
bath-35	0.0134143708695341	1
Y54G2A.15	0.0155385948161482	1
Y69A2AR.32	0.0176862154471682	1
nep-9	0.0186573549567167	1
C30F12.4	0.0203552155398051	1
H34I24.1	0.0209056642256455	1
Y54F10BM.12	0.0229321520332238	1
R102.8	0.02547621952545	1
F10D11.4	0.0268523948978471	1
M28.9	0.028175008548066	1
R04B5.11	0.028441989370814	1
nrf-5	0.0287978578675826	1
F31E8.5	0.0307041279753884	1
ent-3	0.0332802559964258	1
Y43F8C.9	0.0339179594031374	1
K09H9.7	0.0341931221942021	1
irld-7	0.0357102462423021	1
F54H12.5	0.0388210552607547	1
dhhc-13	0.0389352697309004	1
C28A5.2	0.039209326740243	1
tyr-5	0.0412507417887233	1
K05C4.4	0.0415021496277105	1
Y53C12A.11	0.04289373354992	1
Y71G12B.22	0.0440505142131196	1
Y53H1C.3	0.0440852077026301	1
F36G9.13	0.0445630941396062	1
