gene_short_name	scaled_TPM	group_number
lgc-25	1.21580493751606e-16	1
aman-1	1.11058515306701e-15	1
C31H1.5	1.5984051714479401e-15	1
Y116A8C.3	4.64938016503464e-15	1
Y73F4A.1	6.424452108306091e-15	1
K02E7.11	7.167706763400611e-15	1
T05B11.4	8.983554413191331e-15	1
T19C3.5	9.49294732633487e-15	1
F55B11.3	9.495956078608501e-15	1
clec-190	1.1726069980069999e-14	1
col-135	1.2581952813464701e-14	1
clec-178	1.6527103059501302e-14	1
ttr-1	1.8182460425621502e-14	1
Y62H9A.4	2.3241186615544802e-14	1
scl-17	2.55217789392168e-14	1
clec-151	2.64852472321781e-14	1
lgc-28	3.07358531394369e-14	1
T26E4.3	3.27067571105483e-14	1
F15D4.4	4.23009604162888e-14	1
Y105E8A.27	8.41597279948534e-14	1
F17E9.4	1.40780315068307e-13	1
snf-9	1.42577019342255e-13	1
nep-8	2.80019720187687e-13	1
dyf-7	2.99752475457528e-13	1
K07A1.6	3.5631109050760997e-13	1
nep-10	6.75934996581379e-13	1
ssp-37	1.39327534825946e-12	1
spe-12	3.1258882621603898e-12	1
Y62H9A.3	3.1820608236215798e-12	1
ule-3	5.53571527171865e-12	1
T05B4.14	7.42694074901704e-12	1
clec-79	1.0180421252205199e-11	1
ule-5	1.26984207838216e-11	1
F01G12.18	3.45811805882926e-11	1
F35C12.3	6.265488063189429e-11	1
K02F6.3	2.31223257316247e-10	1
D1054.10	3.3402321640462103e-10	1
ZK1010.5	5.65207105148516e-10	1
W02D9.7	9.11866508350375e-10	1
oac-27	9.55286454056531e-10	1
pitr-5	2.11892266725824e-09	1
Y105C5B.17	4.03901507357153e-09	1
nkb-2	1.28370331634151e-08	1
ZK892.3	1.94375377368127e-08	1
Y57G11B.3	1.9478163276457e-08	1
ZK813.3	3.3060728484591e-08	1
D2062.4	4.66116106008737e-08	1
T19H5.7	5.58172710205314e-08	1
ttr-12	6.16436350719732e-08	1
F36A4.1	7.261167713359e-08	1
F56F4.3	7.27694869526151e-08	1
T16A1.2	1.00791187206801e-07	1
ZK795.2	1.21078498279001e-07	1
F15H10.7	1.60077443401202e-07	1
Y62H9A.5	1.8166714193987e-07	1
fbxa-220	2.42118538930496e-07	1
W01B6.8	2.706808264709e-07	1
ttr-14	3.45190794384781e-07	1
Y43F8C.5	4.75697618205125e-07	1
nas-20	4.78969739835987e-07	1
C55C2.3	6.06381848782944e-07	1
cin-4	9.83236771991723e-07	1
Y69H2.3	1.36368469993958e-06	1
F57C2.4	1.73424989315549e-06	1
Y37D8A.19	2.19641490077267e-06	1
C04H5.7	2.47701279339458e-06	1
H29C22.1	2.96732246574932e-06	1
F47B3.4	8.43967302007691e-06	1
ZK813.7	1.72048318546582e-05	1
F26A1.3	1.8929509707132e-05	1
