gene_short_name	scaled_TPM	group_number
aman-1	4.98551882461566e-17	1
clec-178	6.353505035253071e-17	1
F23B12.1	1.2496985297651899e-16	1
F38B2.3	3.24967272443377e-16	1
M05B5.3	3.45857336405936e-16	1
T21E12.5	7.10535971669244e-16	1
C33F10.12	7.6817677076737e-16	1
F36H12.5	8.19003152948711e-16	1
Y1A5A.1	8.418865031032501e-16	1
phg-1	1.57924140866634e-15	1
F45E4.6	2.1593314695495502e-15	1
ZC395.4	2.3571587940485202e-15	1
T08G3.7	2.4789332379704e-15	1
T28A8.8	2.79543276936959e-15	1
Y73F4A.1	3.04948348734933e-15	1
lgc-28	3.1439576699911402e-15	1
bath-35	3.24213791860929e-15	1
C44B9.3	3.39191772242173e-15	1
F44F4.9	4.9945251099394506e-15	1
T13A10.1	5.13615818445973e-15	1
Y116F11B.7	5.6142190823389806e-15	1
Y57A10A.2	5.6200585931405905e-15	1
Y116A8C.3	5.89274673276754e-15	1
elt-1	7.2459261488324e-15	1
ZK484.7	7.593974665801731e-15	1
mtd-1	7.71066614552502e-15	1
C04G6.10	7.792837551383071e-15	1
C56C10.6	8.08607788005195e-15	1
nep-13	8.679977274175231e-15	1
dhhc-13	8.721780312061921e-15	1
Y116A8C.24	1.10766404627058e-14	1
ZK809.1	1.20250909742203e-14	1
F40D4.17	1.2030455115004201e-14	1
Y71G12B.17	1.21847482318352e-14	1
ZK856.5	1.27747308496234e-14	1
Y47H9B.2	1.52564546377983e-14	1
dmsr-1	1.62945059973912e-14	1
T16A1.2	1.7294098831417902e-14	1
F32E10.8	1.83721103358638e-14	1
C25A11.10	1.9328431118257302e-14	1
ZC262.4	2.03997827508431e-14	1
npr-22	2.24083059873078e-14	1
F02D8.5	2.2574359409598503e-14	1
F08F3.1	2.2883581215198202e-14	1
H06I04.5	2.36256081231707e-14	1
ttr-1	2.60694588464905e-14	1
C02B8.1	2.83520071422906e-14	1
nas-4	2.8409334889053998e-14	1
F29G6.1	3.12097990399281e-14	1
F12A10.6	3.14413057847502e-14	1
C31H1.5	3.54082530164727e-14	1
clec-222	4.11962093239478e-14	1
Y39F10A.3	4.1835713531808203e-14	1
C54G7.1	4.32583141907521e-14	1
F46A8.6	4.3960794517431404e-14	1
blmp-1	4.88969007365144e-14	1
bgnt-1.4	6.50696419645401e-14	1
