gene_short_name	scaled_TPM	group_number
ZC116.3	2.06005452861967e-16	1
lgc-28	8.606307389322931e-15	1
F55B11.3	1.22355998078237e-14	1
mig-6	1.3703383992484701e-14	1
W02D9.7	1.39389416673847e-14	1
clec-178	1.52648300147962e-14	1
ZK856.5	2.46701648610074e-14	1
Y73F4A.1	2.72718867493818e-14	1
Y39F10A.3	3.4160647671518104e-14	1
Y116A8C.3	3.58026158524361e-14	1
ttr-1	3.6201075611135e-14	1
T05B11.4	3.6696008035915704e-14	1
C31H1.5	4.73264625615497e-14	1
Y62H9A.4	4.8306263262433805e-14	1
C09B9.85	8.15836152364032e-14	1
C07G1.7	9.25563153235869e-14	1
Y69H2.3	1.0100857671457899e-13	1
clec-222	1.05667812797333e-13	1
Y48G9A.6	1.14306495246177e-13	1
K07A1.6	1.22567600875813e-13	1
D1086.6	1.42839718828748e-13	1
ttr-14	1.45844513504242e-13	1
ZK813.3	1.57474335339342e-13	1
F38A5.22	3.20876759075936e-13	1
H01G02.4	5.6933167413063e-13	1
Y94A7B.11	7.47276677100462e-13	1
Y105E8A.27	9.46284220136324e-13	1
phat-4	9.8900528191617e-13	1
H29C22.1	3.90262076973182e-12	1
Y62H9A.3	1.1906205465494e-11	1
ule-5	1.51674436210108e-11	1
ule-3	1.6079697308359397e-11	1
sst-20	4.24288202675802e-11	1
spe-12	5.999111867339869e-11	1
M02B1.4	1.0831913810885701e-10	1
D1054.10	1.14994025434093e-10	1
clec-151	1.32210802111817e-10	1
K02F6.3	1.86917405911253e-10	1
ZC373.2	6.32416156636756e-10	1
Y43F8C.5	1.24512638925069e-09	1
ttr-13	1.6955113335118102e-09	1
ttr-12	1.7179207347135402e-09	1
abf-1	2.27769132909785e-09	1
W02D9.6	3.1381156603248504e-09	1
F55B11.2	9.86774674899037e-09	1
C18H7.7	1.4940954470523e-08	1
Y105C5B.17	2.3974032054581e-08	1
C04H5.7	5.82361771236038e-08	1
F01G12.18	6.63107381268755e-08	1
nkb-2	1.02499001031777e-07	1
snf-2	1.85221078963757e-07	1
F17E9.4	1.92703957467132e-07	1
F40D4.17	2.06457471960116e-07	1
cin-4	2.07443273947246e-07	1
clec-123	2.13902611480164e-07	1
K08C9.2	2.28190788489997e-07	1
Y62H9A.5	2.31951165094432e-07	1
F58D2.2	2.86457262606121e-07	1
ZK1225.5	3.34258523168017e-07	1
ZK813.7	5.56645734789599e-07	1
D1086.17	7.26203051945333e-07	1
ttr-9	7.9065444067129e-07	1
Y57G11C.23	9.18470620799139e-07	1
Y37D8A.19	9.98545951702471e-07	1
F57C2.4	1.08532173853763e-06	1
nas-20	2.36528712168944e-06	1
ZK795.2	5.59153113983194e-06	1
irld-3	7.12768902490656e-06	1
