gene_short_name	scaled_TPM	group_number
clec-145	1.72071894151148e-16	1
aman-1	2.9246155534841697e-16	1
unc-122	2.5707141579971204e-15	1
mig-6	3.1762557890413e-15	1
cof-2	3.5791249522619304e-15	1
F55B11.3	3.8682146052253205e-15	1
ule-3	4.0804222210943005e-15	1
T19C3.5	4.27389487451204e-15	1
Y62H9A.4	4.76116114380552e-15	1
Y73F4A.1	5.1637892804464104e-15	1
Y116A8C.3	5.3651720370994e-15	1
clec-178	6.0670828784782205e-15	1
lgc-26	6.883935149798591e-15	1
ttr-1	8.47651652856869e-15	1
lgc-28	9.16662910676099e-15	1
F38A5.22	1.00437146013116e-14	1
clec-153	1.64514852164673e-14	1
lgc-25	1.68010194224671e-14	1
clec-151	1.78829527397354e-14	1
galt-1	1.85894926033049e-14	1
clec-222	2.28368143107003e-14	1
lgc-23	2.8463670938469e-14	1
K06B4.15	3.68407294139176e-14	1
oac-9	4.94579886351008e-14	1
K07A1.6	5.11646627735148e-14	1
lgc-24	5.1402783002710505e-14	1
F56C4.4	6.38257317961153e-14	1
F54F7.9	6.66791141664835e-14	1
ZK813.3	9.68137805233454e-14	1
Y105E8A.27	1.6283568304517e-13	1
nep-10	2.28783027577996e-13	1
snf-9	2.4228857832668e-13	1
F54B3.2	2.53455367547778e-13	1
srj-4	2.90294743247002e-13	1
fbxb-93	3.87471851292516e-13	1
ttr-13	3.95718445521967e-13	1
nep-8	5.47232200786193e-13	1
Y51A2B.5	5.59517128348092e-13	1
Y17G7B.19	5.74317958699327e-13	1
C31H1.5	9.48191397477465e-13	1
otpl-2	1.37336979477261e-12	1
M70.1	1.4834641352251699e-12	1
H29C22.1	2.13983151309159e-12	1
F35C12.3	6.15295415479961e-12	1
T02E1.7	6.46496892980381e-12	1
ule-5	1.1903148996665001e-11	1
C54D10.4	2.6530337621979697e-11	1
Y105C5B.17	1.31725322831489e-10	1
clec-119	3.35649219259764e-10	1
D1054.10	4.31680063077847e-10	1
ZC373.2	1.15603169624996e-09	1
Y62H9A.3	6.967748639957451e-09	1
Y51A2B.6	7.71819140397533e-09	1
irld-6	9.749814383957831e-09	1
F55B11.2	1.02760895762376e-08	1
Y47H9B.2	1.72205460331282e-08	1
ZK892.3	3.40246692696809e-08	1
ttr-9	4.00131389555025e-08	1
Y116F11B.7	9.39448606482678e-08	1
F17E9.4	1.39492041293736e-07	1
F40D4.17	1.73579016591389e-07	1
Y62H9A.5	1.83503172133807e-07	1
ZK1053.2	2.03045851725538e-07	1
K01A6.5	2.66082644079239e-07	1
nep-13	3.0819410092024e-07	1
K09G1.2	3.76222670431036e-07	1
Y57G11C.23	4.99816840484804e-07	1
ttr-14	5.27331714868773e-07	1
nas-20	5.61615720834033e-07	1
T08B6.4	7.92213734848557e-07	1
E02H9.7	8.67775700253326e-07	1
Y69H2.3	1.5064487019497e-06	1
ttr-12	1.5284586435823e-06	1
F57C2.4	1.91508669672028e-06	1
C14F11.4	2.32630548570931e-06	1
Y37D8A.19	2.75953143077187e-06	1
Y43F8C.5	3.0034003138942e-06	1
C04H5.7	3.58763278075069e-06	1
ZK795.2	5.6668186361434e-06	1
F33D11.2	9.02972148053523e-06	1
F07D3.3	9.31797723597103e-06	1
ZK813.7	9.63466344299642e-06	1
irld-14	9.91149186390828e-06	1
C28C12.11	1.01795644795644e-05	1
F14D7.1	1.49148043792867e-05	1
Y105C5B.18	2.1821991609363e-05	1
irld-3	2.86945678107596e-05	1
F42A9.3	3.16748826421914e-05	1
spe-38	4.29514148101713e-05	1
K08C9.2	4.34079867947311e-05	1
nkb-2	8.62281660554785e-05	1
K10H10.7	8.67018163560568e-05	1
Y39B6A.30	9.03656724915964e-05	1
Y47D9A.3	9.33929883580434e-05	1
W02D9.6	0.0001164898132203	1
W03D8.1	0.0001555223986001	1
F55G1.5	0.000213669002918	1
ZK84.2	0.0002701250591148	1
ZK813.1	0.0004796770624714	1
dhhc-5	0.0008754103023005	1
acp-3	0.0009193605128992	1
ZK622.1	0.0011512674062863	1
chil-14	0.0011646245558073	1
F54F7.3	0.0014092287148784	1
D1086.11	0.0021990114407257	1
abf-1	0.00232324811338	1
W03F11.4	0.0038668188833351	1
pitr-3	0.0046432895886538	1
eat-2	0.0064141813439698	1
Y57G7A.6	0.0065582595822972	1
mig-21	0.0074591737549335	1
D1086.17	0.0096619635700201	1
irld-18	0.0142568497519796	1
Y54G2A.15	0.0151406647316363	1
ZK1010.5	0.0176990648195293	1
wht-5	0.020001127318748	1
H34I24.1	0.0254800007732243	1
ZK973.4	0.0281858834624297	1
ttr-42	0.0319750218637553	1
F16C3.4	0.0323287976109878	1
R11A8.1	0.0352606479471834	1
K05C4.4	0.038599941531447	1
R03D7.2	0.0397198376726466	1
gei-14	0.0403212034612168	1
F28A10.3	0.0409997191275501	1
spe-41	0.0418413809217033	1
W02D9.7	0.0421169570856425	1
fog-3	0.0464936804077742	1
K12C11.5	0.046864275476516	1
Y67D8B.5	0.0469430374891513	1
D1086.6	0.0490864679647636	1
F40H6.1	0.0517913421851059	1
C16C8.14	0.056851286109666	1
orc-3	0.0610052566992468	1
F56A11.6	0.0612818318491083	1
Y38H6C.15	0.0648930223118384	1
cyp-31A5	0.069586525996598	1
his-61	0.0706865572509958	1
C56C10.6	0.070853412873283	1
Y37H2A.7	0.0721234270505315	1
Y50E8A.12	0.0731578486395647	1
hop-1	0.0741222999250538	1
Y116A8C.13	0.0756396063219204	1
Y55F3AM.21	0.0794525609843184	1
C06A5.8	0.079726133698757	1
gpr-2	0.0831704698568688	1
icmt-1	0.0840883710385188	1
R04B5.11	0.086998904299951	1
C50C3.1	0.0875012742567613	1
T16G12.3	0.0876055084756238	1
F57F4.1	0.0879557626180037	1
klp-18	0.0893487684449779	1
F21D9.2	0.0914290265345831	1
Y43F8C.9	0.0922223985724791	1
fbxa-140	0.0940037870270014	1
decr-1.3	0.0956433564522936	1
F55A11.4	0.0981665476360851	1
F14F7.4	0.0995814269402075	1
C18H7.7	0.100193346406516	1
clec-79	0.100660269070394	1
T28A8.3	0.101167640139029	1
Y57A10A.3	0.104956781315971	1
tipn-1	0.105917647326198	1
spdl-1	0.108671657210027	1
F14D2.19	0.109254405722952	1
R05F9.11	0.110189932374592	1
set-32	0.111505248555593	1
uggt-2	0.112816089715281	1
rec-1	0.113389458316399	1
bath-1	0.114582191590558	1
H11L12.1	0.114957525233895	1
C10G11.1	0.114960064903311	1
C35E7.10	0.11777834840283	1
cdk-2	0.118275090932706	1
Y62E10A.3	0.118672706985836	1
T12F5.2	0.122222425214787	1
bath-2	0.124442604238379	1
ulp-5	0.128343564634795	1
glh-3	0.128898365317893	1
K11D2.5	0.130006183282672	1
flh-1	0.130817767675177	1
Y54F10BM.12	0.131508506458783	1
snpc-3.2	0.132034628673492	1
F55A12.10	0.137439024130917	1
ife-5	0.140041753891723	1
snf-5	0.142420158881177	1
sys-1	0.144604012309283	1
tin-9.2	0.145128585210784	1
Y37H2A.12	0.145433986785673	1
zhp-3	0.150863339758594	1
clec-117	0.153914083751235	1
trd-1	0.154145371585123	1
C06G4.1	0.154405094362294	1
such-1	0.155112140706629	1
K08E4.7	0.155792880146769	1
F59C6.3	0.15779793096842	1
C55A6.7	0.157937978802985	1
F56F3.4	0.160321189576018	1
F46F11.10	0.160689474182116	1
K08D9.9	0.163504155253265	1
C34F11.5	0.164028133990081	1
wht-6	0.170069051581527	1
F36G9.13	0.170469019800373	1
pssy-2	0.170864869274814	1
dna-2	0.174943068829782	1
F56D6.20	0.179729316675954	1
W05B10.6	0.182346118082086	1
egrh-2	0.182539656586022	1
R07E5.6	0.183373969263449	1
Y53F4B.9	0.183554006083534	1
R08A2.2	0.184484510183475	1
prom-1	0.19093671127069	1
coh-4	0.198234252477015	1
D2096.11	0.198428489407545	1
F14H3.4	0.207142896879931	1
C46E10.1	0.208042681447712	1
Y57G11C.48	0.208216178646519	1
K06H7.8	0.208457587365513	1
Y113G7C.1	0.209636849954414	1
Y66D12A.3	0.209740142154078	1
F53F4.16	0.222492517184855	1
F35H8.1	0.222979371562392	1
F55G1.6	0.223362192522587	1
F26A3.5	0.225132323202764	1
tbx-34	0.229778345081662	1
F36A2.2	0.230412447332058	1
T08B6.9	0.23156063542414	1
W03D8.5	0.235108147181538	1
C14C10.2	0.236948228477002	1
R10D12.13	0.238544448276063	1
D1007.8	0.240087095306737	1
C56G2.3	0.240987315381334	1
parn-2	0.242799738767126	1
F43G9.4	0.243316512772939	1
C09H10.5	0.243567492191623	1
Y75B8A.16	0.250309191531658	1
wht-8	0.261114482425458	1
C34D4.10	0.264888657190257	1
F16H6.9	0.269906160175405	1
tsp-19	0.270204701810719	1
Y57G11B.5	0.270865480917302	1
tgn-38	0.27369052459565	1
W05B10.3	0.274233993137951	1
enu-3.2	0.275787849055576	1
K07H8.5	0.275885419511795	1
T19B4.5	0.276385402008155	1
Y71F9AL.8	0.278318235002712	1
C17F3.3	0.279610553571351	1
mcrs-1	0.285718180870256	1
top-3	0.28792527500932	1
F26D2.10	0.29144518410366	1
mct-5	0.293580906535277	1
C28D4.8	0.29384589200575	1
cki-2	0.297312179254917	1
dhs-11	0.297654511408173	1
F47G6.3	0.306707623814552	1
F31E8.5	0.308688615069987	1
clec-123	0.308861486029193	1
F35G12.5	0.313604996918825	1
Y119D3B.14	0.317605536869921	1
F53H4.2	0.317722046838081	1
C33C12.4	0.318426893536017	1
mut-7	0.319012613438448	1
D2005.4	0.320333330956313	1
C06E1.7	0.323873194837408	1
Y43F8A.2	0.324980791878331	1
spe-5	0.3250652215357	1
C53A5.17	0.325364701595615	1
dxbp-1	0.325383420103701	1
ubc-15	0.327915421029935	1
B0361.6	0.328682158354025	1
Y55F3AM.11	0.331660666358868	1
C01G10.10	0.337279752924262	1
F13H8.12	0.341676076397355	1
T10E9.6	0.345542582040408	1
ZK484.6	0.345908162611284	1
C42C1.4	0.347374998132674	1
fbxa-210	0.348201490019435	1
enu-3.6	0.360898202504514	1
mrps-31	0.36364769989633	1
C47E12.10	0.367430809666096	1
ulp-1	0.37084894752584	1
tbx-32	0.378486454221114	1
ZC373.3	0.380458813965581	1
smg-5	0.380664082933114	1
Y46G5A.34	0.381135035761434	1
Y6D1A.1	0.382520648699338	1
Y54E2A.9	0.383884369014846	1
K03H1.7	0.38453781403409	1
ZK688.10	0.386925917814536	1
Y59E9AR.7	0.391678368391753	1
C33B4.5	0.391996811686894	1
D1081.12	0.395687451955543	1
bcs-1	0.400151807047503	1
clec-147	0.400867464000269	1
cyp-33E2	0.401100840363021	1
F58D5.2	0.407451303543957	1
W09D6.1	0.408088891047278	1
T09F5.10	0.413383371489287	1
F33E11.3	0.413794130112447	1
spe-4	0.415819915933479	1
Y73B6BL.23	0.421669941116169	1
hex-5	0.42245549554971	1
F58D2.2	0.424319250357683	1
F08F8.6	0.424420457534317	1
Y51H7C.5	0.429361913823602	1
emb-1	0.4327404363737	1
irld-8	0.434849425867307	1
ets-6	0.439156690718952	1
ZK856.18	0.439859376824971	1
K11C4.1	0.441248942810917	1
C30G12.6	0.444170020973443	1
H20J04.9	0.444490825110214	1
Y41E3.19	0.451600766146425	1
arid-1	0.451757000570189	1
Y51H4A.8	0.456710167274465	1
cutl-10	0.457020586339996	1
H25P19.1	0.46214658791935	1
catp-4	0.464208182813295	1
fkh-6	0.465296820281471	1
C09B9.7	0.465789008605496	1
C16C8.12	0.468111988876405	1
hpo-4	0.469412603564642	1
E01B7.2	0.47222685566335	1
taf-11.3	0.473532787599371	1
lrr-1	0.475187199534379	1
T11F8.1	0.483550267325247	1
W02D9.4	0.491128127416997	1
era-1	0.492198136707634	1
tag-179	0.492746938479453	1
F10G8.2	0.497818102344946	1
Y38F1A.7	0.49859437947446	1
F36D1.6	0.506087863309759	1
Y40H4A.2	0.509700866360629	1
W05G11.2	0.510878023941077	1
C25E10.17	0.511327691229188	1
C34D4.2	0.513264030753817	1
F58H1.6	0.51719486474018	1
F41F3.1	0.517887381290052	1
