gene_short_name	scaled_TPM	group_number
lgc-26	1.1608290584401801e-15	1
Y62H9A.4	2.6598088600094e-15	1
Y116A8C.3	7.42049538497448e-15	1
Y73F4A.1	8.661436749433331e-15	1
clec-178	8.953551024930021e-15	1
K02E7.11	1.08362323081819e-14	1
snf-9	1.10249240432133e-14	1
ZK856.5	1.13020735627747e-14	1
lgc-28	1.20887833691305e-14	1
ttr-1	1.86456789844997e-14	1
col-135	2.18069559677515e-14	1
F38A5.22	2.3849386540049702e-14	1
cof-2	2.81522133340528e-14	1
nep-8	2.86192797571752e-14	1
clec-222	2.87822693679693e-14	1
Y116F11B.8	4.5786269035511e-14	1
his-16	4.8026229315649e-14	1
K07A1.6	6.23987117356719e-14	1
Y57G11C.23	8.199464082275861e-14	1
ZK813.3	1.51605191531524e-13	1
C31H1.5	3.2745626572806897e-13	1
C55B6.5	4.17334207579186e-13	1
H29C22.1	4.2077680949973996e-13	1
clec-202	4.70238696400369e-13	1
cya-2	4.81058825598414e-13	1
Y62H9A.3	2.12224411455555e-12	1
C54D10.4	2.77306636238582e-12	1
ule-3	3.085485281694e-12	1
F35C12.3	5.21696242336601e-12	1
spe-12	6.50769461124235e-12	1
M02B1.4	4.96041227634944e-11	1
D2062.4	6.957106989584689e-11	1
clec-151	7.395597123541479e-11	1
ZK1010.5	8.80287716231019e-11	1
Y105C5B.17	1.98341401364446e-10	1
W02D9.6	2.27438155237273e-10	1
Y43F8C.5	2.45051824590435e-10	1
F36A4.5	3.0861070213560803e-10	1
F55B11.3	3.74732677240001e-10	1
spe-42	8.397089963065841e-10	1
W02D9.7	8.961548215678171e-10	1
ttr-13	9.8965224514641e-10	1
ZK783.6	1.1157154106059702e-09	1
T08B6.4	2.36818938872892e-09	1
ssp-37	7.020439899696571e-09	1
F07C4.6	1.09062179102454e-08	1
Y47H9B.2	2.49449749395613e-08	1
T08B6.9	2.61477988856225e-08	1
F56F4.3	3.05558497113579e-08	1
F59A1.15	4.1193800810887e-08	1
clec-123	4.1278464097662e-08	1
best-25	4.64070147506931e-08	1
F17E9.4	5.72893026294644e-08	1
F58D5.8	6.67589495022021e-08	1
Y62H9A.5	8.33640758825767e-08	1
ZK1225.5	8.42603737617471e-08	1
Y116A8C.23	1.94156752539121e-07	1
ZK813.7	2.17928602280328e-07	1
Y105E8A.27	2.91011586784504e-07	1
clec-73	3.00776932686023e-07	1
sst-20	3.13753245050967e-07	1
F58D2.2	4.69599742567071e-07	1
ttr-9	8.4287300350684e-07	1
E02H9.7	1.00890255402087e-06	1
F57C2.4	1.02033738035311e-06	1
ZK892.3	1.03563644155681e-06	1
ttr-12	1.78942445825857e-06	1
Y37D8A.19	1.89135206033993e-06	1
C14F11.4	2.94554351018489e-06	1
ZC190.8	2.9954548823242e-06	1
ZK795.2	3.49633607408205e-06	1
K08C9.2	4.76055572861866e-06	1
Y57G11C.1143	6.15112095084737e-06	1
C04H5.7	6.47430473355451e-06	1
F44F4.10	6.84088587498278e-06	1
F15H9.1	7.5536601923358e-06	1
snpc-3.3	1.2089050980818e-05	1
irld-14	1.22933473915357e-05	1
