gene_short_name	scaled_TPM	group_number
Y116A8C.3	4.57041478062111e-16	1
ZK1251.3	2.27941463062014e-15	1
ule-3	2.73605390965528e-15	1
aman-1	3.3577779613438102e-15	1
clec-151	4.66870908726263e-15	1
lgc-28	4.7076698235453305e-15	1
F55B11.3	5.375603226490091e-15	1
ZK856.5	6.32917832287693e-15	1
Y62H9A.4	7.12831590831665e-15	1
clec-178	7.756957935237861e-15	1
lgc-25	8.28784105855697e-15	1
E02H4.4	8.28795540827289e-15	1
Y73F4A.1	8.461973648643931e-15	1
clec-222	1.01835439548652e-14	1
ttr-1	1.4464562518475802e-14	1
best-25	1.69346855579964e-14	1
K02E7.11	1.8000802331929e-14	1
unc-122	1.8097644481924102e-14	1
ZK1225.5	1.85627731551943e-14	1
F28A10.1	2.40367369694491e-14	1
Y62H9A.3	2.67624922671078e-14	1
F46F5.11	2.8437639485963604e-14	1
M70.1	3.20442426592172e-14	1
snf-9	3.79048163397215e-14	1
ZK262.3	4.50743320388717e-14	1
K07A1.6	5.52692325732399e-14	1
C31H1.5	5.75328398202973e-14	1
B0207.5	6.9634910803348e-14	1
D2024.4	9.94253828535339e-14	1
F17E9.4	1.17399326602745e-13	1
nep-8	2.99566185380389e-13	1
Y57G11C.7	5.63463061514225e-13	1
F35C12.3	1.96168194167529e-12	1
spe-12	2.10205984761414e-12	1
H29C22.1	3.7096407740175295e-12	1
ZK1037.6	4.4179898667508094e-12	1
ule-5	1.2065613557566498e-11	1
T02E1.7	2.0679835333260698e-11	1
K12D12.4	2.6627961252021397e-11	1
M28.9	2.6979170671421197e-11	1
Y105C5B.17	8.325126004425719e-11	1
best-1	1.14488544350455e-10	1
D1054.10	3.6957481034406e-10	1
K12B6.2	6.91920683828992e-10	1
W02D9.7	7.00415178251998e-10	1
T08B6.4	7.739300460380711e-10	1
K02F6.3	9.79764361500769e-10	1
ZC373.2	1.1813894249138502e-09	1
irld-6	1.72047619360325e-09	1
spe-42	2.1703935999264404e-09	1
ZC190.7	5.106103474199831e-09	1
snf-2	7.2581115693289e-09	1
F55B11.2	1.09432387550198e-08	1
F58D2.2	1.4000507248197e-08	1
ZK1053.2	3.18448123407941e-08	1
T19H5.7	4.12989336368669e-08	1
ttr-12	4.20942107110315e-08	1
Y105E8A.27	7.19884610666394e-08	1
ssp-37	8.12828495804171e-08	1
ZK813.3	1.06889241994245e-07	1
sst-20	1.08566723927182e-07	1
Y95B8A.4	1.52983353757788e-07	1
Y62H9A.5	1.57544687555025e-07	1
ttr-9	1.62261797662957e-07	1
ttr-14	1.86597003428736e-07	1
clec-73	2.02035393704887e-07	1
C55C2.3	2.42070326286243e-07	1
Y69H2.3	3.07601853159157e-07	1
best-11	3.17766311451351e-07	1
F46F5.14	4.51509507594041e-07	1
F36D3.16	4.60443287683713e-07	1
F42G4.6	5.92735852898214e-07	1
Y43F8C.5	6.54546489601743e-07	1
M02B1.4	8.51478027806738e-07	1
Y37D8A.19	8.57988381436213e-07	1
nep-20	9.75155521162838e-07	1
M162.7	1.14289204657314e-06	1
fbxc-49	1.47239976898582e-06	1
C04H5.7	1.58738033228233e-06	1
F57C2.4	1.62076127534416e-06	1
