gene_short_name	scaled_TPM	group_number
aman-1	2.63548929032909e-16	1
cup-4	4.12186064512493e-16	1
clec-145	7.15481632885236e-16	1
lgc-28	7.57892467373725e-16	1
lgc-26	9.92649388376201e-16	1
col-135	1.1582377928357201e-15	1
srj-4	1.23203740468932e-15	1
F39B3.3	1.3358990982612402e-15	1
unc-122	1.39354876760128e-15	1
clec-178	1.59297807248857e-15	1
clec-223	1.88961645693389e-15	1
Y73F4A.1	1.9407957163481103e-15	1
lgc-24	2.7013606998588003e-15	1
Y116A8C.3	3.04599909649824e-15	1
Y39F10A.3	4.3528814103904005e-15	1
K02E7.11	4.482571008028011e-15	1
Y49E10.29	4.70328794874517e-15	1
F56C4.4	5.5424643584936304e-15	1
M162.7	6.07569251940033e-15	1
F32E10.8	6.893180042626061e-15	1
D1081.11	7.355099343659e-15	1
ZC116.3	1.01240095560047e-14	1
F38A5.22	1.0343634171531301e-14	1
clec-222	1.06218272312012e-14	1
C31H1.5	1.2877139851842801e-14	1
srb-13	1.67132285375305e-14	1
fut-4	1.7368503986808e-14	1
Y43D4A.2	1.79811331974195e-14	1
C10G11.1	1.8564531100230502e-14	1
T22C8.1	2.06073346751868e-14	1
F38B2.3	2.18126175320003e-14	1
ZK1251.3	2.44670841294871e-14	1
nep-8	2.76786878635939e-14	1
F46F5.14	3.00119217438344e-14	1
R01H2.2	3.07121405264424e-14	1
ZK250.14	3.70674325558233e-14	1
F14D7.18	6.19146247546359e-14	1
set-11	6.337083564808e-14	1
T21E8.4	9.080895072940631e-14	1
R04B5.7	1.05093406441137e-13	1
ZK354.9	1.82765617945084e-13	1
F57A8.6	1.83746727080526e-13	1
srz-94	2.2887554641683997e-13	1
Y59E9AR.2	2.32902606432081e-13	1
W05B10.6	2.55854582531127e-13	1
pqn-57	2.69590793907271e-13	1
srh-92	3.27955453230243e-13	1
irld-7	4.80185831395185e-13	1
Y105C5B.17	6.35391897941309e-13	1
srx-113	7.74203238017868e-13	1
ZK1037.6	1.04010385497107e-12	1
T13B5.9	2.13847859343462e-12	1
C46E10.1	2.17532641209458e-12	1
irld-18	3.3224586345815198e-12	1
abf-1	3.3568554168301997e-12	1
C54D10.4	3.7056096281986894e-12	1
M70.1	6.3173668812362495e-12	1
T05B4.14	1.2823642513338399e-11	1
F15H9.1	1.3322928624317399e-11	1
nep-7	2.96701871388622e-11	1
M02B1.4	5.465399712387529e-11	1
F55B11.3	1.09541957201492e-10	1
srx-73	1.31385416418993e-10	1
dhhc-13	2.38777787837135e-10	1
K10H10.13	2.46687790053511e-10	1
ttr-9	2.6373009852834003e-10	1
clec-151	2.75565247299457e-10	1
erp-44.3	5.3119432531647e-10	1
cof-2	6.62940561605494e-10	1
D1054.10	9.75759371409553e-10	1
Y42H9AR.2	1.22947857895887e-09	1
Y51A2B.6	1.5336207611914902e-09	1
Y62H9A.3	2.0446565295062103e-09	1
C55A6.11	2.3699849885287602e-09	1
Y57G11B.3	2.3958467850129704e-09	1
Y51H4A.22	3.3485454490707103e-09	1
dyf-7	9.786112931077811e-09	1
peel-1	1.19785987652389e-08	1
F36A4.5	1.21365946834216e-08	1
T26H10.2	1.44519888762241e-08	1
ZK1225.5	1.49141097458646e-08	1
srt-67	1.57391713067438e-08	1
Y95B8A.4	2.03543959971521e-08	1
T08B6.9	2.05524748052084e-08	1
Y47H9B.2	2.28475188429576e-08	1
nkb-2	2.74363105808438e-08	1
F58D5.8	2.93941972675341e-08	1
ZK856.5	4.59039163409229e-08	1
try-10	4.79824879661127e-08	1
irld-6	7.08660269561975e-08	1
ttr-13	8.84759157475663e-08	1
Y57G7A.6	9.14025726789449e-08	1
ZK813.3	9.53218366114432e-08	1
F31E8.5	1.20471200524344e-07	1
C09B9.2	1.22754962098519e-07	1
C18D11.7	1.36436989122884e-07	1
T08B6.4	1.44712877414621e-07	1
W09C3.2	1.53716634149057e-07	1
F36D1.6	1.66000778183389e-07	1
F01D5.7	1.67050960321244e-07	1
Y57G11C.1143	2.06585014106112e-07	1
acp-3	2.27591656462273e-07	1
ZK892.3	2.45314487073744e-07	1
clec-153	3.2493540349094e-07	1
spe-19	3.68014006324642e-07	1
F17E9.4	3.71399611361019e-07	1
spe-12	3.8513686538949e-07	1
elo-7	4.12262311530099e-07	1
F01G12.18	4.62608369270049e-07	1
srx-46	4.68400567456418e-07	1
Y62H9A.5	6.92858866785641e-07	1
K12B6.2	8.31234058863818e-07	1
snf-9	9.93655214084651e-07	1
scl-23	1.15070017617948e-06	1
C04H5.7	1.32538604783715e-06	1
F15H10.7	1.4254854611757e-06	1
Y51A2B.4	1.54619414291998e-06	1
F32H2.12	1.69332551111766e-06	1
Y116A8A.6	1.78447613128304e-06	1
irld-4	2.26184326111437e-06	1
H29C22.1	2.36845641365819e-06	1
C33D9.10	2.44741776822568e-06	1
F47E1.3	2.94661028656223e-06	1
F58D2.2	3.56762284923703e-06	1
K07A1.6	4.60420419436645e-06	1
Y57G11C.23	5.78506311037037e-06	1
mps-3	5.98381948727532e-06	1
T16G12.9	7.02112008882733e-06	1
ace-4	1.06476986293613e-05	1
F14F7.4	1.27133492564855e-05	1
Y27F2A.6	1.30369006543453e-05	1
irld-14	1.47442195896488e-05	1
sre-15	1.54570463212325e-05	1
F18A12.2	1.60280586571144e-05	1
ZK1010.5	1.6353596526486e-05	1
irld-3	1.81974835038039e-05	1
K02F6.3	2.51173268284435e-05	1
W02D9.6	2.7295348064094e-05	1
F37A4.4	3.02058501628494e-05	1
nep-13	3.45698308115853e-05	1
C33C12.12	3.64307998945008e-05	1
Y116A8C.23	4.26168412205836e-05	1
H34I24.1	4.64100251013373e-05	1
kin-21	4.90723798902609e-05	1
Y43F8A.2	5.31541375636376e-05	1
B0563.8	5.41341091383719e-05	1
F35E2.9	5.85825139318557e-05	1
nep-23	6.06544462316116e-05	1
best-25	6.96295275443508e-05	1
F10D11.4	7.16069313766428e-05	1
Y51A2B.5	7.99297736954963e-05	1
nep-20	9.20870022042774e-05	1
nep-10	9.57503312156956e-05	1
msp-58	9.73548551961054e-05	1
K12B6.4	0.0001010049427795	1
Y41C4A.21	0.0001060236985541	1
ZK84.2	0.000122242202749	1
snf-5	0.0001268484601779	1
srw-12	0.0001311027971359	1
ZC373.2	0.0001403486862288	1
ZC190.7	0.0001466735146382	1
lag-2	0.0002069865472434	1
ZK353.4	0.0002762715394236	1
C25E10.17	0.0003467963959561	1
F49D11.14	0.0003679921362173	1
nep-5	0.00039255883572	1
try-7	0.0004394183458862	1
Y53H1C.3	0.0004616969210872	1
F55F10.3	0.0004751142973255	1
F58D5.6	0.0005188905592641	1
F58A6.5	0.0005376757456008	1
ZK892.4	0.0005412627770796	1
str-10	0.000559401354359	1
C39B10.3	0.0005772131168905	1
srd-5	0.0006736256443392	1
T22C1.9	0.0007073277127547	1
ZK973.4	0.0007359533916105	1
F26D2.10	0.0008523503051242	1
grl-26	0.0009045158309886	1
C55C3.8	0.0009126525968088	1
T19H5.7	0.0010175287157969	1
F44F4.9	0.0010862302549223	1
E02H9.7	0.0011073494750579	1
F22D3.4	0.0012997625941188	1
irld-8	0.0013631871193737	1
paf-1	0.0016363304775094	1
ule-5	0.001708850075464	1
F55B11.2	0.0017462753043289	1
best-11	0.0020710235976443	1
F56D6.23	0.0021319623079717	1
ZK688.10	0.0022061259414577	1
F13B12.7	0.0022875607878391	1
T06A10.106	0.0022927661188746	1
srab-9	0.0023444674058661	1
ttr-56	0.0025529477965126	1
F25H5.2	0.0025543398385686	1
D1086.6	0.0027065620658115	1
oac-9	0.0029413611424119	1
clec-79	0.0031680042018011	1
gur-3	0.0032047252490388	1
math-46	0.0032168888649711	1
bgnt-1.4	0.0033214404836276	1
ZK945.8	0.0037754373066538	1
F10G2.2	0.0038845841868187	1
dhhc-12	0.0039965052319075	1
T28B8.6	0.0041963994568253	1
tab-1	0.0043464186827008	1
F54C8.6	0.0045880679587719	1
C01G12.9	0.004599985383436	1
C12D5.3	0.0049498254571508	1
C55B6.7	0.005157821237761	1
T02E1.7	0.0057966137244271	1
C08B6.6	0.006027949885317	1
T21E12.5	0.0068244139484212	1
W01C9.1	0.0071706459564875	1
sra-36	0.0073001738338753	1
Y18H1A.15	0.0074066778523444	1
C11E4.8	0.0075771581509679	1
F35E2.5	0.0076351673432895	1
clec-117	0.0077076520768462	1
T13A10.2	0.0077669098136597	1
Y69H2.15	0.0077988054222958	1
