gene_short_name	scaled_TPM	group_number
aman-1	8.114035851245671e-17	1
mig-6	6.685614347664201e-16	1
dig-1	7.39358745083077e-16	1
Y73F4A.1	8.0051948345302e-16	1
F55B11.3	1.0608315987575701e-15	1
D1086.6	1.453638910826e-15	1
ule-3	1.5369789075077e-15	1
oac-9	1.6380174917153301e-15	1
lgc-25	1.78042723088173e-15	1
clec-178	1.87623137839336e-15	1
ZK1251.3	1.95084371447106e-15	1
Y116A8C.3	2.15137207412527e-15	1
ttr-1	2.3014107777628503e-15	1
K07A1.6	2.4171482114185204e-15	1
ZK856.5	2.5543844919725e-15	1
F56C4.4	2.6851217469990704e-15	1
H29C22.1	3.1277700578052102e-15	1
K02E7.11	3.2025912360889704e-15	1
F35C12.3	3.4233347272654203e-15	1
nlp-54	3.46609740599951e-15	1
W02D9.7	3.58918273433403e-15	1
C31H1.5	3.6625152540691e-15	1
cof-2	4.4064588017958604e-15	1
C29E4.10	4.43707588287843e-15	1
dma-1	4.89686199938843e-15	1
Y62H9A.4	5.1807188677519804e-15	1
C54D10.4	5.83330839238953e-15	1
W02D9.6	5.983549331676621e-15	1
lgc-28	6.067331781390271e-15	1
C04H5.7	6.0723605311469405e-15	1
ttr-9	6.37554846666958e-15	1
Y62H9A.3	6.455715145903721e-15	1
F38A5.22	6.91590102652461e-15	1
W05B10.6	7.0133468188944304e-15	1
D1086.17	7.662203934879761e-15	1
F59A1.13	7.842048264079801e-15	1
R03G8.6	8.969185014011711e-15	1
snf-9	9.215289433309751e-15	1
F17E9.4	1.0323976578196e-14	1
Y43F8C.5	1.1487949228341401e-14	1
ZK813.3	1.15560981509976e-14	1
Y105C5B.17	1.2644421518468101e-14	1
F07A5.4	1.27158440259109e-14	1
Y105E8A.27	1.31655018272874e-14	1
clec-222	1.46377101609879e-14	1
ssp-37	1.54457160210708e-14	1
T19H5.7	1.56496610618898e-14	1
F57C2.4	1.65681348100918e-14	1
C28C12.11	1.70753406006248e-14	1
acp-3	1.9513266756122e-14	1
C46E10.1	2.54691155492637e-14	1
F53H4.2	2.61015315414082e-14	1
nlp-20	3.35479548051271e-14	1
C15C8.5	4.2636468028677404e-14	1
fut-4	4.34801199986961e-14	1
C55C2.4	4.72821267516969e-14	1
srw-12	6.022827588496411e-14	1
nep-8	7.7869914401151e-14	1
Y105C5B.18	1.05340311413903e-13	1
T05B4.14	1.1097643513982899e-13	1
E02H9.7	1.17031776639416e-13	1
nkb-2	1.17314007924216e-13	1
F46F5.10	1.23710309381341e-13	1
nlp-6	1.24768158423008e-13	1
W03D8.1	1.4150290878953e-13	1
ttr-12	1.7625611087997e-13	1
irld-7	2.12897136103639e-13	1
F54F7.9	2.4792747070914e-13	1
ZK795.2	2.81281347370157e-13	1
F16H11.1	4.59070811314857e-13	1
F46B6.13	5.24941298229912e-13	1
ule-5	1.07569863310063e-12	1
F40H6.1	1.22103994423788e-12	1
irld-18	1.37873093230971e-12	1
smf-2	1.52896649891785e-12	1
T08B6.9	1.59513641980355e-12	1
Y54G2A.15	1.95654765207591e-12	1
best-8	3.0538105383691097e-12	1
mab-23	3.0999214036584397e-12	1
C16D9.5	5.45974743933186e-12	1
abf-1	5.57058683241044e-12	1
D1022.9	7.24641045106482e-12	1
F07H5.6	8.4110017987016e-12	1
clec-119	8.57531400044568e-12	1
D1054.10	8.826599563843619e-12	1
ZK84.2	8.90488115121134e-12	1
ZK892.3	9.428660034361319e-12	1
Y57G11B.5	2.0961145489342198e-11	1
ttr-42	2.49322597524777e-11	1
Y95B8A.4	2.9695575107978596e-11	1
F15H9.1	4.0097460633148594e-11	1
nep-10	4.5228464875744e-11	1
tsp-18	9.498780240184301e-11	1
tag-63	3.13345215019501e-10	1
D1081.12	3.49833012018792e-10	1
C09B9.4	4.72925248935668e-10	1
T02E1.7	4.75421056663131e-10	1
W09D6.4	5.40905397758728e-10	1
nlp-18	6.14526495979785e-10	1
ZK813.7	9.12565007548547e-10	1
frpr-10	1.09271804822608e-09	1
irld-3	1.58370630038424e-09	1
C18H7.7	1.94973705059682e-09	1
srw-60	2.05373074709509e-09	1
sst-20	2.36963387173124e-09	1
M28.9	2.9681231423839e-09	1
Y57G7A.6	3.1124016579304604e-09	1
C55A6.11	3.15116525573314e-09	1
F07C4.6	4.47885484316431e-09	1
C18H2.5	7.7686532863523e-09	1
C14F11.4	9.432695673705482e-09	1
F25H5.2	1.52373399706264e-08	1
F21D9.2	1.98262064429974e-08	1
peel-1	3.10653172403543e-08	1
spe-19	3.52956078982433e-08	1
nlp-17	4.09283066605411e-08	1
Y43F8C.9	5.01235894108455e-08	1
srxa-10	5.16969826781187e-08	1
K02F6.3	6.39444334894104e-08	1
F36D1.6	7.59767528605236e-08	1
T08B6.4	8.99731832608315e-08	1
C09B9.2	1.15121171004697e-07	1
F02A9.1	1.16546771010865e-07	1
ttr-14	1.41601638159984e-07	1
F15H10.7	1.67921605975004e-07	1
K12B6.2	2.11478813569278e-07	1
Y47H9B.2	3.23906932346521e-07	1
lgc-41	3.97784118521136e-07	1
F14F7.4	6.09122836198796e-07	1
ZK688.10	6.97305914340851e-07	1
F37A4.4	7.26958456972683e-07	1
acp-2	7.28413885675575e-07	1
abf-6	8.08514964162963e-07	1
Y67D8B.5	8.35996237226431e-07	1
W09C3.2	8.48627983253286e-07	1
C55C2.3	9.01782824882718e-07	1
nlp-21	9.40082245499605e-07	1
T10B9.9	1.03306272226891e-06	1
nlp-13	1.06945130287529e-06	1
