gene_short_name	scaled_TPM	group_number
clec-178	2.31158463608246e-17	1
cup-4	9.35710602575268e-17	1
T05B11.4	1.18835285029879e-16	1
lgc-26	1.21330001374248e-16	1
lgc-28	5.45156038884403e-16	1
F55B11.3	1.1047171682663001e-15	1
ttr-1	1.2300654648369601e-15	1
C33C12.4	1.40245031244554e-15	1
F13D12.9	1.4761752041835401e-15	1
oac-9	1.5637659732525501e-15	1
pes-8	2.00960403837052e-15	1
ssp-37	2.0200726228309903e-15	1
W05B10.6	2.13453961562271e-15	1
dyf-7	2.1520760290033204e-15	1
M162.7	2.26778028239501e-15	1
chhy-1	2.29102395534318e-15	1
Y43F8C.5	2.3950184773993002e-15	1
F32E10.8	2.41349564829978e-15	1
dma-1	2.4275759820394202e-15	1
Y116A8C.3	2.52875202657115e-15	1
Y75B7AL.2	2.81624147781264e-15	1
K07A1.6	4.4028616366191e-15	1
Y49E10.10	4.4514448505529705e-15	1
F58A6.5	4.49613529911336e-15	1
srj-4	5.69320307374336e-15	1
ZK1251.3	6.2035588547282204e-15	1
ZK265.7	7.6631508403638e-15	1
R03G8.6	7.695385109201091e-15	1
clec-190	8.61747419761029e-15	1
Y62H9A.3	1.3812282477291e-14	1
nstp-6	1.47330200035108e-14	1
M28.9	1.53243360853587e-14	1
ttr-12	1.64131606066794e-14	1
C31H1.5	1.77776044146421e-14	1
twk-10	3.1253072274655904e-14	1
C38C6.5	3.53572594646086e-14	1
bgnt-1.4	3.65454242351721e-14	1
F35E2.5	4.1550706269301105e-14	1
T16A1.2	5.47230848136415e-14	1
egas-4	5.94716069951049e-14	1
C45G9.15	8.530344289195031e-14	1
Y17G7B.22	8.53990799747676e-14	1
T28D9.16	9.3217402587841e-14	1
Y105C5B.17	1.14245512578537e-13	1
F54B3.4	1.29035196127395e-13	1
Y62H9A.4	1.3158356065509998e-13	1
odr-3	1.4941381781365e-13	1
Y66A7A.4	1.72647095339247e-13	1
AC3.12	3.22557824269977e-13	1
T05B4.14	4.04883487687767e-13	1
sre-14	4.08972840611308e-13	1
F55F3.4	4.12160896475002e-13	1
irld-7	5.50940804843946e-13	1
C17C3.3	5.62646635642568e-13	1
ule-3	6.11670030436466e-13	1
hlh-29	1.09145305039681e-12	1
K11H12.6	1.24255390381187e-12	1
best-8	1.3455692811958099e-12	1
clec-119	1.4919652040742299e-12	1
F11D5.5	1.88895331266577e-12	1
chs-2	2.44361890220528e-12	1
Y49E10.29	4.35635781644502e-12	1
Y116F11B.8	4.7078509717924e-12	1
gst-23	5.04136838044028e-12	1
F18A12.7	6.401774235138e-12	1
T28A11.4	9.22910313415989e-12	1
F07H5.6	1.5464561297246497e-11	1
C16D9.5	1.6333427213982e-11	1
nep-20	1.64240035840161e-11	1
T07F10.1	1.74757772950913e-11	1
M70.3	1.9889130927277897e-11	1
F53G12.9	2.20737043772624e-11	1
snf-9	3.308088498869e-11	1
M02B1.4	4.302805689851909e-11	1
glr-1	4.486729585917249e-11	1
C46E10.1	5.6192179892263196e-11	1
Y41D4B.24	5.849760002691279e-11	1
ZK795.2	7.025767514244109e-11	1
W09D6.4	9.471305147697219e-11	1
D1081.12	1.20150642951286e-10	1
med-1	1.89791172862592e-10	1
W04A8.1	2.66151900110919e-10	1
Y73F4A.1	2.87262317932504e-10	1
ZC190.7	4.42400897554663e-10	1
D1054.10	4.63753321274307e-10	1
C18H7.7	1.02652955953873e-09	1
sst-20	1.1327320911154401e-09	1
Y51A2B.4	1.17647037114588e-09	1
clec-153	1.2719879112257601e-09	1
K08C9.2	1.36869186313945e-09	1
H29C22.1	1.68428975652778e-09	1
F25H5.2	3.5978705314295805e-09	1
ZK813.3	4.32552486585758e-09	1
D1086.6	5.8963374210327e-09	1
F35F11.2	5.995100119662821e-09	1
