gene_short_name	scaled_TPM	group_number
lgc-24	5.06463554802928e-16	1
unc-122	7.93668958111108e-16	1
B0393.7	9.69434199656484e-16	1
aman-1	9.94647074720228e-16	1
lgc-26	1.2422801782067301e-15	1
clec-145	1.3092289550736502e-15	1
twk-37	1.74214456354375e-15	1
cup-4	1.7512591948210902e-15	1
F46B6.2	1.81914440387529e-15	1
Y39F10A.3	2.0642422899986603e-15	1
dma-1	2.1208034786185e-15	1
scl-17	2.48985826221616e-15	1
lgc-28	3.75708170224838e-15	1
ZC116.3	4.1822268265288305e-15	1
T28A11.17	4.29031917448509e-15	1
F46B6.10	4.44514891574685e-15	1
Y73F4A.1	4.5629530512562704e-15	1
K02E7.11	4.574051945579981e-15	1
F19C7.6	5.792236665668e-15	1
E02H4.4	5.949324395730141e-15	1
T05B11.4	6.164447970197071e-15	1
Y116A8C.3	6.5046590515884105e-15	1
F16H11.1	6.8086996814258405e-15	1
AH9.4	7.433084727614721e-15	1
clec-222	7.80417291590268e-15	1
npr-35	7.82147687316466e-15	1
T20B6.2	8.315233358845511e-15	1
clec-178	8.77503234754044e-15	1
ttr-1	8.81002481671995e-15	1
F59A1.13	9.54480214093659e-15	1
F38A5.22	1.0034199127290601e-14	1
T13B5.9	1.17667283595044e-14	1
srx-134	1.4475890402721e-14	1
alh-2	1.45251052775297e-14	1
C56E6.4	1.49107072127165e-14	1
F39B3.3	1.51728052781361e-14	1
T07D1.3	1.52328003166341e-14	1
F28A10.1	1.55076903090265e-14	1
C55C2.4	1.56791235824741e-14	1
sri-4	1.6582606026603802e-14	1
srg-32	1.96455594433328e-14	1
T04F8.9	1.9968636043605102e-14	1
srsx-33	2.2657635542535902e-14	1
sdz-28	2.3062359288634202e-14	1
srt-65	2.31806613106992e-14	1
F11C1.10	2.4038210961599202e-14	1
tbx-38	2.7001773642542702e-14	1
F38B2.3	2.8698025924020997e-14	1
K09C6.6	3.30762134716775e-14	1
srv-5	3.44793713305766e-14	1
srj-18	3.57721204934582e-14	1
str-163	3.61423565231716e-14	1
C39B10.4	3.9228347820358804e-14	1
T28D9.16	4.66913782131397e-14	1
Y50E8A.11	5.42523527262077e-14	1
srz-44	5.90839863929275e-14	1
F02D8.9	7.329411647669041e-14	1
K02A6.1	7.34957835190408e-14	1
F41C6.4	7.54077067604635e-14	1
str-252	7.867295667944521e-14	1
E03H12.4	9.086547163163941e-14	1
abt-6	9.088704083228271e-14	1
lgc-17	9.728856465608171e-14	1
nep-8	1.15342774408226e-13	1
K04A8.10	1.2417855986495e-13	1
srz-82	1.32339955709965e-13	1
srh-279	1.3513613878656e-13	1
dpr-1	1.41227485776944e-13	1
lgc-23	1.48522950682961e-13	1
ZK637.15	1.85505435190371e-13	1
srx-105	1.86659201300266e-13	1
ZK1037.6	1.9543988874978e-13	1
srh-240	2.11206048001896e-13	1
F57A8.6	2.14710298490576e-13	1
sri-32	2.77942390574369e-13	1
ZK795.2	2.79063755730629e-13	1
ZK354.9	3.23974375586917e-13	1
F17E9.15	3.32876205219741e-13	1
srv-32	3.96059955594539e-13	1
B0524.3	4.2342825268741e-13	1
C29F5.5	5.10330863426064e-13	1
Y62H9A.4	8.7093028634216e-13	1
C31H1.5	9.06480556844738e-13	1
srw-19	1.4899210100123399e-12	1
srd-10	1.9811316749535598e-12	1
F56A11.4	2.20123617038912e-12	1
K03H6.4	2.47207896325029e-12	1
F38A1.13	2.49423451576584e-12	1
W03D8.1	2.6561831774717097e-12	1
lgc-25	3.25142673403289e-12	1
C46E10.1	4.34704944305332e-12	1
srsx-17	4.36352297279406e-12	1
F07G11.4	4.7894786073042495e-12	1
M70.1	6.1131533393667095e-12	1
F21F12.1	7.36482997545731e-12	1
nep-7	9.27309833526503e-12	1
ule-3	1.05950096378097e-11	1
W05B10.6	1.2322916683102e-11	1
C54D10.4	1.47920168080997e-11	1
K06A4.2	1.52077933435435e-11	1
srz-29	3.0017536716085496e-11	1
srj-26	3.0933935003243595e-11	1
Y105C5B.17	3.7139778343753594e-11	1
Y49E10.29	5.95814682443813e-11	1
C02H6.3	1.01734745919732e-10	1
Y41D4B.24	1.10207931771138e-10	1
T02D1.4	1.4762691843372401e-10	1
oac-23	1.76381867333436e-10	1
F55B11.3	3.63396500272872e-10	1
clec-190	5.09065230590923e-10	1
clec-151	5.64988746168482e-10	1
C29F4.3	6.24617871150744e-10	1
Y51A2B.6	6.50923265011238e-10	1
D1054.10	8.27499264359378e-10	1
C29E4.10	8.4596294870557e-10	1
F36A4.5	1.27990464824818e-09	1
F46F5.11	1.29534122463159e-09	1
fut-4	1.2974841916636401e-09	1
F32E10.8	1.53737145742123e-09	1
cof-2	1.66251083026829e-09	1
T16A1.2	1.6646347749608201e-09	1
R13H4.7	1.7836340404846701e-09	1
Y62H9A.3	2.2763522667733e-09	1
F56H1.10	2.3545504595330304e-09	1
T02E1.7	2.5777401727295e-09	1
ZK262.3	2.81077308961891e-09	1
ZK1225.5	2.9457670352429504e-09	1
otpl-7	3.3338150431141102e-09	1
C25G6.4	3.47569777132705e-09	1
sst-20	3.5034583280511e-09	1
dyf-7	3.97582313371656e-09	1
C18D11.7	6.0362622896855105e-09	1
ttr-13	6.6466333346964105e-09	1
srx-19	6.678369613825821e-09	1
lgc-37	6.9962479832017905e-09	1
F54B3.2	7.841518999519751e-09	1
srxa-10	7.87953052602116e-09	1
Y43D4A.2	8.6830487503863e-09	1
irld-6	1.24907250304204e-08	1
F15H9.1	1.35083045386916e-08	1
T08B6.9	1.72608526048732e-08	1
nhr-157	1.93098287969946e-08	1
C09G5.13	2.35578823460992e-08	1
aqp-3	2.63256179722551e-08	1
C14F11.4	2.69873937287052e-08	1
F46F5.16	3.20200242878382e-08	1
ZK813.3	4.83654971571794e-08	1
