gene_short_name	scaled_TPM	group_number
T13B5.9	4.96359170438718e-16	1
T22A3.12	5.02339488339413e-16	1
cof-2	5.733978489869009e-16	1
F15H9.1	6.52045652170511e-16	1
F19B6.3	7.104295270823301e-16	1
C08F11.7	9.16600934098006e-16	1
E02H4.4	1.0575553443159202e-15	1
lgc-28	1.2365687283481601e-15	1
T25B9.5	1.4748739826739102e-15	1
lgc-26	1.6350002403441202e-15	1
K08H2.3	1.8659450596836e-15	1
clec-223	2.26486235715983e-15	1
Y73F4A.1	3.3363620807053604e-15	1
unc-122	3.3750605291588703e-15	1
clec-145	3.67609689233991e-15	1
clec-222	4.1801408459797905e-15	1
clec-178	4.5850552608763405e-15	1
chil-25	5.849008545262311e-15	1
C40C9.3	6.3341369237869305e-15	1
ZC116.3	6.473354222787e-15	1
F28A10.1	7.170090802863881e-15	1
C46G7.5	7.41591664353222e-15	1
ZK1251.3	8.420889940450341e-15	1
mpz-6	9.095194898341941e-15	1
C10G11.1	1.01878380405874e-14	1
ttr-1	1.0977092572714e-14	1
F25E5.2	1.26107931325298e-14	1
Y27F2A.6	1.27716886841678e-14	1
C15H11.10	1.40178655305872e-14	1
F46F5.14	1.55429700870943e-14	1
K11H12.6	1.61945166571916e-14	1
F16B12.1	1.98432233778544e-14	1
alh-2	2.36870048161621e-14	1
fbn-1	2.61742669465826e-14	1
F54B11.4	5.63205406593658e-14	1
F52F12.9	7.320627783591081e-14	1
C12D8.21	7.68533632034821e-14	1
Y52B11A.11	7.85733479564782e-14	1
F41C6.4	8.30626051825482e-14	1
C31H1.5	8.86251252529181e-14	1
K03B8.4	1.03442972644648e-13	1
nas-21	1.31943003451568e-13	1
Y97E10AR.2	1.3663928094401e-13	1
F32G8.3	4.3071948237982997e-13	1
M70.1	6.06592368852738e-13	1
spe-29	6.37057819778786e-13	1
Y105C5B.17	1.19327263254114e-12	1
sst-20	1.38170589355984e-12	1
Y62H9A.4	1.5910734030975e-12	1
srv-32	1.9364056558215398e-12	1
C46E10.1	2.27068801040755e-12	1
F29D10.1	2.55789589074642e-12	1
M02B1.4	6.049533370313359e-12	1
srh-231	6.4943665328447195e-12	1
D2062.13	7.590700828382729e-12	1
lgc-25	8.20174109992401e-12	1
srj-26	2.3811086040233002e-11	1
ZK1053.6	2.4797757696029e-11	1
ule-3	2.63494432895294e-11	1
best-11	3.25703157570895e-11	1
ttr-11	3.42099389186348e-11	1
C18H7.7	3.9057815208711496e-11	1
F01G10.4	3.98212735924276e-11	1
C13C4.6	4.1224933737353695e-11	1
F47G6.3	4.34286979800398e-11	1
Y113G7A.15	1.26338363581691e-10	1
ZK783.6	1.33134832487801e-10	1
K05F1.1	1.5466395623268401e-10	1
D1081.11	1.59761157218918e-10	1
Y116F11B.8	1.64113778414476e-10	1
Y42H9AR.2	1.78081611411974e-10	1
oac-3	3.93832819421483e-10	1
gadr-2	3.97833463048986e-10	1
F52D2.5	4.3498079374403006e-10	1
T28F12.1	4.97365944706322e-10	1
clec-151	5.225255530482801e-10	1
F55B11.3	5.64553958192824e-10	1
erp-44.3	6.43366809679207e-10	1
clec-119	9.32060642107725e-10	1
F27E5.3	1.3824743479622402e-09	1
Y51H4A.22	1.3957999682683401e-09	1
F56H1.10	1.631071596854e-09	1
Y51A2B.6	1.7849155998696602e-09	1
D1054.10	1.9703040147914503e-09	1
Y62H9A.3	2.3103942447026903e-09	1
F47B3.4	2.4732889356837903e-09	1
lips-1	3.1832651425203202e-09	1
ZK1010.5	3.4381109529163602e-09	1
ZC317.1	3.4865304826058303e-09	1
