gene_short_name	scaled_TPM	group_number
aman-1	6.08913376441817e-16	1
cup-4	6.76945966104247e-16	1
clec-145	1.94963734903537e-15	1
clec-222	3.2564742126078904e-15	1
ZK856.5	3.5334257314910204e-15	1
clec-178	4.697915107052721e-15	1
K02E7.11	5.280884836247851e-15	1
lgc-26	7.15695243239236e-15	1
Y73F4A.1	8.20657010213259e-15	1
Y116A8C.3	8.54713654506668e-15	1
Y95B8A.4	1.27945148970657e-14	1
ZC116.3	1.35302658165701e-14	1
snf-9	1.50464707525042e-14	1
F55B11.3	1.57323584692013e-14	1
his-65	1.8203634752438102e-14	1
ttr-1	2.00188281834587e-14	1
dyf-7	2.92252184031455e-14	1
cof-2	3.70080669506625e-14	1
nep-8	3.90206573160383e-14	1
F38A5.22	4.39500578740758e-14	1
cya-2	4.7624092916012104e-14	1
oac-9	5.980129668642631e-14	1
C31H1.5	6.21486481057947e-14	1
otpl-7	6.84442597269132e-14	1
ZK1037.6	7.30976242225667e-14	1
F54B3.2	7.390878721777011e-14	1
K07A1.6	8.04012915460508e-14	1
Y51H4A.22	1.22197503183805e-13	1
D1086.6	2.05617476021404e-13	1
Y51A2B.4	2.50982546462601e-13	1
srz-79	4.2735836769566897e-13	1
Y62H9A.4	4.3573811402562997e-13	1
C36E8.6	7.95972082329075e-13	1
ZC190.7	1.7565570125788999e-12	1
H29C22.1	2.1459380725884298e-12	1
fut-4	3.7258739254422395e-12	1
ule-3	4.94464091634435e-12	1
T16D1.1	4.95822358341845e-12	1
Y62H9A.3	7.558611906444069e-12	1
C46E10.1	9.1464734067317e-12	1
T13B5.9	1.47372114374539e-11	1
C54D10.4	2.3031704569799198e-11	1
F35C12.3	1.34659297812284e-10	1
K02F6.3	2.96896923563963e-10	1
F19C7.5	3.93027706911361e-10	1
D1081.11	4.32120127678481e-10	1
M02B1.4	4.54031769335904e-10	1
Y43F8A.2	4.79450166691135e-10	1
D1054.10	5.94940490027825e-10	1
T19H5.7	6.23377555032219e-10	1
B0207.9	7.17744435781e-10	1
W02D9.7	9.80398066348435e-10	1
Y42H9AR.2	1.22767727874887e-09	1
Y105E8A.27	1.34076022124307e-09	1
Y105C5B.17	1.8542862594931202e-09	1
clec-223	3.4226710052888804e-09	1
Y57G11B.3	3.6088875949173304e-09	1
abf-1	1.36814616552873e-08	1
ZK1225.4	1.49298470512906e-08	1
ssp-37	1.65421666408561e-08	1
ZK1225.5	1.73847369665216e-08	1
ZK813.3	3.07951476222965e-08	1
F17E9.4	5.18592805417616e-08	1
nkb-2	7.64082577194792e-08	1
Y53F4B.36	1.35202531032295e-07	1
C31H1.1	1.90820256187547e-07	1
Y69H2.3	2.02938532224597e-07	1
C18H2.5	2.07799366853512e-07	1
try-10	2.17070556682812e-07	1
Y62H9A.5	2.17477161397527e-07	1
ttr-12	2.43833076217282e-07	1
irld-6	2.63751795879026e-07	1
Y43F8C.5	3.57996227826761e-07	1
K08C9.2	3.96510512388827e-07	1
F58D5.8	5.79398994566792e-07	1
ZK930.7	5.90855251838154e-07	1
F57C2.4	6.30511540072677e-07	1
ttr-14	6.67422682714018e-07	1
F47G6.3	7.78708745782721e-07	1
Y57G11C.23	1.18356839886347e-06	1
E02H9.7	1.2485131852729e-06	1
cysl-4	1.40825188928173e-06	1
Y37D8A.19	1.40966283839306e-06	1
sst-20	2.40374056644002e-06	1
T08B6.4	3.21986318632461e-06	1
F59A1.15	4.03977433830281e-06	1
ZK813.7	6.43602817723917e-06	1
ZK262.2	1.06527974422221e-05	1
C04H5.7	1.14041669328582e-05	1
ZK795.2	1.8144854604996e-05	1
C14F11.4	2.19528246306498e-05	1
C28C12.11	2.79499073600359e-05	1
ZC373.2	3.91905527948977e-05	1
W02D9.6	4.36862626262016e-05	1
Y105C5B.18	5.14794997845799e-05	1
ZC581.2	7.69188957778468e-05	1
F22F7.11	8.57298009421843e-05	1
F40E3.5	0.0001001816213117	1
Y57G7A.6	0.000167108733307	1
catp-4	0.0002024986545495	1
srg-2	0.000204403849872	1
pqn-75	0.0002234011671761	1
ZK84.2	0.0002418878038542	1
C04G2.2	0.0002674496470637	1
B0454.26	0.0003255769115191	1
acp-3	0.0003410215574807	1
ZK813.1	0.0004090148703945	1
nep-20	0.0005857770757314	1
Y50E8A.2	0.0006320483120596	1
T05B4.14	0.0006875738585945	1
F49D11.14	0.0007109337020477	1
K07F5.12	0.0007320333000576	1
ule-5	0.0008113552992548	1
M162.7	0.000952527045759	1
F55B11.2	0.0009556455941107	1
irld-3	0.0017266946499879	1
D1086.17	0.0030844720798912	1
ttr-28	0.0034050318781431	1
cnnm-5	0.00367039999339	1
F54F7.3	0.0039151568212616	1
M28.9	0.0058806808108395	1
irld-14	0.006180258898492	1
irld-18	0.0080698596779637	1
F54C8.1	0.0161891642673297	1
ttr-42	0.0187132356564567	1
C48B4.6	0.0207487937237928	1
set-9	0.021142361012668	1
Y54G2A.15	0.025180601186329	1
K07F5.17	0.0287097852833147	1
his-61	0.0331856727564307	1
C40C9.3	0.0339001776229837	1
pqn-88	0.0341385741191684	1
C14C11.2	0.0351694301285663	1
F56F4.4	0.035489826531692	1
bath-27	0.0357811427471964	1
F35H8.1	0.0395832444913205	1
Y54E2A.7	0.041371277929433	1
marc-2	0.04239189906011	1
mes-6	0.0456633468510554	1
C04G6.6	0.0465973973086112	1
bath-4	0.0475004016818303	1
F10E7.11	0.0477136552073014	1
Y73B3A.1	0.0503639695311948	1
C40A11.8	0.0524848965344925	1
ZC581.7	0.0531947661966956	1
F58B4.7	0.0539820837797292	1
R05D3.3	0.0553313079637775	1
F32E10.9	0.0626824058729887	1
H31G24.3	0.0642725756098471	1
ttr-38	0.0664039398960279	1
H34I24.1	0.0725587644135286	1
