gene_short_name	scaled_TPM	group_number
ZK856.5	1.8039584838976e-15	1
snf-9	1.8050841128617e-15	1
lgc-26	2.7889234796457203e-15	1
Y73F4A.1	4.3250596417815905e-15	1
ule-3	4.6598239931526204e-15	1
F28A10.1	4.68753644498797e-15	1
ttr-1	6.474110056560721e-15	1
bgnt-1.4	1.01463830039604e-14	1
F55B11.3	1.57548486567515e-14	1
mig-6	1.57844355836079e-14	1
D1086.6	1.88501850288197e-14	1
Y62H9A.4	1.90331747671211e-14	1
ZC116.3	1.9056039912645102e-14	1
Y116A8C.3	1.90897373827052e-14	1
C29E4.10	1.94961722026067e-14	1
clec-178	3.14568019550418e-14	1
nep-8	3.64213140405331e-14	1
F32E10.8	4.37429329573112e-14	1
C31H1.5	4.55284657106274e-14	1
F59A1.13	5.05291669070103e-14	1
K07A1.6	5.30812736248282e-14	1
T13B5.9	5.5423251355636905e-14	1
Y69H2.3	5.64082863288034e-14	1
Y51A2B.6	6.6729221384496e-14	1
T05B4.14	7.37769316453544e-14	1
ZK813.3	8.05917493739877e-14	1
E02H4.4	8.20109550968335e-14	1
Y95B8A.4	1.20352482983446e-13	1
F38A5.22	1.3190380620757998e-13	1
ssp-37	2.51171371807653e-13	1
D1081.11	4.4279034961659e-13	1
spe-12	5.02363295041386e-13	1
H29C22.1	5.77480626115672e-13	1
F25H5.2	9.9578242817086e-13	1
Y62H9A.3	5.2908701157760994e-12	1
phat-4	6.81372666748091e-12	1
F35C12.3	9.269243751946279e-12	1
ule-5	1.06129533560407e-11	1
C54D10.4	1.29444382655509e-11	1
ZK1010.5	2.7605953836349498e-11	1
K02F6.3	6.25776962894329e-11	1
irld-4	7.575475869138629e-11	1
M02B1.4	9.1250689854194e-11	1
spp-19	1.59135889946893e-10	1
W02D9.7	1.93929544346038e-10	1
pitr-5	2.03196476421757e-10	1
D1054.10	2.28736882391699e-10	1
Y116F11B.8	3.9249359281366103e-10	1
ZC373.2	3.98806914796439e-10	1
W02D9.6	5.43699119401786e-10	1
Y43F8C.5	6.00471784759114e-10	1
abf-1	1.17500943654793e-09	1
nkb-2	2.0159443954127704e-09	1
ttr-13	3.0075175478397703e-09	1
ZK1225.5	4.04433370807511e-09	1
F54F7.9	1.07792803835688e-08	1
F59E12.3	2.9668901791893e-08	1
F13A7.7	7.09027892051386e-08	1
K08C9.2	9.8468109370362e-08	1
C18H7.7	1.02562537948368e-07	1
C04H5.7	1.341725216144e-07	1
ttr-14	1.46815181695916e-07	1
D1086.17	1.64369991133125e-07	1
