gene_short_name	scaled_TPM	group_number
clec-145	8.678858162414021e-17	1
Y47H9B.2	8.7818198829194e-17	1
Y39F10A.3	3.06965165069614e-16	1
F07A5.4	3.51759559281858e-16	1
M7.9	5.94815197681309e-16	1
E02H4.4	7.02124465304736e-16	1
cup-4	8.30006818159059e-16	1
best-11	8.30267039594619e-16	1
F54B3.2	9.90357682834662e-16	1
F28A10.1	9.95663904231709e-16	1
lgc-25	1.19986759391548e-15	1
F22F7.11	1.2904145498461001e-15	1
F38B2.3	1.29656297011417e-15	1
col-135	1.3363139555802601e-15	1
T19C3.5	1.3729611207441401e-15	1
T28A11.17	1.7329661733611302e-15	1
B0496.6	1.7955368062398e-15	1
aman-1	1.85381710814118e-15	1
chhy-1	1.89437629382645e-15	1
F11A5.18	1.8956741161271303e-15	1
F46F5.11	1.9490885619070402e-15	1
F23H12.10	2.1525895082928e-15	1
B0035.21	2.16494641018112e-15	1
fbxc-48	2.27223730868531e-15	1
C38C6.5	2.32238413334603e-15	1
F19H6.4	2.7741518049859902e-15	1
K11E4.6	2.78282515768548e-15	1
clec-137	2.8125885680858804e-15	1
lgc-24	2.8970718943515504e-15	1
nep-23	2.90360474634896e-15	1
snpc-1.3	2.9259808414368704e-15	1
irld-6	3.02729345624463e-15	1
T25B9.2	3.04128651333166e-15	1
T05B11.4	3.1135707426823003e-15	1
Y43D4A.1	3.1245226748143002e-15	1
fut-5	3.2907217956329804e-15	1
his-32	3.3652955759228904e-15	1
hhat-2	3.3962320707428202e-15	1
F56H1.10	3.4590155785243603e-15	1
F47G6.3	3.4684677526232104e-15	1
clec-219	3.4826003600017e-15	1
Y71F9B.15	3.6815140897286305e-15	1
K08F8.7	3.72400789644424e-15	1
Y47D9A.4	3.73718845777664e-15	1
H04D03.3	3.74976448917141e-15	1
bgnt-1.1	3.95924718626913e-15	1
F30H5.3	3.96738157025192e-15	1
F32B5.2	4.1305137439027405e-15	1
his-45	4.14748286921457e-15	1
F26A1.4	4.2062674707728305e-15	1
bus-17	4.2386024418537106e-15	1
F46F5.10	4.36298601736261e-15	1
K11H12.6	4.408909268466331e-15	1
ZK892.4	4.646018891757651e-15	1
