gene_short_name	scaled_TPM	group_number
F43C11.12	5.2788745762143205e-17	1
clec-137	6.002500587494041e-17	1
lgc-23	1.27163309329729e-16	1
lgc-24	1.2861027744269299e-16	1
try-8	3.05699120255717e-16	1
hnd-1	3.94609579465846e-16	1
fbxb-8	3.98374579057789e-16	1
T19C3.5	4.57424087882676e-16	1
F28A10.8	4.95293309859401e-16	1
D1014.5	5.5510444771857795e-16	1
F35G2.3	5.99668835696991e-16	1
clec-145	6.13406827713484e-16	1
nstp-3	6.65081270191511e-16	1
E02H4.4	6.90718471226451e-16	1
C29E4.10	9.0856083083958e-16	1
fbxb-103	1.0157960832239301e-15	1
T08D10.5	1.02505767031528e-15	1
H02F09.3	1.03191943143072e-15	1
srw-98	1.0581079748610801e-15	1
lgc-25	1.1043218393971e-15	1
Y37E11AR.7	1.1139990740871701e-15	1
dot-1.5	1.1428213221907402e-15	1
Y39A3CR.8	1.4326106523977602e-15	1
R02C2.1	1.4357001519412001e-15	1
mec-4	1.5139484650022802e-15	1
W08G11.1	1.6101383178851101e-15	1
clec-190	1.6645969463154702e-15	1
F54D12.9	1.68576195519628e-15	1
Y45F3A.8	1.7384739984973802e-15	1
F26D2.15	1.7556543273427602e-15	1
aptf-1	1.8232965277570903e-15	1
F16B12.1	1.8260180735698303e-15	1
col-135	1.84669893492983e-15	1
ZC116.3	1.88353171086474e-15	1
C25F6.6	1.8935936320578e-15	1
clec-99	1.92684027192825e-15	1
clec-138	1.98089138790325e-15	1
Y47D3A.34	2.0498354900857403e-15	1
clec-207	2.05495459748671e-15	1
fbxb-53	2.09677984375475e-15	1
oac-1	2.1023827494386903e-15	1
scl-17	2.14922601201057e-15	1
Y116A8A.2	2.19621505123546e-15	1
F28A10.1	2.20962172880142e-15	1
Y39F10A.3	2.24707162540832e-15	1
clec-129	2.2477636849381803e-15	1
srh-74	2.4390006024374002e-15	1
K11H12.6	2.7768570642211703e-15	1
aman-1	2.8184434615324604e-15	1
hhat-2	2.83400295411989e-15	1
srh-277	2.8678978714296403e-15	1
K01D12.5	3.05993695260341e-15	1
F54B11.7	3.09440415653512e-15	1
pqn-29	3.1558358121528404e-15	1
clec-219	3.3325208717262803e-15	1
M7.9	3.4266523005775402e-15	1
clec-223	3.53929743567658e-15	1
F46F5.10	3.553488399262811e-15	1
W09G12.6	3.7407431286543e-15	1
T26E3.6	3.7699594446925804e-15	1
Y17G7B.22	3.83181543180301e-15	1
T28A11.17	3.862805620201e-15	1
K08E7.5	3.9164339987376306e-15	1
clec-263	4.0257096096188206e-15	1
F16H11.1	4.03454355659473e-15	1
T13B5.9	4.0544121120663004e-15	1
Y66D12A.1	4.175631264514761e-15	1
C07B5.6	4.17803321576734e-15	1
Y71G12B.5	4.273246756565451e-15	1
C14C6.3	4.322963817025211e-15	1
C04F5.2	4.43364223662859e-15	1
bgnt-1.1	4.544295829679121e-15	1
F34D6.9	4.55476341383414e-15	1
btb-13	4.642487639878641e-15	1
F19C7.6	4.86411652706232e-15	1
lgc-51	4.916809005300821e-15	1
Y6B3B.3	5.17113662069119e-15	1
twk-10	5.40209987809234e-15	1
F43C11.2	5.508990206837481e-15	1
clec-109	5.658699197541791e-15	1
Y50E8A.6	5.821916214629091e-15	1
F49F1.2	6.29718594071403e-15	1
T28D9.16	6.349161505478901e-15	1
F40G9.14	6.493328663005481e-15	1
cutl-25	6.5379266826719e-15	1
F46B6.2	6.5879915930811105e-15	1
F22F7.11	6.59884787557159e-15	1
rom-3	6.67753756391132e-15	1
F32B5.2	6.703326495515441e-15	1
C27C7.7	6.920952203517871e-15	1
C06A1.6	6.927137550823371e-15	1
clec-106	7.261690023133771e-15	1
C55C2.4	7.389280376766821e-15	1
srx-134	7.6505824210859e-15	1
F08F3.8	7.674672386106981e-15	1
osm-8	7.84567532819442e-15	1
T11F9.1	8.046169509610031e-15	1
F58G1.8	8.15232259788688e-15	1
clec-21	8.362707093224201e-15	1
T04F8.9	8.57208698899654e-15	1
C27A7.9	9.26030387614416e-15	1
ZK1053.3	9.542266064113852e-15	1
Y62H9A.8	9.74243753471077e-15	1
H12I13.6	9.84560566104784e-15	1
lgc-53	1.0427760731624301e-14	1
srv-32	1.0459455450135601e-14	1
sre-45	1.08621923228065e-14	1
fbxc-40	1.11325111610748e-14	1
R01H2.2	1.12016385886189e-14	1
nlp-54	1.1317639353373901e-14	1
F41F3.9	1.1702431009170501e-14	1
fbxa-176	1.1776800786402401e-14	1
oac-48	1.1888099254121601e-14	1
Y116A8C.465	1.20924247129288e-14	1
sdz-28	1.2471248906199401e-14	1
F10G2.7	1.27069168409576e-14	1
F46F5.14	1.27806824020203e-14	1
R11A5.6	1.2782373704863301e-14	1
sre-22	1.2861247021384201e-14	1
