gene_short_name	scaled_TPM	group_number
cup-4	2.5999022204984702e-17	1
Y57G11C.23	2.1710453337689e-16	1
aman-1	5.47058184025561e-16	1
mec-10	8.218497781929959e-16	1
K02E7.11	8.951635429946719e-16	1
clec-145	1.2709513740304501e-15	1
lgc-28	2.371256669408e-15	1
clec-222	3.0982213967490804e-15	1
lgc-26	3.1492015790593702e-15	1
clec-178	3.9011458792071505e-15	1
C29E4.10	4.43660737753579e-15	1
scl-17	5.3549254389177606e-15	1
F28A10.1	5.37267894780829e-15	1
F07E5.8	6.165295351401781e-15	1
B0454.26	6.27574280721631e-15	1
dhhc-5	6.2818016294947805e-15	1
lron-5	6.32264144975508e-15	1
ZC116.3	6.330205407770351e-15	1
lgc-53	6.867609255950661e-15	1
rab-28	8.46446102824109e-15	1
Y39F10A.3	8.6248338185367e-15	1
C10C6.7	1.03760937917428e-14	1
C02G6.2	1.25602136969304e-14	1
srb-17	1.38944533241282e-14	1
zmp-2	1.4905660585578602e-14	1
E02H4.4	1.6760629649565702e-14	1
T04F8.9	1.8978864742879e-14	1
Y51A2B.9	1.93102545901303e-14	1
srh-74	2.19605350176011e-14	1
acr-14	2.48242855964809e-14	1
F46F5.14	2.54753523086386e-14	1
try-7	2.6620212039726e-14	1
Y116A8A.7	2.88478080965926e-14	1
C31H1.5	3.0011581379774e-14	1
Y17G7B.22	3.47763117146337e-14	1
F32B5.2	3.62235916338523e-14	1
ttr-12	3.79262971218306e-14	1
Y42H9AR.2	3.82232152827367e-14	1
acp-3	4.97729489963216e-14	1
acr-9	5.3525190012378996e-14	1
pqn-29	5.60682267333438e-14	1
C52B9.10	5.80785608980328e-14	1
F36G9.3	7.358628932215799e-14	1
C53C11.1	7.6419949454297e-14	1
fbxc-28	8.93872139095362e-14	1
T20B6.1	1.00950035008359e-13	1
ZK938.3	1.11496327819846e-13	1
F10D11.5	1.23314916651475e-13	1
C55C2.4	1.2957208468648998e-13	1
Y47H9B.2	1.46193852027886e-13	1
nep-8	1.47748848210758e-13	1
best-11	1.77798440000591e-13	1
Y105C5B.17	1.7920714732019e-13	1
M70.1	1.82576302983423e-13	1
srt-28	1.84043485750294e-13	1
col-40	1.95942826089166e-13	1
ttr-13	2.3955926365321e-13	1
F33C8.2	3.42446264027863e-13	1
irld-38	4.17491240470237e-13	1
