gene_short_name	scaled_TPM	group_number
ule-3	1.0626828655233301e-15	1
aman-1	1.4168331582204501e-15	1
W02D9.6	1.8596355556761603e-15	1
Y73F4A.1	2.15115602134133e-15	1
Y62H9A.4	2.70323840152558e-15	1
ttr-1	3.2384603550466e-15	1
clec-178	3.3747001821184404e-15	1
W02D9.7	4.2516359431588804e-15	1
Y69H2.3	4.8747381146364e-15	1
F38A5.22	6.087967060053671e-15	1
C31H1.5	6.13824108534654e-15	1
C04H5.7	8.22814632569569e-15	1
K07A1.6	8.275254662618131e-15	1
nas-20	8.86889076355121e-15	1
F40H6.1	9.026418857179421e-15	1
Y105C5B.17	1.02064962976178e-14	1
Y43F8C.5	1.07928652954221e-14	1
snf-9	1.1156823053385301e-14	1
W05B10.6	2.42331239101576e-14	1
ZK813.3	2.6252699466037602e-14	1
C28C12.11	2.99661563348646e-14	1
ttr-9	4.04592326867722e-14	1
Y105C5B.18	4.0937576375608e-14	1
D1086.17	6.26232005979306e-14	1
C15C8.5	1.16571415668154e-13	1
nlp-6	1.39526667987222e-13	1
ttr-12	1.49056451336391e-13	1
Y54G2A.15	3.8942293737077297e-13	1
F31E8.5	6.16540779742333e-13	1
T05B4.14	9.67281933248257e-13	1
F25H5.2	2.21091772448057e-12	1
K06B4.15	2.7106421136999897e-12	1
Y57G11B.5	3.1990716547741898e-12	1
ZK84.2	6.89935471561612e-12	1
C14F11.4	7.54208050549983e-12	1
nas-21	1.3419603095177098e-11	1
T08B6.9	1.58736703254557e-11	1
irld-18	1.8528739103317497e-11	1
abf-1	2.2347379510593397e-11	1
C08B6.3	2.9190215624089496e-11	1
Y22F5A.11	5.6382536471973696e-11	1
ZC373.2	6.6707258666799e-11	1
M02B1.4	1.47904210784332e-10	1
F55B11.3	3.69551152108197e-10	1
nlp-18	4.23220336123206e-10	1
D1054.10	4.34279739810276e-10	1
C04E6.13	4.46563333766318e-10	1
ZK1053.2	5.46441537734955e-10	1
clec-151	2.57416882764036e-09	1
Y47G6A.3	2.8387877758186404e-09	1
C09B9.2	5.709879323868291e-09	1
str-162	1.06793382620815e-08	1
sst-20	1.19329203385565e-08	1
F42A9.7	1.3576036861226e-08	1
R10D12.10	2.09347855766816e-08	1
ZK813.7	2.29608106065795e-08	1
W09D6.4	3.66530057195405e-08	1
Y37D8A.19	4.34714446161239e-08	1
glc-3	7.04448524495294e-08	1
nlp-17	7.88192202600475e-08	1
F17E9.4	2.03991225032699e-07	1
irld-4	5.31513957134821e-07	1
Y62H9A.5	6.24145192389713e-07	1
ZK622.5	6.66663155601355e-07	1
F57C2.4	7.99494364822459e-07	1
F36H2.4	9.1206519887395e-07	1
F53H4.2	1.46355059502323e-06	1
K10C9.1	1.74733293661802e-06	1
C53B7.3	2.37285505097564e-06	1
nlp-13	2.39944958278856e-06	1
ttr-14	2.71323649615796e-06	1
C06A12.3	3.60706498123096e-06	1
elo-7	5.82867283024728e-06	1
irld-14	6.51760057645909e-06	1
H29C22.1	1.33612925120895e-05	1
F16C3.4	3.67737261319432e-05	1
