gene_short_name	scaled_TPM	group_number
aman-1	3.16323917108902e-16	1
T19C3.5	1.0908843535814602e-15	1
lgc-26	1.0992478640899802e-15	1
D1086.6	1.3208740527967901e-15	1
C31H1.5	3.3704062621762505e-15	1
Y73F4A.1	3.4317738269107002e-15	1
F32E10.8	4.4498056943201e-15	1
ule-3	4.6282254072952404e-15	1
clec-178	5.6918057769873004e-15	1
ttr-1	5.947222838568631e-15	1
snf-9	6.7792004032052e-15	1
Y62H9A.4	7.5948034794586e-15	1
K02E7.11	7.95619539742923e-15	1
unc-122	1.04839689377656e-14	1
F38A5.22	1.25081670813591e-14	1
ZC317.7	1.72952777715846e-14	1
T02E1.7	2.15824541342859e-14	1
ZK813.3	2.31710551063974e-14	1
T05B11.4	3.9817976157926904e-14	1
mig-21	4.72151106443399e-14	1
Y105E8A.27	4.90567929137322e-14	1
hil-6	5.08346674182572e-14	1
ZK795.2	5.744511295297261e-14	1
F46F5.15	6.94538813538742e-14	1
F23F12.3	2.76365407058042e-13	1
nep-8	3.13775226948938e-13	1
lgc-23	4.25423689746937e-13	1
ssp-37	4.94541751684318e-13	1
H29C22.1	6.42675040612446e-13	1
Y62H9A.3	8.0513290456864e-13	1
T05B4.14	8.19065647603063e-13	1
spe-12	6.55356745087848e-12	1
ule-5	7.140092282429529e-12	1
F35C12.3	1.70186494326866e-11	1
sst-20	1.95026015375866e-11	1
M70.1	5.423139170116359e-11	1
Y62H9A.5	1.10272973335413e-10	1
W02D9.7	1.1347912121570501e-10	1
F19C7.5	1.41087850572348e-10	1
Y43F8C.5	1.55429508579671e-10	1
T08D10.5	1.6081909344232e-10	1
M02B1.4	1.7339375143391401e-10	1
D1054.10	3.06865473911333e-10	1
Y116F11B.8	3.87723519814119e-10	1
F55B11.3	4.33467262164642e-10	1
clec-119	1.41462358919184e-09	1
F46F5.16	1.4381841826482602e-09	1
Y105C5B.17	1.6077070403665401e-09	1
ttr-12	4.6997490082729105e-09	1
Y47H9B.2	1.232396792293e-08	1
K02F6.3	1.6846396291869e-08	1
W04E12.5	2.64144099251365e-08	1
C18H7.7	2.75098894646686e-08	1
ttr-9	4.46233164827777e-08	1
nkb-2	4.60764171429594e-08	1
his-45	5.68083732972276e-08	1
K08C9.2	8.59626026788727e-08	1
gly-15	9.10601505114786e-08	1
ZK813.7	1.3708646362603e-07	1
F57C2.4	1.42588437202886e-07	1
F36F12.7	2.2943320738312e-07	1
Y69H2.3	2.56439033586204e-07	1
T08B6.4	3.40977926663277e-07	1
wht-8	3.78925352276371e-07	1
ZC376.8	4.45915480246777e-07	1
nas-20	5.46383869064371e-07	1
C04H5.7	7.6001752298117e-07	1
Y95B8A.4	1.06831282332702e-06	1
ttr-14	1.13147442173827e-06	1
T15H9.5	1.42968398153194e-06	1
Y57G11C.23	1.74913038354629e-06	1
K07A1.6	2.08190699988285e-06	1
Y41C4A.7	3.42310064018441e-06	1
F33D11.2	4.10031077680155e-06	1
F32H2.12	6.13172344945869e-06	1
