gene_short_name	scaled_TPM	group_number
Y73F4A.1	5.98384431568295e-16	1
F55B11.3	7.25757210433654e-16	1
F54F7.3	1.35382321783824e-15	1
K07A1.6	1.7446053053443802e-15	1
Y62H9A.4	2.15040095989794e-15	1
H29C22.1	2.2782027918969704e-15	1
aman-1	2.9807508525044803e-15	1
F57C2.4	3.69559448636011e-15	1
ttr-1	3.87517151903653e-15	1
K02E7.11	6.572266507064231e-15	1
C31H1.5	8.140627146420161e-15	1
sst-20	9.70369383938394e-15	1
clec-178	1.3132654017150999e-14	1
D1086.17	1.41115723141414e-14	1
C54D10.4	1.46141331118634e-14	1
M162.7	1.6907730836372902e-14	1
Y57G11C.23	3.83129234697743e-14	1
nep-8	5.3614070503954605e-14	1
dma-1	6.45464003646533e-14	1
F53H4.2	9.50655296348375e-14	1
srv-32	1.41663814486567e-13	1
twk-10	1.42170889614008e-13	1
D1081.11	1.68107791669628e-13	1
ZK1225.5	2.14565351033321e-13	1
lgc-53	3.66398811638138e-13	1
Y57G11A.2	4.47522084960204e-13	1
ZK795.2	6.4552982541267e-13	1
C56E6.4	6.81069641461148e-13	1
srw-12	7.529547675980869e-13	1
Y51A2B.5	1.40447723702036e-12	1
K06B4.15	2.05237253168232e-12	1
M02B1.4	2.30871064371766e-12	1
F35E2.9	6.712398341183379e-12	1
F40H6.1	1.0009431815470799e-11	1
ZK84.2	1.2246248980288599e-11	1
ule-3	1.7906332441105198e-11	1
C46E10.1	2.11334988326492e-11	1
C48B4.7	2.6766792281579297e-11	1
C14F11.4	4.4301850929426896e-11	1
T08B6.4	2.0276624186944e-10	1
F56A11.4	2.51328903153438e-10	1
K08C9.2	5.47066522439642e-10	1
ZC373.2	6.82720994936376e-10	1
clec-153	1.11491851177531e-09	1
F55B11.2	1.21013638111204e-09	1
W02D9.7	1.5414087223131902e-09	1
tat-2	1.8502026733632702e-09	1
D1054.10	2.16994863795571e-09	1
R13H9.5	3.06847971733689e-09	1
clec-79	3.2611803405431102e-09	1
Y105E8A.27	6.156950944671471e-09	1
ZK1010.5	7.406797192874081e-09	1
elo-7	1.24942410896052e-08	1
Y57G11B.3	1.31898342369412e-08	1
clec-151	1.52552801354027e-08	1
C17F3.3	2.4932480031089e-08	1
W09D6.4	3.66487953321057e-08	1
F36A4.4	3.73282709769741e-08	1
C29E4.14	3.73655939349344e-08	1
Y105C5B.18	7.46562047181279e-08	1
ZK813.3	1.12882069412397e-07	1
ZK1053.2	1.52853600335229e-07	1
C26B2.2	3.99377708248799e-07	1
Y62H9A.5	5.52273392260585e-07	1
D1022.9	6.35553968817155e-07	1
W03G9.2	6.40220542042571e-07	1
mps-3	7.42470501050462e-07	1
ttr-9	7.71186902550938e-07	1
F17E9.4	7.72689408331504e-07	1
aexr-3	2.24967588631982e-06	1
ZK930.7	2.34283206549813e-06	1
Y43F8C.9	2.38704714746244e-06	1
F38H4.5	2.728440867881e-06	1
C04H5.7	3.68157269882132e-06	1
F31E8.5	3.69729310926838e-06	1
BE10.1	4.86479229108236e-06	1
ttr-14	4.96345863041713e-06	1
Y37D8A.19	5.28479238435102e-06	1
Y47D3A.13	5.39637338441764e-06	1
F37A4.4	5.77405025296369e-06	1
lgc-41	5.96228717104758e-06	1
scl-23	6.38321518483534e-06	1
F47G6.3	6.73761677971236e-06	1
cnp-2	9.27127746427678e-06	1
B0379.7	1.20973020736391e-05	1
T03F6.6	1.31547963729273e-05	1
dhhc-13	1.41888672350804e-05	1
Y41C4A.7	1.77340246473228e-05	1
C16C8.18	1.8999945558877e-05	1
F55D12.6	2.57556886665424e-05	1
snb-5	2.71064365277162e-05	1
Y1A5A.1	2.77286044560541e-05	1
C03C11.1	3.70984530961229e-05	1
catp-4	4.23246883523817e-05	1
ZK813.1	5.60823748737467e-05	1
F58G1.3	0.0001380177248849	1
Y47D9A.3	0.0001931909214612	1
ZK813.7	0.0002081786748217	1
ZC412.5	0.0002292032593078	1
ZK973.4	0.0002356942106876	1
ZK892.5	0.0003015125593462	1
F21C3.7	0.0003376244488229	1
F42A9.9	0.0004698349679722	1
T22C1.9	0.0006361129683684	1
C28C12.11	0.0006535260692019	1
K11D12.13	0.0007356980756546	1
C17H12.5	0.0008049415684385	1
Y79H2A.2	0.0009173530145744	1
pitr-3	0.0011921929053858	1
T04A6.3	0.0021737417891094	1
ule-5	0.0027338559351303	1
F33D11.7	0.0028117819206567	1
W03D8.3	0.0037257134239076	1
C02G6.2	0.0041351131625424	1
M28.4	0.0043067250932027	1
irld-3	0.0043264383296142	1
Y54G2A.15	0.0056216651363049	1
C24H12.6	0.0065245706004573	1
F36A4.3	0.0089225240122681	1
Y47G6A.3	0.0098805854434049	1
B0496.2	0.010322065012831	1
B0252.5	0.0106704794666879	1
fis-1	0.0112066324827992	1
Y57G11C.40	0.0142911463157905	1
B0218.5	0.014947155237539	1
ZK856.18	0.0153137566037608	1
dct-9	0.0179612627446662	1
B0207.9	0.0205549805734759	1
otpl-8	0.0267198738274134	1
Y73F8A.12	0.0270451676229141	1
T16A9.5	0.0298853437532271	1
H38K22.7	0.0335312675513643	1
D2062.4	0.0350583965891413	1
F59C6.3	0.0395049838127589	1
clec-73	0.0459696622245876	1
F54C8.1	0.0497253287747399	1
C18H7.4	0.0575748936211332	1
T13F3.8	0.0623876374840553	1
F32D8.2	0.0638698864864086	1
icmt-1	0.0711311268902159	1
cwn-2	0.0771872339179228	1
Y39B6A.30	0.0793982453374849	1
K08D8.6	0.0908136623731521	1
F35C11.3	0.0971444504593667	1
dmd-4	0.0974513305361518	1
C02B8.3	0.0998066559895707	1
F48A9.1	0.10094694452383	1
B0041.1	0.102259545867117	1
F41C3.8	0.104994707125718	1
nlp-43	0.109800225589678	1
Y39G8C.2	0.113693980710044	1
F28A10.3	0.116339391557839	1
B0244.9	0.117764495951465	1
F35H8.1	0.118270744547377	1
T10E9.4	0.119544113976499	1
R08C7.8	0.123416900990932	1
C09D4.2	0.128629882448016	1
K09G1.2	0.135669727305711	1
C18H7.7	0.145372233103675	1
D1086.18	0.146361669159499	1
F22B5.6	0.148098671019888	1
abu-10	0.156157834160395	1
Y38F1A.7	0.157712863685125	1
C05B5.2	0.162535272490949	1
K09F6.3	0.162644962009996	1
W03D8.9	0.163025692748515	1
ZK250.14	0.16342582798116	1
C12D8.9	0.167238104185349	1
ZC376.8	0.168852563853515	1
ZC581.7	0.171796152128372	1
Y38H8A.4	0.172858083546718	1
ZC513.3	0.174098946232646	1
Y39G10AR.16	0.18786211376378	1
F16H6.9	0.190522313740201	1
R07B1.9	0.191817431323529	1
flp-34	0.19451964352157	1
D1081.12	0.20124937749976	1
ttr-52	0.204077007104707	1
nspb-4	0.204526709852979	1
Y57G11C.52	0.209891044785074	1
ins-25	0.21051894159942	1
Y51H7C.9	0.215420885702429	1
R08A2.2	0.224639590478297	1
R04B3.2	0.225021479365539	1
C33C12.7	0.227307815482773	1
mei-2	0.227871085688912	1
W07E6.3	0.230625785555522	1
pqn-36	0.234410123408483	1
C27D8.2	0.238008825962332	1
C36E6.8	0.238245730543313	1
Y69E1A.1	0.240845987952039	1
C09F9.1	0.246893924176824	1
C35B1.7	0.249916370845045	1
T02E1.8	0.261481941712257	1
F13D12.9	0.265195891544544	1
F42A9.7	0.267484443564617	1
B0205.10	0.273632196961006	1
H06I04.5	0.276367926515762	1
C36H8.1	0.27931085539051	1
F36G9.15	0.290420862301882	1
M01A8.1	0.293714769476344	1
F55F8.7	0.297413576889477	1
clec-117	0.297514318521403	1
M70.3	0.299290907679429	1
R07B1.11	0.303533504341286	1
F41H10.1	0.305679905691742	1
hmg-20	0.31211806820974	1
R07C3.13	0.318488462109894	1
K11C4.1	0.319501412922062	1
mod-1	0.320039369662193	1
B0432.11	0.321994626566123	1
ZK662.6	0.322491854732936	1
T01C1.4	0.326076314163006	1
F58A3.4	0.326569256814168	1
Y116A8C.40	0.332174302706332	1
H38K22.6	0.336894062492647	1
T05D4.5	0.344182747938725	1
wht-4	0.345251816768281	1
F56B3.6	0.347039385285951	1
Y110A2AL.3	0.348122396346243	1
nlg-1	0.35039897215572	1
T07F12.4	0.352608789266605	1
F54D1.6	0.357962917172212	1
cyp-34A6	0.358532963844212	1
srv-15	0.358994885484651	1
kel-10	0.363766119012513	1
decr-1.3	0.364022177423229	1
H41C03.3	0.371926805722651	1
ZC581.2	0.379649587736743	1
hex-5	0.38137711899517	1
F52F12.9	0.382186202543277	1
R09E10.1	0.385759774795074	1
R08A2.1	0.386072148918824	1
C04F12.16	0.389564755151111	1
F47B3.7	0.394464846401149	1
C35E7.9	0.397302175626198	1
K10D6.3	0.400417091274022	1
C47A4.5	0.401763281742606	1
F21H7.2	0.407769504304627	1
php-3	0.409724183361023	1
T16G1.13	0.412294483406581	1
F59A6.2	0.412730012094764	1
ent-3	0.41318816567149	1
F10G7.12	0.413440350770302	1
nlp-4	0.419550142727008	1
C05B5.12	0.420963525570205	1
C48B6.4	0.424928135819675	1
elo-4	0.427548510546869	1
ZK792.4	0.429124878316415	1
F13A7.7	0.432901194792067	1
srb-16	0.438873772572436	1
W03C9.8	0.439344335221506	1
F44F1.3	0.440553362470981	1
T11F8.4	0.440599653442595	1
hdl-2	0.440697616904366	1
F56C9.8	0.442468882916879	1
ZK616.61	0.442968678374523	1
nlp-12	0.451518065716309	1
nhr-7	0.465216223306363	1
Y37H2A.13	0.466932643658981	1
F41E7.7	0.466978796786863	1
pph-2	0.467439488451636	1
ins-4	0.47023407521759	1
Y41C4A.11	0.474612331764871	1
R05D7.2	0.476228958484275	1
F27C8.5	0.47732876137846	1
mom-2	0.48093931804991	1
C25E10.17	0.483936786032214	1
C01F6.2	0.484690891501396	1
R74.10	0.485084741782926	1
R11F4.2	0.491187313653397	1
C33D9.13	0.499218733389573	1
F58B4.6	0.502960254448498	1
kmo-2	0.503915137754381	1
F35H8.4	0.508852521657123	1
strm-1	0.515979509826094	1
mpst-4	0.517924527924606	1
C56G2.5	0.519850971677787	1
nspb-10	0.524066226627154	1
C54E4.4	0.527649439195132	1
T02H6.7	0.534662340532216	1
K06A4.6	0.534885667716007	1
F16F9.1	0.538771721353962	1
C25H3.1	0.543676343171244	1
gnrr-5	0.552429945147748	1
Y44A6D.5	0.55384626252502	1
Y119C1B.1	0.555280254118956	1
F36A2.14	0.559639885642572	1
T24C4.3	0.563272645251573	1
F56D6.13	0.563366645779281	1
Y75B7AL.2	0.567552171944787	1
Y50D4B.1	0.568066294405446	1
T08G11.2	0.569012220160555	1
C06C6.8	0.570511689490175	1
F44G3.7	0.57822056681167	1
C02F5.5	0.580393920176395	1
C50F4.10	0.580986555675167	1
C17H12.12	0.586034419636704	1
acp-7	0.588803339986146	1
ZC250.5	0.591606075281321	1
R07E3.2	0.60012385446899	1
wht-6	0.604802606108789	1
B0207.7	0.606419805319288	1
W09C3.7	0.608676570193382	1
let-522	0.609814823182047	1
F41G4.8	0.611217500208396	1
C34F11.5	0.613029445417081	1
W06F12.3	0.616437107608262	1
F44F4.9	0.621928895681889	1
F56F4.3	0.625847096272232	1
F36H12.5	0.625943779463888	1
ZK354.3	0.633077017838833	1
nep-4	0.638139940424307	1
lag-2	0.645570674420751	1
hecw-1	0.646009568930756	1
C39H7.1	0.649641426131717	1
Y53F4B.36	0.651519217878236	1
srt-19	0.651977128235075	1
ocr-2	0.652075941915656	1
ZK512.11	0.652205006536556	1
F53C11.9	0.652897207254477	1
Y47H10A.4	0.653340679664619	1
gei-15	0.653970835124779	1
C09H5.7	0.655054906075245	1
gly-2	0.660354381990027	1
D1086.5	0.663077231323348	1
F14F7.4	0.663382533675452	1
bgal-1	0.664046616192466	1
C35A5.6	0.665800389437183	1
aman-3	0.667764987414646	1
zig-7	0.66779219439437	1
clec-264	0.667870065371366	1
W03G9.9	0.669565009804033	1
K08C7.6	0.670991098669173	1
EGAP4.1	0.671119430028045	1
eat-4	0.671294456862712	1
F23B12.1	0.672397666112516	1
tiar-3	0.672959497405201	1
srsx-17	0.675021025056141	1
marc-1	0.675185730207638	1
aqp-6	0.676410629495193	1
acs-16	0.676707428680312	1
R05D7.7	0.678344648561108	1
T26C12.3	0.678455530876591	1
Y41C4A.18	0.678968942190961	1
H01M10.1	0.679229136295702	1
Y43F8B.11	0.679532888261731	1
sup-12	0.680500016314761	1
nekl-1	0.680866445421883	1
F37C12.18	0.681338476139641	1
F34H10.4	0.68254887208675	1
R186.1	0.682708283732582	1
irld-13	0.682731118007155	1
C11E4.6	0.682776791588009	1
che-13	0.68299629024848	1
dmd-10	0.683435464229967	1
grd-13	0.684132577156672	1
npr-23	0.684692660855396	1
dmsr-2	0.684917254595765	1
F13D12.10	0.685241287859086	1
F45E1.5	0.686236778192637	1
pcrg-1	0.686570100547816	1
F09C12.8	0.686618184970027	1
B0280.2	0.68665041483092	1
F35B3.7	0.687792218909547	1
ZK563.7	0.687889236585718	1
CD4.1	0.688126506438575	1
prkl-1	0.688435895355504	1
lect-2	0.688507627490103	1
ceh-48	0.68896686107597	1
B0034.2	0.689489586585987	1
oig-4	0.690213839512437	1
F49E2.1	0.690709461896274	1
F27C1.11	0.690735680848132	1
nep-2	0.690880331353167	1
abt-2	0.690943363815275	1
mbl-1	0.690982574144779	1
nhr-76	0.69107410640256	1
F10D2.10	0.691202032198801	1
lev-8	0.691705934055475	1
Y71F9AR.2	0.692099540593281	1
lact-7	0.692216586208726	1
C07A4.2	0.692326222691046	1
F46C5.6	0.692488968787877	1
K07E3.4	0.692688312303648	1
B0207.2	0.692946131946534	1
vps-45	0.693281188841772	1
R11G1.2	0.693285443931741	1
Y2H9A.6	0.69329129934714	1
moc-1	0.693420674875821	1
H23L24.4	0.693506853722596	1
C09B9.4	0.693648713620558	1
acp-1	0.693673383574319	1
clec-170	0.693771513033574	1
sgca-1	0.693816402481992	1
ceh-13	0.693922992857181	1
unc-55	0.69399614323701	1
