gene_short_name	scaled_TPM	group_number
ZC116.3	2.7647843694819297e-16	1
aman-1	3.09377069190491e-16	1
Y49E10.29	4.2195497094262397e-16	1
lgc-26	5.3337481003451005e-16	1
lgc-23	9.47447282664879e-16	1
mec-10	9.82609029155029e-16	1
cof-2	1.01897928566204e-15	1
T05B11.4	1.1578185132657301e-15	1
cup-4	1.27764559383475e-15	1
clec-178	1.40278792929994e-15	1
F28A10.1	1.4560893476500602e-15	1
F56C4.4	1.5258841885400601e-15	1
dyf-7	1.5538947542848601e-15	1
clec-222	1.5999062746959802e-15	1
Y73F4A.1	1.6401957910662302e-15	1
mtd-1	1.7311045311661502e-15	1
lgc-28	1.81584085910114e-15	1
clec-190	1.9885695297896e-15	1
E02H4.4	2.0231384424287503e-15	1
chhy-1	2.18422263477825e-15	1
K02E7.11	2.3142917539736104e-15	1
Y116A8C.3	2.48241031434667e-15	1
W03G11.2	2.7238344321190503e-15	1
oac-9	2.9737321266060304e-15	1
F32E10.8	2.9812491347300903e-15	1
Y51A2B.6	3.3765083376538204e-15	1
ttr-1	3.48464709269404e-15	1
B0393.7	3.55721193328676e-15	1
mec-4	3.70840144731783e-15	1
F58B4.6	3.74587356198417e-15	1
Y62H9A.3	4.193643212971541e-15	1
T20B6.2	4.3223176634379e-15	1
unc-122	4.6798436573728306e-15	1
F01G12.18	6.527131900498081e-15	1
srw-12	7.13480242892958e-15	1
D1086.6	7.63045337384437e-15	1
ZK1251.3	7.722603996120291e-15	1
T08D10.5	8.045760567482611e-15	1
fut-4	8.30415082429939e-15	1
W02D9.6	8.88538606461827e-15	1
T16A1.2	9.106662615780851e-15	1
ZK795.2	9.500567544449972e-15	1
spe-12	1.13829412038588e-14	1
F19C7.6	1.2222757839121601e-14	1
F38A5.22	1.2599922334719999e-14	1
cdr-3	1.29817513362335e-14	1
F15D4.6	1.64984055333364e-14	1
alh-2	1.72455134055694e-14	1
twk-10	1.82811901280892e-14	1
F26B1.1	1.8389648019970902e-14	1
Y57G11C.23	1.90930071746006e-14	1
R01H2.2	2.02168478035858e-14	1
F39B3.3	2.11647972305607e-14	1
ZC190.7	2.33449303440027e-14	1
F11C1.10	2.34876310700271e-14	1
AH9.4	2.5853934271813602e-14	1
