gene_short_name	scaled_TPM	group_number
K11H12.6	7.871147345419991e-17	1
best-8	9.87468259684759e-17	1
C55C2.4	1.12449140001564e-16	1
C18D11.7	1.31537766096954e-16	1
F59A1.13	1.50561135910179e-16	1
ZK262.19	1.7737405044096299e-16	1
npr-35	1.87408969396056e-16	1
F33E2.5	1.9825595703361e-16	1
fbxa-201	2.07242973470481e-16	1
twk-6	2.31508766704416e-16	1
F46F5.14	2.37263688898805e-16	1
lgc-13	2.40795040996225e-16	1
F53F4.2	2.4794642833277e-16	1
T13B5.9	2.50037780313639e-16	1
col-110	2.54813750267178e-16	1
nac-1	2.69967458586162e-16	1
Y43F4A.4	3.27310273357725e-16	1
M151.4	3.79817801344416e-16	1
Y6B3B.3	3.8127260454486005e-16	1
tbx-33	3.91845152310329e-16	1
hlh-6	3.93683259886101e-16	1
ZK177.2	3.9496811426077297e-16	1
B0261.9	3.95424313484975e-16	1
lin-31	4.14803775820474e-16	1
his-8	4.19230295441036e-16	1
alh-2	4.45224349652246e-16	1
K01G12.3	4.50315674269526e-16	1
K01A6.7	4.59838862070888e-16	1
Y59H11AR.10	4.69987800373642e-16	1
C08D8.1	4.75038121128208e-16	1
oac-23	4.75882046548775e-16	1
T05E12.8	5.02959800289057e-16	1
C35A11.2	5.17723655804278e-16	1
Y39A1A.18	5.19710005542619e-16	1
scl-17	5.26418720221865e-16	1
F07G11.4	5.44603846303499e-16	1
ZK563.2	5.55432640870876e-16	1
B0416.10	5.59014169303058e-16	1
C23H4.8	5.75390198982501e-16	1
T27A3.8	5.867174268968901e-16	1
T05B11.4	6.0745986271974e-16	1
C09B9.85	6.11867277399161e-16	1
F27D9.7	6.21301534010693e-16	1
F46F5.15	6.41435544937929e-16	1
F58E1.13	6.50662546409857e-16	1
Y27F2A.6	6.585668943129401e-16	1
chil-8	6.60758425946996e-16	1
Y18D10A.23	6.8062073962624e-16	1
F36H2.4	7.17089284204511e-16	1
nep-3	7.177574745091001e-16	1
C50H2.7	7.20096995387892e-16	1
Y53F4B.1	7.33632040976253e-16	1
F44F4.3	7.69123299527111e-16	1
K09C8.9	7.75767849502136e-16	1
Y55F3AM.21	8.07940997507735e-16	1
K08H10.10	8.265741210767501e-16	1
gad-2	8.30956136704878e-16	1
grl-8	8.50070299988404e-16	1
ZK945.8	8.70480102809556e-16	1
C53C11.1	8.74104804532931e-16	1
kvs-4	8.77586969049354e-16	1
C15H11.10	8.78325766028234e-16	1
F46F5.11	8.95024459477443e-16	1
ZK1037.6	9.00346784952975e-16	1
R02D5.1	9.018856440056601e-16	1
Y75D11A.3	9.13772423934863e-16	1
T26H10.2	9.22465926332414e-16	1
F08F1.9	9.32641223596575e-16	1
Y71G12B.33	9.51476862585817e-16	1
cyd-1	9.83356134917348e-16	1
Y119C1B.11	9.84828292528283e-16	1
C27A7.3	1.00682464372263e-15	1
tab-1	1.0076100246256701e-15	1
F28A10.1	1.00859026768613e-15	1
unc-93	1.0157382328472701e-15	1
Y116A8A.4	1.0201946976785e-15	1
clec-95	1.04513010840885e-15	1
C38C3.6	1.06366517875346e-15	1
R52.6	1.1179099380039e-15	1
bed-3	1.12505880423611e-15	1
W06D11.2	1.14709668832871e-15	1
Y34F4.3	1.1551645687164801e-15	1
R05G9.3	1.1793500674518701e-15	1
C14C11.2	1.1827966996620102e-15	1
W05H7.2	1.19495495368645e-15	1
Y116A8C.37	1.22081396924354e-15	1
C50F4.9	1.221935881244e-15	1
Y57G11C.44	1.2339344377122402e-15	1
B0334.10	1.2453925230132201e-15	1
D2062.5	1.2470988763519501e-15	1
F49C5.4	1.2762935276617601e-15	1
K02F6.4	1.29302997396131e-15	1
Y9D1A.2	1.29761307869051e-15	1
F19C7.5	1.33137654349696e-15	1
K03B8.4	1.3533399501003001e-15	1
bgnt-1.6	1.3731682634284602e-15	1
grl-3	1.3794544906227102e-15	1
C56E6.4	1.3843825822863001e-15	1
C17B7.8	1.39457180961982e-15	1
H14A12.5	1.41496132274711e-15	1
Y113G7A.13	1.4192474062620601e-15	1
let-4	1.42203632497065e-15	1
F40D4.17	1.4234819951527801e-15	1
daf-6	1.4323587907705e-15	1
ZC168.2	1.4382884564777e-15	1
K09H11.9	1.4679212886243202e-15	1
T28F12.1	1.4868396731453602e-15	1
ceh-17	1.50439297955568e-15	1
Y51A2B.9	1.51395789028697e-15	1
Y69A2AR.46	1.51406284246238e-15	1
mlt-4	1.5286264653482902e-15	1
his-66	1.5550283417447902e-15	1
