gene_short_name	scaled_TPM	group_number
T19C3.5	3.4111084419308003e-16	1
aman-1	3.8925174772386003e-16	1
lgc-26	1.89883355765513e-15	1
cup-4	2.4978075333321003e-15	1
Y73F4A.1	3.26267140184825e-15	1
Y39F10A.3	4.338222141395381e-15	1
Y51H4A.22	4.6828228796534e-15	1
Y116A8C.3	5.1159417760657106e-15	1
clec-222	5.2846970069275104e-15	1
F55B11.3	5.37178012649763e-15	1
lgc-25	5.4497199764987305e-15	1
clec-178	5.8252821728537e-15	1
Y62H9A.4	6.1529711191054e-15	1
ttr-1	9.34527826297843e-15	1
ZK1225.5	1.1218025533190801e-14	1
C31H1.5	1.12641900240304e-14	1
cof-2	1.5661970223395202e-14	1
F59A1.13	2.20601415748423e-14	1
clec-190	2.5284525634298902e-14	1
nep-8	2.60555951937899e-14	1
T05B11.4	2.76443179722195e-14	1
K07A1.6	3.35720490725342e-14	1
C33C12.12	3.51106936274786e-14	1
bgnt-1.4	3.55766977062817e-14	1
F38A5.22	3.6426001531917104e-14	1
srg-42	4.31663712349027e-14	1
snf-9	4.40537786325438e-14	1
F15D4.4	6.496984727972841e-14	1
H04M03.11	6.89539200931752e-14	1
ZK813.3	7.10337659268509e-14	1
Y116F11B.8	8.297459756977121e-14	1
Y105E8A.27	9.13011479336042e-14	1
Y116A8A.6	9.68392159114627e-14	1
Y50E8A.6	1.6396089158381199e-13	1
his-55	1.95373380199498e-13	1
T05B4.14	3.18116402262319e-13	1
F21D9.1	4.27904377830534e-13	1
K12D12.4	6.75063867697879e-13	1
Y62H9A.3	6.92502949495954e-13	1
H29C22.1	1.10156701562967e-12	1
C54D10.4	2.23118288645464e-12	1
spe-12	2.52241135682697e-12	1
ule-3	4.42466067669834e-12	1
ule-5	5.477636057853749e-12	1
F35C12.3	1.53080694515884e-11	1
K11H12.6	2.0895016650642397e-11	1
F26B1.1	3.60052041199613e-11	1
M02B1.4	6.42817930184919e-11	1
F01G12.18	7.01707834016693e-11	1
Y46B2A.3	7.560001592159239e-11	1
W02D9.7	2.04105793945647e-10	1
peel-1	2.70943299041874e-10	1
D1054.10	3.45279614909195e-10	1
clec-119	3.56829715580856e-10	1
clec-151	7.09047217476438e-10	1
ZK1010.5	8.380571162930401e-10	1
oac-27	9.17357434021098e-10	1
T19H5.7	9.19128463790878e-10	1
H20J04.1	9.50738326181209e-10	1
Y105C5B.17	1.3647371019717102e-09	1
ttr-12	1.80248450777263e-09	1
ZC190.7	2.12577430899009e-09	1
F07C4.6	2.8565136458250602e-09	1
Y57G11B.3	4.96216582725809e-09	1
ZK892.3	6.0952327832252e-09	1
K02F6.3	6.810031170634121e-09	1
F13A7.7	7.89489986123806e-09	1
Y47H9B.2	8.32607572058902e-09	1
F07E5.8	1.22122257453643e-08	1
ttr-9	1.225754367158e-08	1
C18H7.7	1.87796212386363e-08	1
K08C9.2	1.98461274974374e-08	1
ttbk-2	2.72809097858327e-08	1
ssp-37	3.94044138103235e-08	1
ZC190.8	4.98523804680774e-08	1
Y62H9A.5	6.91371316199351e-08	1
R03G8.6	8.6922330825986e-08	1
F17E9.4	1.00240322697841e-07	1
irld-6	1.14171445723141e-07	1
ZK813.7	1.31622082914058e-07	1
ttr-14	1.99918007273378e-07	1
nep-13	2.17747939718773e-07	1
Y57G11C.23	2.38574001711649e-07	1
F42G4.6	3.03426398615968e-07	1
W10D9.1	6.01551020500013e-07	1
F57C2.4	6.19773958470987e-07	1
sst-20	7.15403297535742e-07	1
Y37D8A.19	8.11063294833696e-07	1
Y43F8C.5	8.35463906574605e-07	1
C04C3.9	1.08946944803136e-06	1
wht-8	1.38667307991783e-06	1
T08B6.4	1.56667904091597e-06	1
C04H5.7	1.66156442114231e-06	1
math-48	1.94633558265582e-06	1
snpc-3.3	2.30322416436522e-06	1
F54F7.3	2.71249618376018e-06	1
C14F11.4	5.28289909884805e-06	1
C27D6.1	6.11271143134395e-06	1
D1086.6	7.38681170274565e-06	1
ZK795.2	7.41944094529701e-06	1
W09C3.2	8.03873981317273e-06	1
exc-6	9.53218823988901e-06	1
Y105C5B.18	1.20275203873246e-05	1
ZC373.2	1.73225692104111e-05	1
clec-175	2.21534794253683e-05	1
W02D9.6	2.72696615023984e-05	1
T15H9.4	2.9439831852936e-05	1
C28C12.11	3.05851943689047e-05	1
best-6	3.67001836654856e-05	1
pqn-75	4.51355385725276e-05	1
nkb-2	4.66615759091828e-05	1
ZK813.1	5.29180506828699e-05	1
spe-19	5.65240917057969e-05	1
irld-3	9.18440535853032e-05	1
F22E12.1	0.0001538392062773	1
Y50E8A.2	0.0001877254904632	1
F55B11.2	0.0002848797726368	1
Y116A8C.33	0.0003161158500639	1
nep-20	0.0003351483451541	1
F49H6.13	0.0004991489612634	1
ZK84.2	0.0005740598297574	1
C01G12.16	0.0006702842673582	1
ttr-42	0.0011767931307449	1
irld-14	0.0017522171123247	1
eat-2	0.001924241864897	1
jmjd-1.1	0.0024432414143056	1
D1086.17	0.002452793750304	1
Y57G7A.6	0.0025009384632618	1
M162.7	0.0025304428414312	1
EEED8.4	0.0026747917045862	1
lam-1	0.0033749679004171	1
F22F7.11	0.0037402701097538	1
oac-9	0.0039042131619903	1
mig-21	0.0042866884017366	1
pqn-88	0.0077814710859379	1
Y54G2A.15	0.0078661133060183	1
M28.9	0.0089051078681409	1
Y43F8C.9	0.0129564873883312	1
ZK973.4	0.0130489403425728	1
dhhc-13	0.0133487793082013	1
F38A5.8	0.0147171771934003	1
F59A1.15	0.0147782801174888	1
K07H8.5	0.0153560373160837	1
ttr-58	0.0164538157556947	1
T16G12.3	0.0172047412970972	1
F14F7.4	0.0178288801936215	1
clec-153	0.0190036142285429	1
chil-14	0.0196101601336698	1
irld-18	0.0217420091885938	1
Y38F2AL.12	0.0223547548346842	1
K12H6.2	0.0233499928617445	1
T02E1.7	0.0251055601050464	1
R01H2.2	0.0285992651324629	1
D1086.11	0.031101505814641	1
C40C9.3	0.0320472393198838	1
Y113G7C.1	0.0323652616932303	1
Y116A8C.469	0.0391131412547988	1
Y37H2A.7	0.0416034616227934	1
ztf-28	0.0417625716843278	1
Y54F10BM.12	0.0422282111441055	1
H34I24.1	0.0424426035435204	1
R11A8.1	0.0434776362419577	1
