gene_short_name	scaled_TPM	group_number
Y49E10.29	1.25530305023097e-16	1
T19C3.5	2.21993267866743e-16	1
T13B5.9	2.80953831773849e-16	1
aman-1	3.0532234305771097e-16	1
clec-145	5.9865512017168e-16	1
lgc-26	6.14973543642559e-16	1
F32E10.8	9.337736926450809e-16	1
clec-223	1.7259796661732702e-15	1
lgc-28	2.13350231490309e-15	1
cup-4	2.27717784271158e-15	1
Y73F4A.1	2.46936967010621e-15	1
K02E7.11	3.0741814059984904e-15	1
Y32G9A.3	3.33814732757549e-15	1
plep-1	4.1169588548170805e-15	1
ZC317.7	4.340382652314131e-15	1
clec-190	5.1076245596330605e-15	1
Y116A8C.3	5.3977176564703406e-15	1
F54F7.9	6.256443231865451e-15	1
lgc-24	7.34165592762719e-15	1
Y37H2A.10	7.57193686581132e-15	1
F59A1.13	7.736972550640051e-15	1
Y95B8A.4	9.77317413460176e-15	1
D1086.6	1.0018963817155601e-14	1
his-16	1.0634393619641e-14	1
Y51H4A.22	1.1139557988829401e-14	1
ttr-1	1.3169641820714901e-14	1
nep-8	1.65907476316708e-14	1
ZK262.3	1.82095492613465e-14	1
C31H1.5	1.95457801029292e-14	1
Y51A2B.6	2.0080819386008102e-14	1
phy-4	2.0650369748039602e-14	1
C50E3.12	2.1652719129510602e-14	1
oac-9	2.30130034389855e-14	1
Y51A2B.4	2.30168394962677e-14	1
his-65	2.35106772551657e-14	1
otpl-7	2.55919944397165e-14	1
F38A5.22	2.73540017180906e-14	1
clec-222	3.01292499139014e-14	1
F21D9.1	4.04400625150153e-14	1
C18D11.10	4.23090595344783e-14	1
wrt-7	5.68369179943744e-14	1
ZC190.7	1.0137997802265199e-13	1
irld-7	1.57548676958191e-13	1
C09B9.85	1.92766508347964e-13	1
nep-10	3.36012319899294e-13	1
Y53F4B.10	3.82909054150455e-13	1
Y62H9A.4	3.90400693689284e-13	1
ZK1037.6	5.968068326487599e-13	1
H29C22.1	6.32596676084454e-13	1
Y105C5B.14	7.01294146603605e-13	1
phat-4	9.57267876700443e-13	1
Y62H9A.3	1.66943033292033e-12	1
C54D10.4	1.6911491877348299e-12	1
ule-3	2.5538332917190898e-12	1
D1081.11	2.88732463691565e-12	1
spe-12	4.527888720438499e-12	1
M70.1	9.98023589858638e-12	1
K12D12.4	2.40947446499283e-11	1
C49C3.11	4.5825119252350495e-11	1
F19C7.5	5.6521798942177096e-11	1
F55B11.3	1.51859392886111e-10	1
W02D9.7	1.86996358641771e-10	1
ZK783.6	1.9964675775292002e-10	1
clec-33	2.36024423396388e-10	1
D1054.10	2.49442439124548e-10	1
pitr-5	2.79327465349763e-10	1
clec-151	3.71095838199436e-10	1
ttr-13	6.69129314141903e-10	1
C29E4.10	1.30573100539307e-09	1
clec-119	2.3241498664457304e-09	1
K02F6.3	2.58221829748276e-09	1
H20J04.1	2.6171542396128903e-09	1
F13A7.7	2.62134342157804e-09	1
Y105C5B.17	3.1938142706807803e-09	1
ttr-12	4.486096407981321e-09	1
irld-6	5.29172857215846e-09	1
nep-13	6.30968060667102e-09	1
T19H5.7	8.46333558093174e-09	1
Y47H9B.2	9.121657312015342e-09	1
Y57G11B.3	1.0792982702784e-08	1
ssp-37	1.42898081691682e-08	1
F01G12.18	1.91048672293278e-08	1
F07E5.8	2.46977403559307e-08	1
nkb-2	2.61908876854832e-08	1
F56F4.3	2.63234272674418e-08	1
C55C3.8	3.39322329501239e-08	1
ZK813.3	3.88949949538662e-08	1
ZK1225.5	5.02978294576808e-08	1
ttr-9	5.19934992121904e-08	1
nep-23	5.69950381362979e-08	1
W01B6.8	6.7589035046355e-08	1
Y69H2.3	6.96837778211163e-08	1
fbxa-220	7.45188401699756e-08	1
F17E9.4	7.68295908290663e-08	1
M02B1.4	9.87309207055876e-08	1
ZK856.5	1.38741560285072e-07	1
Y43F8C.5	1.86155837866238e-07	1
Y57G11C.23	2.33839192035275e-07	1
Y62H9A.5	2.3495918963405e-07	1
Y105E8A.27	2.3978298989315e-07	1
clec-178	3.30903105241854e-07	1
F57C2.4	3.52116999364317e-07	1
ttr-14	3.74509534022608e-07	1
nas-20	3.96657128796725e-07	1
Y37D8A.19	4.69913581498768e-07	1
snf-9	4.85927706315502e-07	1
sst-20	7.16881284692452e-07	1
F40D4.17	1.11167305890965e-06	1
C04H5.7	1.13169114956393e-06	1
F56C4.4	1.26101611653651e-06	1
K07A1.6	1.64269874508391e-06	1
ZK813.7	2.40020425588572e-06	1
math-48	2.82569322179206e-06	1
T08B6.4	3.3538463144622e-06	1
F41G3.19	3.58416069755201e-06	1
Y73B6BL.289	5.39432832973126e-06	1
C14F11.4	8.54978839500272e-06	1
fbxa-224	1.07543242782977e-05	1
K08C9.2	1.24203032960021e-05	1
ZK795.2	1.45756368993566e-05	1
ZC373.2	1.69304761495157e-05	1
W02D9.6	1.78805373496632e-05	1
ZK39.10	2.08941027939517e-05	1
