gene_short_name	scaled_TPM	group_number
Y73F4A.1	2.1110417768846303e-15	1
Y62H9A.4	1.78715850504814e-14	1
F17E9.4	2.45506210163692e-14	1
C31H1.5	4.56190927254536e-14	1
F55B11.3	5.70372500602185e-14	1
ttr-1	7.1670335174941e-14	1
W02D9.7	9.7902969416353e-14	1
K07A1.6	9.912302102049181e-14	1
ZK813.3	1.92246917445825e-13	1
T05B11.4	8.12472326131295e-13	1
H29C22.1	1.9063016048511e-12	1
ZC190.7	1.9282977531682e-12	1
ule-3	9.068633901807169e-12	1
clec-123	5.12829825369528e-11	1
D1081.11	8.891324607279379e-11	1
H34I24.1	2.21115637453576e-10	1
D1054.10	8.91748340727015e-10	1
ZC373.2	1.2334014953867601e-09	1
C17H12.3	3.32050015207535e-08	1
irld-8	5.10814813981704e-08	1
ttr-12	9.07848339022855e-08	1
K08C9.2	2.78113309778894e-07	1
C54G4.3	4.15288572065067e-07	1
Y62H9A.5	4.43571812813029e-07	1
D1086.17	4.45899496639146e-07	1
ZK813.7	7.0650815108801e-07	1
T08B6.4	7.82856080357807e-07	1
Y37D8A.19	9.05849654147908e-07	1
ttr-14	1.13670846579396e-06	1
nkb-2	1.37853975661347e-06	1
C16A11.7	1.39269933025986e-06	1
K09G1.2	1.67776044808413e-06	1
F53H4.2	4.55362835201657e-06	1
gsp-3	7.50011161545952e-06	1
T15H9.5	1.19793163655499e-05	1
C04H5.7	1.31071165902945e-05	1
C14F11.4	1.90141858451398e-05	1
ZK354.3	2.73211064541233e-05	1
ZK813.1	3.51935234074419e-05	1
Y39E4B.13	4.63862404589031e-05	1
Y59H11AM.4	5.1451378659961e-05	1
wht-8	5.96750658276017e-05	1
F53B6.4	6.96332738465724e-05	1
F26A1.3	8.4334181077645e-05	1
Y105C5B.18	9.34974369980072e-05	1
scrm-6	0.0001617187692296	1
W02D9.6	0.000208136393336	1
C27D8.1	0.0002503395195524	1
Y43F8C.9	0.0002613220934209	1
ZC412.5	0.0003327381571331	1
ZK795.2	0.0004016158961769	1
K10H10.7	0.0004828113093434	1
AC7.3	0.0006358356219002	1
C28C12.11	0.0007809903097444	1
E03H12.7	0.0012584025741166	1
nep-10	0.0013593648808104	1
F55B11.2	0.0016217117637449	1
ule-5	0.0016367605370294	1
ZK84.2	0.0041018323664132	1
C25A8.2	0.0056644350965953	1
C04G6.6	0.0065007905017416	1
acp-3	0.0100144475129431	1
C47A4.3	0.0163571478467506	1
F54F7.3	0.0192641831911439	1
F13A7.7	0.0256528935455236	1
K11H3.4	0.0574258229240547	1
C02F5.5	0.0586417372494971	1
acs-6	0.0965744842402812	1
C15A11.2	0.0996759860239752	1
F40H6.1	0.100469290012609	1
M28.9	0.104037380794438	1
F13D12.5	0.110386973321767	1
C48B4.10	0.156378714788333	1
K06A5.2	0.168224268564525	1
Y39G10AR.16	0.183421775556054	1
abf-6	0.262310908321101	1
glp-1	0.31263621694969	1
C16A11.4	0.328274232024856	1
spe-11	0.37703514326118	1
T23F6.3	0.398255014032597	1
C45G9.15	0.402293831224427	1
Y82E9BR.2	0.402974090472672	1
Y73B6BL.23	0.407014586619952	1
Y106G6G.4	0.423229675048012	1
F57C2.4	0.453882257448209	1
B0035.6	0.464870658847472	1
best-26	0.522385327400194	1
C17H12.12	0.524693138961715	1
ZK354.8	0.529153289318221	1
tofu-4	0.536546246488681	1
C53B7.2	0.5373384210827	1
F49E11.7	0.540747351155017	1
F01G4.4	0.549363698385043	1
F54H12.7	0.59012157311947	1
mct-5	0.599363574178347	1
C34G6.3	0.61073295546941	1
F42G8.8	0.611856455721424	1
wee-1.3	0.622191079689117	1
htp-3	0.625191770868714	1
