gene_short_name	scaled_TPM	group_number
Y73F4A.1	1.39079046420308e-15	1
Y62H9A.4	2.1395768860549103e-15	1
mig-6	3.4076130571920204e-15	1
ZC116.3	3.4846509348342104e-15	1
F55B11.3	5.005570309013161e-15	1
snf-9	5.1978661390569106e-15	1
nep-8	2.5732745096634602e-14	1
ZK813.3	4.6308935134418405e-14	1
oac-9	7.2590889371927e-14	1
F17E9.4	7.40077157721166e-14	1
clec-222	1.05965676755893e-13	1
ttr-14	1.3989833918078099e-13	1
Y105E8A.27	1.51612286092923e-13	1
galt-1	3.21215304387792e-13	1
H29C22.1	3.57668338888282e-13	1
H01G02.4	5.31899347042073e-13	1
phat-4	9.53445962632318e-13	1
T05B4.14	5.06059271498552e-12	1
ssp-37	5.99455938547283e-12	1
ule-5	6.0379767443446795e-12	1
ule-3	1.8181827999650498e-11	1
D1054.10	5.90947736951866e-11	1
M02B1.4	1.04424563543203e-10	1
ZK1010.5	1.56694898066053e-10	1
K02F6.3	1.80196859684561e-10	1
Y62H9A.5	1.94036435565553e-10	1
W02D9.7	8.62998023516949e-10	1
F52F12.9	1.1787872541124502e-09	1
ZC373.2	1.2436397673814602e-09	1
Y105C5B.17	1.8283823063726701e-09	1
H20J04.1	3.0262022916762404e-09	1
F55B11.2	1.86600046901286e-08	1
ttr-9	3.10670390175656e-08	1
T16A1.2	3.81905760385551e-08	1
ZK1225.5	4.46258157865534e-08	1
F32E10.8	5.20373276723418e-08	1
D1086.17	2.15547635077529e-07	1
nkb-2	2.90475556569025e-07	1
irld-6	3.82779956496161e-07	1
sst-20	4.00023853891393e-07	1
Y37D8A.19	1.21110947412775e-06	1
Y57G11C.23	2.16032295541853e-06	1
F57C2.4	4.90585356562901e-06	1
C14F11.4	5.3728606251533e-06	1
C04H5.7	6.37354119962727e-06	1
C28C12.11	1.23425371137871e-05	1
T08B6.4	1.86583684216915e-05	1
Y43F8C.9	5.04658457165278e-05	1
ZK813.7	6.69829629082791e-05	1
ZK795.2	9.20053212533741e-05	1
Y105C5B.18	0.0001206825214121	1
ZK813.1	0.0002077125272242	1
C55C3.8	0.0002416447652795	1
ZK84.2	0.000450923912574	1
clec-175	0.000502734719622	1
ZC581.2	0.0005190527386802	1
ZK688.10	0.0006905291671718	1
irld-14	0.0027556258288219	1
Y47D3A.31	0.0107290047977176	1
Y54G2A.15	0.0182677978983125	1
Y57G7A.6	0.0207242348911991	1
C04G6.6	0.0228931388773463	1
F54D1.1	0.0277604505807678	1
C08F11.10	0.0323952442085914	1
R02D5.7	0.0391190564952531	1
K06B4.15	0.0881726814901683	1
nep-9	0.0917920968936233	1
wht-4	0.138897464344736	1
F21D9.2	0.151844479344769	1
ZK1225.4	0.202305677549147	1
clec-79	0.228258377405537	1
T08B6.9	0.24992151013018	1
F14F7.4	0.302989938942405	1
ZK1307.3	0.331933313955299	1
oac-23	0.359701510801477	1
Y47D3A.13	0.39129056202225	1
F27E5.3	0.404981534293054	1
wago-4	0.443146199573965	1
R06B10.2	0.457697639180143	1
C46E10.1	0.47558334819109	1
F35E2.5	0.481603448352369	1
F36G9.13	0.486984025323591	1
C18H2.5	0.49328611863114	1
ZK39.10	0.505750273716106	1
D1081.12	0.535618130125302	1
F56A11.6	0.538763805017956	1
mps-3	0.55112251471263	1
Y110A2AR.1	0.551361371558784	1
Y37E11AL.2	0.577395953442253	1
F37A4.4	0.579787608569947	1
C48B4.10	0.594049178813581	1
K09F6.3	0.605094687745973	1
rnh-1.1	0.632320415078649	1
try-7	0.655808352501719	1
Y54F10BM.3	0.694370043790566	1
Y57G11A.2	0.710493285324265	1
T20F5.5	0.76661631216278	1
R07C3.13	0.786972842590219	1
fer-1	0.80782106802357	1
ZK1098.12	0.825681081020269	1
F56B3.6	0.851549235708403	1
K02F6.7	0.85886849295007	1
B0244.9	0.869398485619534	1
W03F11.4	0.870289536527342	1
K08C9.1	0.886079432045119	1
Y67A6A.1	0.892012760374463	1
T22C1.9	0.898782822507884	1
ZC376.8	0.90632748545608	1
Y57G11C.40	0.932646430043059	1
Y59E9AL.2	0.95068076695958	1
T23F6.3	0.959079671660798	1
wht-5	0.970182920410964	1
gei-14	0.974291922933983	1
F47G6.3	1.03591828799725	1
F58D5.6	1.03782419960918	1
Y69A2AR.32	1.04520955217551	1
D1086.11	1.07769139777667	1
F13D12.5	1.08774909424617	1
C48E7.7	1.1248456183544	1
Y51H4A.935	1.12841798603697	1
spe-41	1.15340769518059	1
syp-4	1.16463461231144	1
rnf-1	1.19479416172552	1
Y69E1A.1	1.19739253367154	1
B0454.26	1.20551025098463	1
K03B4.6	1.24102525244768	1
C06G4.4	1.2433404825948	1
F40E3.5	1.2573111001362	1
maph-1.2	1.28263762349299	1
spe-4	1.28354459823762	1
F58D2.2	1.29363551153524	1
tofu-7	1.2952905410058	1
F42A9.7	1.30041575371157	1
Y54E2A.8	1.31243370525079	1
F19B6.3	1.3163585937897	1
Y48B6A.5	1.36224955837838	1
R11A8.1	1.37769472479377	1
moa-1	1.39507590410093	1
C48B4.11	1.41358686830498	1
pgl-3	1.41532315932305	1
dnj-28	1.42079252366946	1
Y82E9BR.2	1.43683780845068	1
Y47G6A.3	1.43846131006103	1
AC3.12	1.46009252409069	1
abf-6	1.46046254359287	1
H34I24.1	1.47753422688203	1
C18H2.1	1.494366811732	1
