gene_short_name	scaled_TPM	group_number
aman-1	1.6481520834619e-15	1
ttr-1	5.142731259326491e-15	1
mig-6	6.452923255703281e-15	1
ule-3	8.46797009359524e-15	1
F31E8.5	8.61324307671182e-15	1
lgc-26	9.53823585469018e-15	1
Y73F4A.1	1.0990450483583101e-14	1
clec-178	1.25938406687843e-14	1
ZK813.3	1.59155670369301e-14	1
Y62H9A.4	2.42780598870261e-14	1
Y116A8C.3	2.94620253739045e-14	1
ttr-14	5.49644468358534e-14	1
F17E9.4	7.498212171816351e-14	1
clec-223	1.09610239007475e-13	1
C18H7.7	1.17268992778123e-13	1
try-7	1.1872179756693699e-13	1
F38A5.22	1.4401261689297999e-13	1
Y51H7C.13	2.17983533720277e-13	1
otpl-7	2.64636981984488e-13	1
F22H10.1	1.08557652071826e-12	1
dyf-7	1.25122755208975e-12	1
nep-20	2.08683709813234e-12	1
H29C22.1	3.16272484507311e-12	1
C46E10.1	5.0659539475865395e-12	1
ule-5	6.103719417839889e-12	1
Y62H9A.5	7.197480349099369e-11	1
ZK892.5	9.521726137516819e-11	1
D1054.10	2.62830916192782e-10	1
Y43F8C.5	5.80517681759162e-10	1
ZC373.2	6.69498229550286e-10	1
msrp-4	7.43946977600096e-10	1
ZK813.1	8.25409094824098e-10	1
C09B9.2	2.57977523535777e-09	1
F57C2.4	5.57464019157381e-09	1
F55B11.2	5.7740714887406604e-09	1
B0218.7	8.67416110389439e-08	1
F56A11.6	1.57862144388634e-07	1
ZK813.7	1.72190904368049e-07	1
T19H5.7	2.01700198243182e-07	1
D2062.4	4.03066150228654e-07	1
Y37D8A.19	4.54746020211473e-07	1
F42G4.6	1.27219796668273e-06	1
C33F10.12	1.94596248579112e-06	1
F53H4.2	6.29753133516854e-06	1
K07A1.6	7.49507100011675e-06	1
F40D4.17	1.00044597329829e-05	1
F54F7.3	2.03743021844756e-05	1
ZK795.2	4.78879848765895e-05	1
D1086.11	5.60543615599661e-05	1
F14F7.4	5.81064688297717e-05	1
C03C11.1	6.99432380673154e-05	1
C14F11.4	7.24253445445615e-05	1
Y4C6A.4	9.20725157290544e-05	1
ZK973.4	0.0001164108714204	1
C08F8.6	0.0001324081792718	1
Y43F8C.9	0.0005392707704401	1
