gene_short_name	scaled_TPM	group_number
lron-5	9.282246331793389e-16	1
aman-1	1.0728377158975e-15	1
clec-145	1.0814086013814e-15	1
lgc-23	1.1720575775008701e-15	1
lgc-26	2.04759216674201e-15	1
cup-4	2.05240906096531e-15	1
F16B12.1	2.66013098118963e-15	1
twk-10	2.75280238106984e-15	1
F59A1.13	2.9951314492601104e-15	1
lgc-24	3.1768035262457802e-15	1
E02H4.4	3.19074360126842e-15	1
srx-134	3.40178486238088e-15	1
F38B2.3	3.4613957098761305e-15	1
ZC116.3	3.728549672006051e-15	1
lgc-28	3.755672525801521e-15	1
Y73F4A.1	4.0217699318898306e-15	1
Y47D3A.34	4.02658582973108e-15	1
srt-67	4.0914990493930304e-15	1
F11C1.10	4.38309009537408e-15	1
unc-122	4.44915883658949e-15	1
T08D10.5	4.50903733042858e-15	1
mec-4	4.74911465482311e-15	1
Y116A8C.3	4.78932584811617e-15	1
K02E7.11	5.08996167329114e-15	1
F28A10.1	5.53596691748672e-15	1
clec-178	5.5616778165171e-15	1
F14D7.18	5.64970923278333e-15	1
scl-17	6.2512806123891e-15	1
srg-24	6.49289178686066e-15	1
T25B6.3	6.885486138516431e-15	1
twk-44	7.0668094649037505e-15	1
irld-11	8.1551329947898e-15	1
srt-70	8.61579873269203e-15	1
C25F9.2	8.832591317520721e-15	1
AH9.4	8.922232095943351e-15	1
ttr-1	9.13724617614093e-15	1
clec-222	1.02320219321062e-14	1
F46B6.2	1.0302964796906801e-14	1
lgc-42	1.08316844059771e-14	1
srb-13	1.0923817971698701e-14	1
lge-1	1.2548415659258801e-14	1
Y57A10B.2	1.3529891140657201e-14	1
nhr-188	1.40881888874856e-14	1
T28D9.16	1.43979627051059e-14	1
T04F8.9	1.52992167480131e-14	1
srz-94	1.8053520758349302e-14	1
srb-1	1.91658507421454e-14	1
srh-139	2.0312378610300802e-14	1
ntr-2	2.0528496100757e-14	1
F59A1.18	2.2174481086308e-14	1
srj-18	2.2271085981547502e-14	1
C04F5.2	2.3965945165812e-14	1
Y50E8A.11	2.4321431597243902e-14	1
F54B3.4	2.46819582639406e-14	1
K08D10.18	2.53960374448989e-14	1
ZK1251.3	2.68503991774304e-14	1
str-182	2.80518193990838e-14	1
ZK697.1	2.91756860888765e-14	1
set-11	3.07609266032539e-14	1
C27A7.9	3.24491699390612e-14	1
srz-43	3.8193706272831104e-14	1
T07C12.10	3.87762465009587e-14	1
T09E11.6	4.02654644932951e-14	1
srw-113	4.42709629851801e-14	1
T10H4.4	5.779581604050931e-14	1
srb-2	6.27535700080663e-14	1
F07G11.1	6.33303453423741e-14	1
srh-194	6.52933234176224e-14	1
srm-2	7.19693187560379e-14	1
str-111	7.21251755899923e-14	1
F46F5.10	8.222193399045161e-14	1
srw-33	8.30765118565018e-14	1
srz-44	8.36563079727743e-14	1
fbxa-154	1.00406132230787e-13	1
F53C3.7	1.12677164550391e-13	1
srv-32	1.31312795904736e-13	1
E03H12.4	1.42100527055501e-13	1
R155.4	1.46099028180685e-13	1
T05D4.2	1.49927164778462e-13	1
nep-8	1.6166508423266e-13	1
F38H12.5	2.0459557445055099e-13	1
R160.6	2.07828948333706e-13	1
