gene_short_name	scaled_TPM	group_number
F08A8.8	1.09352675524996e-16	1
ZK1098.12	1.6094843265413e-16	1
snpc-3.3	3.2267491997962005e-16	1
btb-19	3.6461564377032297e-16	1
C25E10.17	4.35296660744864e-16	1
clec-224	4.65933874279217e-16	1
F47B3.4	4.69154732061702e-16	1
pho-13	5.08486913363581e-16	1
T21C12.8	5.24212559048124e-16	1
Y45F3A.4	5.38938670243439e-16	1
Y48G1BL.8	5.46962230910414e-16	1
Y41D4B.15	5.53341799981249e-16	1
C30B5.17	5.87714168268856e-16	1
C53A5.13	6.46914474456146e-16	1
K09H9.7	6.881643419751659e-16	1
Y51H4A.22	7.16530664918431e-16	1
F57H12.5	7.31534401541286e-16	1
C44B9.2	7.406858655267e-16	1
nep-13	8.16366555078171e-16	1
snf-2	8.18145762396766e-16	1
mtd-1	8.59098013310656e-16	1
srb-16	9.21643540450475e-16	1
sup-18	9.80331737148406e-16	1
E02H4.4	9.909394308407401e-16	1
F14F7.4	1.00703973827495e-15	1
tyr-5	1.04667170845128e-15	1
rip-1	1.0522071678551001e-15	1
abt-1	1.1039819888944802e-15	1
C06A5.12	1.12047863943297e-15	1
lgc-23	1.13076645842377e-15	1
Y56A3A.16	1.14035087465632e-15	1
C31H5.5	1.1522914731976701e-15	1
F44F4.3	1.21829674960455e-15	1
bath-27	1.4294666066334402e-15	1
ZK930.5	1.48241904421806e-15	1
cup-4	1.5062415863125901e-15	1
T03G11.3	1.5121448481043e-15	1
slcf-1	1.5149419931247e-15	1
ZK353.3	1.5175525289975202e-15	1
Y20C6A.1	1.6566681905388901e-15	1
C01G6.2	1.7414467992669902e-15	1
F59A1.15	1.82880938022941e-15	1
K01C8.2	1.83925730326127e-15	1
F14F8.8	1.8653797580941002e-15	1
abt-5	1.90019518303834e-15	1
dyf-17	1.98637482748284e-15	1
F28A10.4	1.99156112299569e-15	1
glct-6	2.04166785107462e-15	1
ttr-9	2.07563849132265e-15	1
C56G2.9	2.1488028261480703e-15	1
F10G7.12	2.15001996238125e-15	1
Y49E10.29	2.15411698022472e-15	1
unc-122	2.26317971127441e-15	1
atln-2	2.2788651081825102e-15	1
C01G12.9	2.4622941433817702e-15	1
T20F5.4	2.48226851675502e-15	1
F54H12.5	2.51583772101389e-15	1
T05C3.6	2.55832255611064e-15	1
W05G11.2	2.63074957597798e-15	1
T05B11.4	2.64753220276065e-15	1
T26C11.3	2.7100113850348e-15	1
F52C6.12	2.7625105822519304e-15	1
F21D9.2	2.8288535314461504e-15	1
K02E7.12	2.9590887682309604e-15	1
fbxa-140	2.9826763486002204e-15	1
ugt-39	3.07540205757406e-15	1
Y37A1B.4	3.0862588565436402e-15	1
R07H5.9	3.2573827299869e-15	1
aman-1	3.3457139392715905e-15	1
ZC190.7	3.3779896803340104e-15	1
grl-8	3.46316086191762e-15	1
lgc-26	3.53359369234841e-15	1
nlp-54	3.56465506341631e-15	1
C38C3.4	3.59180849454377e-15	1
R102.8	3.595968052752091e-15	1
F38B2.3	3.6385605092773005e-15	1
T08D10.5	3.791920679273421e-15	1
best-1	3.87699811551921e-15	1
cdr-3	3.94021631167404e-15	1
F11E6.4	4.0252669683417605e-15	1
lgc-24	4.03580054655247e-15	1
Y41G9A.10	4.1370442342315e-15	1
Y116A8C.3	4.5224518161134e-15	1
T06G6.6	4.572765325238811e-15	1
clec-151	4.87537704102301e-15	1
T05E11.2	4.93656599268019e-15	1
C15A11.4	5.416274231799231e-15	1
clec-145	5.4831718986232704e-15	1
T02H6.7	5.525191553432491e-15	1
F14D2.15	5.55312522834868e-15	1
T07D1.3	5.88714102803267e-15	1
C01G5.4	6.0150395708933906e-15	1
Y73F4A.1	6.084123679807661e-15	1
his-31	6.3565648816531906e-15	1
C04E6.12	6.7164118250033206e-15	1
F26B1.5	7.024306217737281e-15	1
C04E12.2	7.18486009097505e-15	1
Y69A2AL.2	7.229729591906351e-15	1
F25H5.2	7.303337501306241e-15	1
F20D6.1	7.31898097455447e-15	1
elo-8	7.40799828548962e-15	1
Y42H9AR.2	7.47895246076317e-15	1
F42G8.8	7.56643991393967e-15	1
acc-1	7.64401679371828e-15	1
C07E3.4	7.87241856326449e-15	1
T19H5.7	8.08968563685374e-15	1
F59A7.12	8.42650516821706e-15	1
Y69F12A.1	8.42767163275304e-15	1
F36D3.8	8.45313716799404e-15	1
F38A5.6	8.60175637506902e-15	1
Y69A2AR.25	8.672035874272141e-15	1
F53B7.7	8.687440284806131e-15	1
rege-1	8.790720423041681e-15	1
R01H2.2	8.796349847530771e-15	1
C35A11.2	8.94979143620033e-15	1
mltn-10	9.084893735176811e-15	1
C06C6.7	9.161778537480421e-15	1
acp-3	9.416093131831641e-15	1
K02F6.7	9.734734415130681e-15	1
fbxa-196	1.00870985228464e-14	1
clec-147	1.0153331121318601e-14	1
ZC116.3	1.07911724997972e-14	1
nep-20	1.0805119598333e-14	1
F13H6.3	1.0881054392500501e-14	1
C46C2.6	1.1498960090552101e-14	1
kin-24	1.1762285916776e-14	1
M110.7	1.1908754309624e-14	1
poml-2	1.1937259439855301e-14	1
Y57G7A.3	1.25650019962423e-14	1
Y26G10.6	1.2635287257068e-14	1
ttr-1	1.28609934130062e-14	1
Y69E1A.4	1.29211216838496e-14	1
F28H1.5	1.2971521761374e-14	1
AC3.12	1.30503920003723e-14	1
F52E1.5	1.3073878362746601e-14	1
C54C6.11	1.31051258933376e-14	1
chhy-1	1.36903041395057e-14	1
F28A10.3	1.3817353424582201e-14	1
F44A6.5	1.4410901634312102e-14	1
fbxa-125	1.52374919813532e-14	1
ZK795.2	1.54967869235708e-14	1
BE0003N10.6	1.55718619804863e-14	1
Y46H3C.5	1.55850313744625e-14	1
cdh-8	1.57032744496304e-14	1
C01F6.2	1.62720783316717e-14	1
W04H10.1	1.63379581082538e-14	1
T05A10.6	1.64235368973014e-14	1
shn-1	1.66274080338956e-14	1
Y43C5B.2	1.67277061715712e-14	1
F41D3.11	1.70541184358297e-14	1
irld-1	1.73393504860523e-14	1
hst-3.2	1.7600215658302e-14	1
C10A4.4	1.85842837876525e-14	1
M01E5.1	1.8995494866290602e-14	1
F22D6.15	1.90656588653619e-14	1
F09F7.5	1.92747409208164e-14	1
