gene_short_name	scaled_TPM	group_number
F38B2.3	1.40846993293355e-16	1
lgc-25	2.15568304195462e-16	1
T19C3.5	2.66770091798849e-16	1
ttr-9	3.18407906335749e-16	1
T28F3.9	5.13034240065267e-16	1
F36A4.1	5.13970539050751e-16	1
Y116A8C.23	5.4380793734994005e-16	1
R13H9.5	5.99771859859379e-16	1
W05B10.6	8.381146322775029e-16	1
Y57G11C.23	8.665153934261109e-16	1
Y37E3.19	1.2715731151513801e-15	1
R01H2.2	1.3273354717738401e-15	1
K07F5.6	1.3815614683406301e-15	1
T16A1.2	1.9814044156153504e-15	1
ZK1037.6	2.05437931264756e-15	1
F47B3.4	2.37570333378959e-15	1
nep-8	2.4421982899012e-15	1
mapk-15	2.57683875537172e-15	1
Y51A2B.6	2.62705885135292e-15	1
F01G12.18	2.6318384278117603e-15	1
col-152	2.8252526749267403e-15	1
bath-29	3.33048332951475e-15	1
T16A9.3	3.3864892511633605e-15	1
C55C3.6	3.8350994706254204e-15	1
F29D10.1	4.57824864434102e-15	1
nkb-2	5.3169041295861006e-15	1
Y49E10.29	5.5791360351880606e-15	1
R06A10.5	5.745989549405481e-15	1
C05C12.1	5.85242780948142e-15	1
T03G6.1	5.9671029996335304e-15	1
galt-1	6.251540827586921e-15	1
C27D6.11	6.323859887159141e-15	1
abt-5	6.91017064033019e-15	1
F23B2.7	7.0107326548602404e-15	1
clec-223	7.072141288923371e-15	1
F32H2.12	7.362846821680581e-15	1
T05G5.4	7.59648097453133e-15	1
W03G9.5	7.60307061995813e-15	1
C46E10.1	7.96235643241721e-15	1
F17E9.16	8.05663742732505e-15	1
M04G7.2	8.182825984995361e-15	1
irld-8	8.982542705569451e-15	1
ZK484.7	9.05835099423038e-15	1
F58D5.6	1.00080391133837e-14	1
K12H6.2	1.03289415041112e-14	1
Y62H9A.3	1.08130648871689e-14	1
kin-24	1.1186030367796501e-14	1
F44E7.3	1.1280788892052501e-14	1
spe-12	1.1462468695960901e-14	1
F19H6.4	1.29361720502435e-14	1
C18D11.7	1.3312474123805801e-14	1
bath-4	1.3446073831442e-14	1
C04G6.6	1.38253032374745e-14	1
npr-35	1.4297995589824702e-14	1
C04E6.4	1.48578173344217e-14	1
frpr-5	1.59289084620196e-14	1
Y47D3A.34	1.59877972496466e-14	1
F58G6.3	1.6115190723512602e-14	1
C15C8.5	1.74911969866964e-14	1
ZK105.3	1.76247154094313e-14	1
F54F7.9	2.1827979384690902e-14	1
ceh-57	2.18578384905001e-14	1
T08B1.4	2.53642768933952e-14	1
acp-3	2.58813916864728e-14	1
cysl-4	2.6677851255037603e-14	1
F35H8.2	2.76252451924513e-14	1
str-163	2.90161597255988e-14	1
C25A11.10	2.97836780234164e-14	1
R102.8	3.13342019849226e-14	1
ZK829.3	3.4123967647999e-14	1
tre-5	3.47174992849202e-14	1
F29G6.1	3.81799354293837e-14	1
clec-175	3.86213169135122e-14	1
cdc-25.3	4.2314959447317204e-14	1
tag-314	4.3663274015097805e-14	1
wht-5	5.36233951660263e-14	1
fut-5	5.5566254287306804e-14	1
hpo-2	6.25567519206199e-14	1
rol-3	6.462920712762141e-14	1
F36H5.14	6.769071598161891e-14	1
cutl-21	7.00832601616301e-14	1
gfi-1	7.59369385888793e-14	1
F33H12.7	7.68533079702405e-14	1
F10D11.4	7.69191123732567e-14	1
F11G11.13	9.12104091106837e-14	1
C15H11.13	9.21294195628111e-14	1
F07E5.8	9.84285909448732e-14	1
F46B3.15	1.06136092033064e-13	1
ZK84.1	1.08012677279994e-13	1
Y17G7B.22	1.09785404070681e-13	1
col-127	1.24692386272483e-13	1
F33H1.6	1.28141686757783e-13	1
lgc-14	2.02973433416744e-13	1
srz-78	2.18499718125082e-13	1
