gene_short_name	scaled_TPM	group_number
lgc-25	6.580549211906229e-16	1
unc-122	7.96916212367139e-16	1
lgc-26	1.7284361332446001e-15	1
K02E7.11	1.7447607357539602e-15	1
clec-145	1.93110595352519e-15	1
lgc-28	2.65105617741764e-15	1
lgc-24	3.3696837466128e-15	1
Y73F4A.1	3.4136266443239e-15	1
Y116A8C.3	3.84004991400946e-15	1
Y62H9A.4	4.470173575230141e-15	1
ule-3	5.34114882271716e-15	1
aman-1	5.803722326749741e-15	1
F55B11.3	5.916388521276281e-15	1
clec-178	6.174806922340211e-15	1
K07A1.6	8.311473057223881e-15	1
cup-4	9.36389269831247e-15	1
Y62H9A.3	9.527800105998241e-15	1
F32E10.8	1.14780510794836e-14	1
clec-222	1.2154425037279e-14	1
ttr-1	1.3514095673496501e-14	1
dma-1	1.5210524660523702e-14	1
F17E9.4	1.62514719430719e-14	1
srj-4	2.5979827498090502e-14	1
F38A5.22	2.80546035879458e-14	1
nep-8	2.82129707359216e-14	1
Y51A2B.6	3.00914337180201e-14	1
E02H4.4	3.03605098032718e-14	1
F58F12.3	4.1850926986208405e-14	1
best-25	7.18088402482397e-14	1
M110.7	8.73923556673913e-14	1
T19C3.5	9.57927752243726e-14	1
F54D10.7	1.05143089355835e-13	1
ttr-13	1.84760224146966e-13	1
ZK813.3	2.3481162013529e-13	1
B0261.5	4.50930004227953e-13	1
Y43D4A.2	5.57868048922847e-13	1
C31H1.5	2.84178839578227e-12	1
W05B10.6	3.39137060090881e-12	1
H29C22.1	3.786848208687899e-12	1
col-121	4.0040765293343594e-12	1
clec-79	7.88946063095738e-12	1
C46E10.1	8.43366041446583e-12	1
T04D3.8	1.27508003119537e-11	1
ule-5	1.6390942448402098e-11	1
sst-20	1.9597339995931497e-11	1
T02E1.7	2.3161444144197398e-11	1
C54D10.4	7.4426020299379e-11	1
C14F11.4	1.98421104566092e-10	1
F35C12.3	3.22991894407652e-10	1
D1054.10	4.67440848886591e-10	1
Y62H9A.5	5.50450549487667e-10	1
nep-23	8.90427148577388e-10	1
W02D9.7	8.91758104215583e-10	1
ZC373.2	3.4004652191106404e-09	1
T08B6.4	7.87454405863364e-09	1
F15H10.7	8.62840382554751e-09	1
F55B11.2	2.421688936969e-08	1
T19H5.7	4.14785035504587e-08	1
ZK813.7	4.51562441132064e-08	1
ssp-37	5.6235998305982e-08	1
F01G12.18	6.73656432834058e-08	1
ZK1053.2	1.15629743950259e-07	1
F31E8.5	1.2679389968205e-07	1
R03G8.6	1.42780874640033e-07	1
Y69A2AR.47	2.00572209062411e-07	1
clec-73	2.86084771263796e-07	1
ZK856.5	3.01597436386938e-07	1
E02H9.7	7.39799744828802e-07	1
F56C4.4	9.63241072315721e-07	1
