gene_short_name	scaled_TPM	group_number
T19C3.5	1.85770371221348e-16	1
dig-1	5.107101108901539e-16	1
clec-222	9.52815016078852e-16	1
aman-1	9.95265242245752e-16	1
Y49E10.29	1.12259679709165e-15	1
lgc-28	1.2023540903928801e-15	1
mec-10	1.58458214515291e-15	1
clec-145	1.7646835077559801e-15	1
Y73F4A.1	2.0602069178646503e-15	1
mtd-1	2.6159113815300404e-15	1
F32E10.8	2.8468880414985402e-15	1
F38A5.22	3.241235341435e-15	1
Y116A8C.3	3.3815228931959603e-15	1
F55B11.3	3.41194187897663e-15	1
col-135	3.4237840501848505e-15	1
F28A10.1	3.5948366130844206e-15	1
ttr-1	3.623457833366291e-15	1
nlp-54	3.804233926173341e-15	1
unc-122	3.86545990774456e-15	1
clec-223	4.15810541724292e-15	1
K02E7.11	4.2349051775059706e-15	1
F56C4.4	4.5035888277325705e-15	1
clec-178	4.61247373152082e-15	1
ZC116.3	6.13554328307498e-15	1
C54D10.4	7.814715024853181e-15	1
C40C9.3	8.14492411783349e-15	1
ZK1037.6	8.921849819082821e-15	1
T16A1.2	9.07131404147282e-15	1
lgc-26	1.08876188267645e-14	1
K07A1.6	1.11738913346131e-14	1
Y105C5B.17	1.11990550150218e-14	1
F46F5.13	1.48378491891394e-14	1
T19H5.7	1.50166453389563e-14	1
W05B10.6	1.7302377279560902e-14	1
ZK1251.3	1.79275411976227e-14	1
T16G1.5	2.08101805978338e-14	1
ftn-1	2.1260071959598702e-14	1
egas-4	6.0435807276192e-14	1
fbxa-19	8.346979689477791e-14	1
set-11	1.21296887807055e-13	1
col-116	1.2255788595832e-13	1
alh-2	1.2557168920336199e-13	1
clec-175	1.27438022192252e-13	1
T10D4.15	1.54705822321448e-13	1
mul-1	1.56678989271906e-13	1
ZC190.7	1.67568771948422e-13	1
sdz-28	1.81999895281219e-13	1
F54B3.4	1.82987066907066e-13	1
T20B6.2	1.8954925609911e-13	1
nlp-6	2.02629017717771e-13	1
srx-136	2.69585684837187e-13	1
nep-6	2.73832598705039e-13	1
F33H1.6	3.12385665811982e-13	1
Y62H9A.4	3.3734484263978697e-13	1
H29C22.1	4.26181948654039e-13	1
K02F6.4	5.99630200739501e-13	1
F07G11.1	7.347325694921809e-13	1
F07E5.8	7.78450998468453e-13	1
irld-7	1.00104202779368e-12	1
clec-151	2.2440893591416298e-12	1
abf-1	2.8905886011917497e-12	1
ZK892.3	3.41479749489374e-12	1
srh-190	5.4944837936823996e-12	1
R13A1.1	6.02937673389809e-12	1
F15H9.1	6.210970104998399e-12	1
ule-3	6.41237060807988e-12	1
F07H5.6	9.94741413290192e-12	1
F35C12.3	1.7337955591526498e-11	1
ZK1053.6	6.669074879439339e-11	1
F56A11.4	8.388168224961559e-11	1
K06A4.2	8.47712139759163e-11	1
Y95B8A.4	1.63338736955368e-10	1
srm-6	2.2080299130736802e-10	1
C55C2.3	3.06435393353231e-10	1
Y116A8A.4	4.6371722698094006e-10	1
D1054.10	5.40978247505632e-10	1
T02E1.7	1.2739914599257502e-09	1
bli-1	2.01180095628662e-09	1
clec-119	2.05925680618725e-09	1
sst-20	2.25323022827157e-09	1
Y62H9A.3	3.0215309522713704e-09	1
cof-2	3.4038732832056403e-09	1
nep-13	4.8274794823077604e-09	1
ZK354.9	5.90461669111875e-09	1
F36A4.5	1.42398604908633e-08	1
ZK262.2	1.66903979822933e-08	1
dyf-7	1.96108783010218e-08	1
C01G10.1	2.70187434251168e-08	1
F36A4.1	2.80712843420633e-08	1
nlp-17	3.75046068859089e-08	1
ZK177.2	4.28957092573823e-08	1
K02F6.3	5.343319926677e-08	1
T09A5.14	5.41833190952494e-08	1
otpl-7	5.78363457972089e-08	1
Y69H2.3	6.74674909871489e-08	1
ZK813.3	6.80139220265082e-08	1
fbxb-9	8.63958602061868e-08	1
oac-41	9.0213717035965e-08	1
ZK856.5	9.51028497169272e-08	1
F58D5.8	1.09711909918662e-07	1
irld-4	1.66990947760331e-07	1
Y47H9B.2	1.67026952708034e-07	1
W02D9.6	2.31708081797134e-07	1
ZK637.15	2.90996325852995e-07	1
Y62H9A.5	2.95752974589585e-07	1
F17E9.4	3.25162413596731e-07	1
C04H5.7	6.48841797106926e-07	1
F48E3.9	7.61152465135509e-07	1
scl-23	7.64595388552466e-07	1
nlp-53	8.05375979169541e-07	1
C14F11.4	8.86852175803909e-07	1
ncx-5	1.1622665404369e-06	1
C18D11.10	1.53602015215473e-06	1
K10C9.1	1.54377539442197e-06	1
T10B9.9	1.94535159586608e-06	1
zig-4	2.13432510925718e-06	1
F36D1.6	2.16800892718818e-06	1
Y116A8A.6	2.41928495730964e-06	1
F36F2.8	2.65635983380483e-06	1
zig-2	2.97354209158242e-06	1
ttr-14	3.0158375035134e-06	1
ule-5	4.79844598801031e-06	1
mps-3	5.11171774923607e-06	1
F47E1.3	5.48971596220191e-06	1
K11G9.5	6.17924206891116e-06	1
pqn-98	7.99447045164086e-06	1
flp-20	8.99795562039321e-06	1
sdz-35	1.14622697612946e-05	1
daf-6	1.16052572472125e-05	1
R08C7.5	1.48401768408186e-05	1
F23B12.1	2.36242389343954e-05	1
Y58G8A.5	3.03736673932966e-05	1
Y47D9A.3	3.24411523259357e-05	1
F10D11.4	3.88271104821806e-05	1
F46C5.7	3.92984549281134e-05	1
F14F7.4	4.00689885335157e-05	1
ccb-2	5.23554254786264e-05	1
Y116A8C.23	6.48272792164182e-05	1
F27E5.3	8.715123317507e-05	1
paf-1	0.0001008254483464	1
F43D2.3	0.0002302638538001	1
best-25	0.0002895793016417	1
try-7	0.0003125614901723	1
ttr-56	0.0003462276302064	1
Y37D8A.19	0.0004120703531491	1
Y50E8A.10	0.0004438317831572	1
W03G11.2	0.000670995005813	1
ZK813.1	0.0007291191010297	1
ZC373.2	0.0007703737236113	1
F36D3.5	0.0007969098828819	1
ZK973.4	0.0008810777575404	1
irld-18	0.0009578909192806	1
C04B4.1	0.0017888114152115	1
C38C6.5	0.0026987659271899	1
C06C6.7	0.0029093491150782	1
dhhc-12	0.0030158080472162	1
chil-25	0.0038227747518009	1
ZK849.1	0.0043395483730914	1
T21E12.5	0.0044104215218039	1
C02B8.3	0.0071766030211404	1
ZK813.7	0.0077367129532801	1
F59A1.15	0.0078133899523452	1
D1081.10	0.0097884054954354	1
F57A8.6	0.0098824175813616	1
ZK673.11	0.009896992063626	1
D1086.6	0.0115425531370261	1
T05C12.9	0.0123090053517217	1
erp-44.3	0.0124948028879128	1
W02D9.7	0.0125441205191688	1
ttr-28	0.0141106760542966	1
tab-1	0.0147283352481783	1
flp-17	0.0147691820951028	1
Y67A10A.3	0.0155799726369716	1
F14D7.1	0.0155910720415485	1
Y38F1A.7	0.0178627668541463	1
bgnt-1.4	0.017882666266052	1
Y47D3B.12	0.0178954142179109	1
ttr-42	0.0196245725501659	1
H06I04.5	0.0197538361108243	1
tsp-19	0.0208385023845531	1
bgnt-1.5	0.0216259789482577	1
C45G9.15	0.0221272912243705	1
glr-3	0.0221761084518195	1
egl-46	0.0221945768514621	1
Y113G7A.15	0.0223911595769571	1
C06C6.6	0.0230149492166956	1
ZK1086.2	0.0230188375140604	1
W01B6.5	0.0243489055987156	1
F47F6.9	0.0244469647324653	1
kcnl-1	0.0246784926924074	1
C07B5.3	0.0256238765618521	1
C55A6.11	0.0258206813020802	1
unc-42	0.0282205747964	1
K07H8.5	0.0283566414161862	1
C36F7.5	0.0284379801561447	1
Y80D3A.8	0.028754588723127	1
C50F4.9	0.0290917058411572	1
F55B11.2	0.0302419737202379	1
F25E5.4	0.0302615422026212	1
cpna-4	0.0307461907180888	1
npr-6	0.0308501767137079	1
F15A8.4	0.0314417985456536	1
K09C8.9	0.0314502830017263	1
grl-8	0.0321327822816109	1
R12G8.1	0.0322745151250967	1
dop-3	0.0330730720966971	1
osm-10	0.0345458686157743	1
C50E10.2	0.0346250423290215	1
snf-10	0.0354364895282675	1
acc-4	0.0359881399038899	1
F58D5.6	0.0362855794875728	1
F40E12.2	0.0379594286050472	1
