gene_short_name	scaled_TPM	group_number
C31H1.5	1.4797218576559702e-15	1
ZK1251.3	1.9178272734492402e-15	1
Y39F10A.3	1.95669314448399e-15	1
C55C2.4	2.4709410812651803e-15	1
F28A10.1	5.314715951956e-15	1
F15H9.1	5.53658655899553e-15	1
Y51A2B.9	7.21148999052957e-15	1
mpz-6	7.28231925355228e-15	1
E02H4.4	9.87248074421943e-15	1
T16A1.2	1.08137963533829e-14	1
T04B8.1	1.8578894267022e-14	1
clec-222	1.99826674849992e-14	1
scl-17	3.06349958044302e-14	1
F46F5.14	3.12785845608265e-14	1
F46F5.16	3.38210436717943e-14	1
C55B6.5	7.87916185719255e-14	1
K06B4.15	9.094476884137352e-14	1
spe-29	9.19457669662819e-14	1
ZK250.14	1.59688641831593e-13	1
nep-8	2.0035796599291499e-13	1
ZK795.2	4.45167687470646e-13	1
M70.1	5.3660321046421e-13	1
F11G11.14	7.42159683773056e-13	1
F22B3.10	1.0199471346829e-12	1
ttr-58	1.77320249227878e-12	1
clec-79	3.03571303619654e-12	1
sst-20	3.15117607009524e-12	1
F47F6.9	3.31452151406972e-12	1
ZK177.11	3.53890193057908e-12	1
C28C12.11	3.59767322484901e-12	1
Y62H9A.4	3.77386263850942e-12	1
C46E10.1	3.97593353358585e-12	1
T02E1.7	5.79452710390442e-12	1
ZK84.2	6.84226708405174e-12	1
T05B4.14	1.0399605914194698e-11	1
B0496.6	1.5573798272386e-11	1
Y105C5B.17	1.71656892646373e-11	1
C15H11.10	1.74764695521003e-11	1
D2062.13	1.9395160211265e-11	1
F28A10.5	2.6186739955265598e-11	1
C54D10.4	2.80173408044412e-11	1
F56H1.10	2.89723004790462e-11	1
Y43F8C.5	3.43045942345464e-11	1
ttr-11	5.7170656974042594e-11	1
T09F5.10	6.75985058735919e-11	1
ule-3	6.78134544707367e-11	1
irld-14	8.160425508867808e-11	1
Y116F11B.8	9.06178144482084e-11	1
H34I24.1	1.21586642748611e-10	1
C35A5.4	1.38686133192223e-10	1
Y49E10.29	4.03135482231242e-10	1
ZK783.6	6.10070495485836e-10	1
D1081.11	6.36922201531246e-10	1
Y69E1A.3	6.37360124656543e-10	1
Y95B8A.4	7.53122783966802e-10	1
ttr-9	1.16549986760673e-09	1
erp-44.3	1.33140508223648e-09	1
F54B3.2	1.51826295543224e-09	1
tag-314	1.65489160559851e-09	1
clec-119	1.70029078985463e-09	1
Y42H9AR.2	1.72472363826299e-09	1
R13H9.5	1.73451602201241e-09	1
R01H2.2	1.79098416404233e-09	1
ZC190.7	1.84314207089178e-09	1
Y51A2B.6	1.88802492544382e-09	1
R08A2.1	1.99175265053942e-09	1
F16G10.5	2.17255810588365e-09	1
Y105C5B.18	2.27870141217113e-09	1
ZK1225.5	2.3007235305982304e-09	1
K10H10.13	2.34760878593456e-09	1
F55B11.3	2.40688464048115e-09	1
elo-7	2.40829324706214e-09	1
clec-151	2.6043503170130903e-09	1
T08B6.4	2.6442769835231703e-09	1
R10D12.10	3.2991017104897603e-09	1
peel-1	3.34036456541219e-09	1
D1054.10	4.5149818434709115e-09	1
T23B7.2	5.26836352880373e-09	1
aqp-3	5.4453427304941805e-09	1
F21D9.2	5.4625225755381905e-09	1
