gene_short_name	scaled_TPM	group_number
Y49E10.29	2.5169976435645707e-15	1
nas-20	2.7615554831880404e-15	1
spe-12	4.35674181819131e-15	1
F38A5.22	5.22839412953853e-15	1
T28F3.9	5.763842710221401e-15	1
clec-190	5.933506208962721e-15	1
M162.7	5.998645184833571e-15	1
Y62H9A.3	7.87192038604671e-15	1
K07A1.6	8.12738266066837e-15	1
dyf-7	1.39783589993908e-14	1
C04H5.7	1.4465900654890602e-14	1
Y105C5B.17	1.6081174216897e-14	1
nlp-54	1.66176641764589e-14	1
C40C9.3	1.8749936707782e-14	1
F59A1.13	2.00957079874146e-14	1
ZK1251.3	2.12474557693092e-14	1
T28A11.17	2.61699148608034e-14	1
F54B3.2	6.91852403879431e-14	1
Y57G11C.23	7.356540903929442e-14	1
F33H1.6	9.6155037479805e-14	1
T10D4.15	1.00491355812362e-13	1
F56C3.4	1.60348121523554e-13	1
nlp-45	2.09229109880575e-13	1
F54B3.4	2.09992225649132e-13	1
nep-8	2.13376219032078e-13	1
clec-175	2.13665823663189e-13	1
C04F5.2	3.07232295642897e-13	1
Y62H9A.4	3.34703258962152e-13	1
dmsr-14	1.10395630925846e-12	1
srx-105	1.25602569271312e-12	1
H29C22.1	1.82208897202425e-12	1
srx-110	2.16663186525698e-12	1
K06B4.15	2.23511950795327e-12	1
srj-21	2.45310829126293e-12	1
ule-3	2.85403760782206e-12	1
C09B9.85	3.04579873876261e-12	1
abf-1	3.1911913765895498e-12	1
C54D10.4	3.39848007259439e-12	1
M70.1	4.4604182787494e-12	1
oac-23	5.50655319497878e-12	1
srw-19	6.7757565067883896e-12	1
ZK892.3	7.831081247446669e-12	1
Y51F10.15	1.02075277638214e-11	1
K06A4.2	6.7382294738045e-11	1
irld-18	7.87919431687936e-11	1
nep-20	9.69314365788311e-11	1
W02D9.6	1.00136404382029e-10	1
F55B11.3	1.60185494554032e-10	1
Y95B8A.4	2.8922805953221203e-10	1
D1081.11	4.85736091410583e-10	1
clec-153	7.75866093260452e-10	1
clec-151	1.54041268437487e-09	1
dhhc-13	1.64514856492664e-09	1
F35E2.9	1.86326774228912e-09	1
mig-13	2.0502539602050902e-09	1
Y57G11B.3	2.90955663762844e-09	1
F52D2.5	3.13063687474152e-09	1
sst-20	3.17980902799289e-09	1
ZK262.2	3.25928607116758e-09	1
E02C12.9	5.651910878932431e-09	1
ZK813.3	6.51796132245513e-09	1
F58D5.8	1.2017146953158e-08	1
nlp-17	1.23734987183894e-08	1
F36A4.5	1.5876829459116e-08	1
F59A1.15	1.66691889872467e-08	1
T19H5.7	2.02264379365569e-08	1
Y116F11B.7	2.13116200862256e-08	1
ssp-37	2.20629118564726e-08	1
nkb-2	2.38214930036507e-08	1
fut-5	2.46904585734227e-08	1
best-6	2.92219248444971e-08	1
try-10	3.82430262297965e-08	1
T26H10.2	5.06614706503588e-08	1
irld-3	6.72507718398647e-08	1
C09G5.13	1.13271175718466e-07	1
F17E9.4	1.58260822573151e-07	1
irld-24	2.03011119551856e-07	1
Y62H9A.5	3.12142410053205e-07	1
W09C3.2	3.92543593607704e-07	1
F31E8.5	4.49185724172968e-07	1
F36G9.13	4.59932922872312e-07	1
C14F11.4	5.42719700083778e-07	1
AH6.3	7.14245442965901e-07	1
nlp-53	7.61274785384038e-07	1
acp-2	8.28896129183181e-07	1
ttr-14	8.31596155632742e-07	1
Y37D8A.19	9.40860977482852e-07	1
elo-7	1.01958247424688e-06	1
K10C9.1	1.05060768377149e-06	1
lgc-41	1.06492539345095e-06	1
Y47H9B.2	1.06604068443096e-06	1
clec-147	1.1434942884104e-06	1
F57C2.4	1.1608116811193e-06	1
irld-4	1.22225111634336e-06	1
F36D1.6	1.49700918908804e-06	1
abf-6	1.98562636329472e-06	1
F14D7.8	2.08283465636549e-06	1
C53B7.3	2.182481511579e-06	1
K12B6.2	2.4601293045376e-06	1
D1054.10	2.74924163182223e-06	1
ZK813.7	2.9403446184823e-06	1
irld-14	3.09725728058993e-06	1
frm-9	3.15154340783232e-06	1
Y48G10A.6	3.72128012004229e-06	1
D1086.6	5.28260394548498e-06	1
zig-4	5.74191449308919e-06	1
mps-3	1.25399942930639e-05	1
ZC190.8	1.41175058992827e-05	1
F36F2.8	1.4546317961414e-05	1
K08D9.9	1.46285645681185e-05	1
nep-13	1.50383248828627e-05	1
Y71F9B.15	3.0208529320366e-05	1
ZK1010.5	3.29200407844044e-05	1
K10H10.7	3.50914523994135e-05	1
nep-23	3.77751805364958e-05	1
Y58G8A.5	4.36785223801855e-05	1
F10D11.4	5.48755042828118e-05	1
K12B6.4	7.16777228517321e-05	1
Y51A2B.5	7.23172611820433e-05	1
scl-23	0.0001006519224146	1
oac-19	0.0001454392309917	1
ZC373.2	0.0002180602475983	1
Y79H2A.2	0.0002256041472429	1
des-2	0.0002486115970238	1
try-7	0.0003586140120352	1
C32C4.3	0.0004287737107584	1
ule-5	0.0004296773100438	1
ZK813.1	0.0005074661400502	1
lurp-2	0.0007635535795122	1
F55B11.2	0.0007699351399351	1
T05A8.3	0.000868035133196	1
ZK1053.2	0.0010076168245346	1
ttr-42	0.0013027033166144	1
C01G12.9	0.0013935630953514	1
F58A6.5	0.0014015366213476	1
B0416.3	0.0014077888924361	1
K11D12.13	0.0014382931870758	1
F54F7.3	0.0014876425713067	1
C33C12.4	0.0014938594422773	1
M28.9	0.0020240656347979	1
W03G11.2	0.002285904507903	1
clec-79	0.0023389221974191	1
ZK973.4	0.0027379721652846	1
F57A8.6	0.0029423217543933	1
C10A4.4	0.0033820185910272	1
F36D3.5	0.0047574772543802	1
Y75B8A.44	0.0049887228142223	1
T02E1.7	0.0106894816294904	1
C38C6.5	0.0113589660052822	1
clec-123	0.0139875705482743	1
sng-1	0.0147881131790263	1
C14A11.2	0.0148619873073218	1
lgc-32	0.0150088540135152	1
M70.3	0.0150892176761924	1
irld-8	0.0154073166660857	1
F28A10.3	0.0155739130654007	1
Y26D4A.12	0.0157887573752961	1
W01C9.1	0.0161869486875014	1
clec-193	0.0170595024182423	1
twk-26	0.0172872196880344	1
spe-10	0.017986179115245	1
F53C3.4	0.0181786391344507	1
del-1	0.0183763198855616	1
H34I24.1	0.0201005212379632	1
peel-1	0.0202799301562	1
gnrr-6	0.0205205305527682	1
npr-4	0.0209925320964754	1
T05E11.2	0.0215326865404206	1
plx-2	0.0231193475981282	1
fkh-6	0.0231321463770563	1
math-48	0.0235766672778058	1
W02D9.7	0.0246427549204008	1
glb-3	0.0255647987188412	1
bgnt-1.4	0.0265312128055431	1
cbs-2	0.0269040558162871	1
kvs-3	0.0280643547971806	1
Y119C1B.6	0.0288715384316664	1
ZK39.10	0.0295079795821802	1
F15A8.4	0.030114817294767	1
pmp-1	0.0302006406035016	1
ins-25	0.0302374815382076	1
F09F9.3	0.0321746963514094	1
cyp-34A6	0.0329578313914347	1
otpl-8	0.0343606212080769	1
ZK1290.7	0.0359426125374617	1
jmjd-1.1	0.0384238136505983	1
F16C3.4	0.0385950316323495	1
F36A4.1	0.0391609956657405	1
F54F7.6	0.0392660284421933	1
ttr-58	0.0396636004453353	1
hot-3	0.0408349935905658	1
D2096.13	0.0413923773823213	1
glb-27	0.0415984619074137	1
C54D2.2	0.0424676143781906	1
arrd-5	0.0430813416801292	1
R02F11.2	0.0434760684786407	1
C52A11.3	0.0446829201644954	1
Y39G8C.2	0.0449399653817523	1
F25H5.2	0.0458371107557138	1
acc-4	0.0465415969848281	1
tiar-3	0.0467613025184564	1
Y42H9AR.2	0.0476843992489055	1
Y54G2A.13	0.0477918736914778	1
nlp-43	0.0477961799310919	1
C13A10.2	0.0478187503373437	1
F35E2.5	0.0487431282743806	1
Y53C10A.10	0.0501157759973786	1
F59C6.3	0.0510795624806363	1
sfxn-1.3	0.0517770173909032	1
C18H2.5	0.051824410420747	1
srh-10	0.0521248415963838	1
D1044.1	0.0521944996523912	1
F47G6.3	0.0533270692344123	1
ins-1	0.0535178804583331	1
C07A12.18	0.0544544414608684	1
hot-4	0.0549986311022018	1
Y45F10C.2	0.055648615662627	1
fbxa-224	0.0559960822235902	1
Y116A8C.469	0.0562490959074346	1
iglr-1	0.0588114741789924	1
hot-2	0.0597891577268177	1
Y52D5A.2	0.0603447122309569	1
F26D2.10	0.0612255344251449	1
E04D5.2	0.0619749831567645	1
sul-2	0.0621455921452101	1
zipt-22	0.0633911243555995	1
ZK1086.2	0.0636498785490732	1
F26B1.5	0.0649363815305561	1
ZK470.1	0.0649430744581626	1
T20F5.5	0.0650211955548043	1
srh-276	0.0657173325570769	1
T11F8.4	0.0661577715704827	1
igcm-2	0.0663617355498191	1
F58D5.6	0.0666866193832453	1
Y76B12C.9	0.0672398255236508	1
T06G6.12	0.0678633949966341	1
T22C1.9	0.0695010099297913	1
ZC84.6	0.0710888337026706	1
nlp-14	0.0717590445788703	1
dop-2	0.0720514139060437	1
oac-50	0.0720757324210822	1
Y39B6A.25	0.0721102797240011	1
C10A4.9	0.0722954332455234	1
C34B4.3	0.0724033594139898	1
pes-8	0.0728270301796879	1
Y116A8A.6	0.0729067971595092	1
F56D6.22	0.0740686803070039	1
spe-4	0.0747455788919401	1
ZC190.5	0.075051371143474	1
F56F4.3	0.0753763903378713	1
F13A7.7	0.0755046482089217	1
best-10	0.0770525684272675	1
C29E4.14	0.077154011579799	1
Y54G2A.49	0.0773891804405998	1
T25B2.2	0.0782386559533722	1
glb-2	0.0792670228980244	1
C10A4.3	0.079770705668309	1
snf-10	0.0798753363864107	1
elo-8	0.0800854329188185	1
F22D3.4	0.080120395056467	1
ncx-4	0.0819748976364162	1
lurp-1	0.0824942000799023	1
R06A10.5	0.0836427034850668	1
T01B10.5	0.0836703870336248	1
nlp-46	0.0842063022523003	1
H17B01.5	0.0873105905635609	1
tbc-16	0.0881160937453977	1
D2062.4	0.0881574454300126	1
Y54E2A.9	0.0883872225837936	1
B0361.11	0.0898981872710411	1
twk-12	0.0899190964504386	1
F46A8.6	0.0906900982865942	1
ZK1098.12	0.0913412374484857	1
ztf-25	0.0915252562034117	1
C05D12.2	0.0921157219430982	1
T28F12.1	0.0921538727536467	1
T05C12.11	0.09252968862667	1
C01G5.4	0.0926742165217671	1
Y97E10AR.8	0.0928489582596764	1
clec-117	0.0929425672964284	1
F54D1.6	0.0933516154329761	1
C05E7.3	0.0941848193465581	1
hpo-30	0.0944089206251128	1
nekl-1	0.09526364791369	1
snf-2	0.0962388629094891	1
F29D10.2	0.0979084532226696	1
ins-4	0.0983140423231828	1
ZC250.5	0.09884165362102	1
glb-12	0.0988932815666548	1
sra-36	0.0995161553862555	1
Y110A7A.2	0.100841929406151	1
Y39E4B.13	0.10100218696556	1
ZC376.8	0.101895915816158	1
Y41C4A.21	0.101951111134885	1
sre-3	0.102239380209741	1
pitr-5	0.102727897361772	1
ZK945.8	0.102896226667107	1
R11.2	0.1034482945114	1
Y53C10A.15	0.10456052427442	1
abu-1	0.105078594681166	1
dgk-3	0.105565372708915	1
F32D8.15	0.106049086747169	1
C47E8.1	0.106099751824338	1
R04B5.1	0.10897604213079	1
ZC477.2	0.110123821172404	1
F38H4.5	0.110443028123736	1
lec-7	0.111760954993236	1
Y66A7A.9	0.111765052498841	1
ckr-1	0.11201656342806	1
abt-5	0.112147768985448	1
npr-23	0.11256935929768	1
glr-2	0.112671246935984	1
srx-108	0.112984603072665	1
M110.7	0.11323412882841	1
sri-21	0.113475569584143	1
tbx-34	0.114789020568123	1
C16C10.13	0.115126066772806	1
nlp-18	0.115391541427375	1
C27A2.8	0.115983792294448	1
T02B11.9	0.11693791263609	1
C18G1.1	0.117302871715543	1
K09H11.6	0.118507264726323	1
C31H1.1	0.118843719616541	1
F33D11.8	0.119514659361	1
C07A12.2	0.121135230612153	1
C30F2.3	0.121305737771189	1
nhr-6	0.121813858726313	1
Y106G6G.2	0.121933869574588	1
rgef-1	0.122050954127177	1
T27A10.2	0.12247461217196	1
F38E9.6	0.122650001233395	1
F41H10.5	0.123635211163682	1
Y105C5B.11	0.125079176047389	1
msp-74	0.125213150350901	1
T13F3.8	0.128107855943743	1
srw-145	0.128491217164917	1
srg-15	0.128923166138708	1
D1086.18	0.12940332877224	1
C06B3.16	0.130176182258472	1
C07A4.3	0.130500348455547	1
lgc-50	0.132257922971597	1
R04B5.11	0.132265187567871	1
F58H10.1	0.13229394717359	1
xbx-3	0.13246868514556	1
dot-1.3	0.132551594532101	1
fbxa-202	0.132975020843848	1
ZK1067.4	0.133198910068287	1
F55G11.1	0.13334872353183	1
C31H2.3	0.134234223978131	1
C04C3.6	0.135414382057019	1
K07H8.5	0.13742906134008	1
F44D12.16	0.137471818921317	1
Y57G11B.5	0.138334029538666	1
B0416.11	0.138691383473805	1
K09H9.9	0.139049386319265	1
K07F5.17	0.139750022658526	1
ZK1225.4	0.141173623747293	1
unc-86	0.141520462103593	1
T05H10.8	0.141995658987617	1
T05C1.2	0.142283943100694	1
Y53F4B.36	0.142422712003687	1
Y97E10AR.1	0.142682999998876	1
nrf-5	0.143041099351081	1
R05D7.1	0.145155511472819	1
C15C7.4	0.146188227168045	1
T10G3.8	0.147660785468131	1
nep-18	0.14887140789616	1
daf-7	0.148884613514327	1
F59A3.13	0.149830950591153	1
C14A6.8	0.15036736082056	1
cat-1	0.151857053895676	1
wht-5	0.151947062135328	1
fbxa-196	0.152809172056727	1
C54C6.11	0.153181667957596	1
C25G6.3	0.153222897429003	1
F10D11.3	0.153829499149631	1
F46E10.18	0.154420298103069	1
C04E6.5	0.155037473811983	1
F36F12.7	0.155242853039997	1
C17C3.11	0.155735059106067	1
Y48B6A.5	0.156668254431421	1
F44G3.7	0.157540128649445	1
pph-2	0.157548142614447	1
gst-11	0.15755539180861	1
Y66D12A.3	0.15800692376447	1
Y76B12C.8	0.160940240872173	1
egl-36	0.161878670497899	1
F56D5.2	0.163620712187652	1
srh-15	0.163841482171563	1
wago-10	0.16428053247106	1
Y50E8A.2	0.164289705194114	1
osta-1	0.165117328662051	1
C31E10.4	0.165374303750991	1
egl-23	0.165415319638486	1
npr-26	0.166614883745835	1
Y75B7B.2	0.166987554632831	1
F53B7.4	0.167216817769209	1
B0207.1	0.167461494709218	1
K12D12.4	0.167684373144467	1
C06C3.8	0.168801598613278	1
acp-7	0.169714556534361	1
fbxa-125	0.170473089130265	1
F20D6.1	0.170592124856921	1
nlp-57	0.170690992911267	1
C45B11.5	0.17090575252248	1
acr-6	0.171012080689665	1
T16G12.7	0.171071811228101	1
C01G5.3	0.171976319134235	1
F09E8.8	0.172125390578438	1
lagr-1	0.172261706944886	1
C40H5.2	0.172464144615492	1
wht-8	0.172697120010666	1
ttr-28	0.17403860939691	1
W02B12.13	0.174692791706694	1
acbp-7	0.17494762517361	1
Y69E1A.3	0.175519491411145	1
C33D9.6	0.17641413173046	1
K01A2.4	0.177224159606293	1
moa-1	0.177441972579807	1
flp-13	0.177483247301608	1
Y51H7BR.8	0.17765052362356	1
ZK250.14	0.177990009200503	1
M02D8.2	0.183005553698743	1
cdr-3	0.183146307518997	1
rig-5	0.184586443648284	1
C30A5.16	0.184841139394617	1
elo-4	0.185262808577669	1
C48B4.3	0.185296542230037	1
Y46G5A.22	0.185616288715676	1
nep-9	0.186692282431375	1
M05B5.3	0.18743170538681	1
F23B2.7	0.187498158270421	1
Y48G8AR.2	0.187979094114381	1
nas-37	0.188455172275635	1
fax-1	0.18908424885784	1
R07H5.11	0.191331920058453	1
Y57G11A.2	0.192814597828016	1
tbc-18	0.192907727837999	1
T25B9.6	0.193504394399156	1
spe-38	0.193644414435068	1
T25B9.4	0.19415434005743	1
C47E8.11	0.195561683842524	1
Y43F8A.1	0.19564168294636	1
gpa-14	0.196081086404619	1
gei-18	0.197051643726775	1
srd-55	0.197280253517132	1
C45G9.4	0.197913455157295	1
kvs-1	0.198483684439244	1
unc-75	0.198556802175025	1
Y69F12A.1	0.200182807118628	1
mpz-6	0.200835799189158	1
T04F3.3	0.201417765894163	1
C01B10.44	0.202119657227206	1
F29A7.4	0.202523331155598	1
C24D10.1	0.202699007316494	1
M6.4	0.203274569777065	1
T27F6.1	0.203373031180916	1
Y38F1A.7	0.204338955718922	1
col-141	0.20539972930671	1
C25E10.17	0.207558562106144	1
C36A4.10	0.209057379360982	1
B0207.7	0.209081819284055	1
F26A1.4	0.209400477441663	1
T14F9.2	0.209707835298592	1
K10D6.3	0.211567402805166	1
decr-1.3	0.212358096790246	1
gar-2	0.212406013905454	1
srv-16	0.213008867452748	1
C34B2.3	0.213886711370689	1
F27D9.12	0.214263084557314	1
nhr-271	0.215110349116828	1
pha-1	0.216123750509777	1
C01G6.2	0.216275854212524	1
che-3	0.216706945978263	1
F40H3.6	0.217222527894469	1
ZC15.5	0.217316013819193	1
prk-2	0.217459837863199	1
zig-8	0.218011057766263	1
F46C5.2	0.219109464010844	1
C54G4.2	0.220436405365537	1
ubc-22	0.220762769409146	1
deg-1	0.221047985792746	1
lin-32	0.221252400132179	1
W04E12.4	0.221749040508673	1
T23B7.3	0.22230955623893	1
T02H6.7	0.223398521801294	1
nhr-238	0.226899445486388	1
B0432.14	0.227008784066272	1
Y57G11C.40	0.227409142032825	1
srg-31	0.227472858800233	1
sir-2.3	0.229138100683677	1
ptr-3	0.229841290679102	1
F14D7.1	0.229919988861797	1
Y39A3B.3	0.230373317226728	1
sru-38	0.231026413396199	1
F49H12.4	0.232270081906408	1
cyp-42A1	0.233325135787807	1
ZK822.6	0.233464160220332	1
chhy-1	0.233627425763853	1
C10C5.2	0.233808779551344	1
ZC21.8	0.233830064048885	1
W03F11.4	0.234223744649019	1
angl-1	0.234280396248273	1
W04E12.5	0.23546108829134	1
ssr-2	0.2355267125491	1
K10D11.6	0.235633788306471	1
C06A6.2	0.236489913268183	1
col-89	0.236574076341241	1
clec-225	0.237008795889799	1
cah-6	0.23706128221192	1
C01G10.9	0.237100637369566	1
ctl-2	0.237260531393275	1
F16H6.10	0.237449474563992	1
fbxa-19	0.237498970461723	1
F33H12.7	0.237904127356303	1
mttu-1	0.238187615014261	1
ZK418.10	0.238418341231862	1
strm-1	0.238466196795366	1
Y32F6A.4	0.239273224626317	1
F01F1.14	0.239438585711183	1
kcnl-4	0.239464640709046	1
cdh-3	0.240305309198642	1
T22D1.17	0.240463136840707	1
Y55F3BR.10	0.240468934646029	1
jmjd-3.3	0.240760773748575	1
mrp-4	0.241525160548319	1
Y53C12A.6	0.241645797612445	1
xpd-1	0.241733646889437	1
Y11D7A.7	0.241755990122099	1
T07F10.5	0.241907550266332	1
fbxa-113	0.24196309695321	1
pes-23	0.242438408011018	1
F14F9.5	0.242604158252309	1
kin-21	0.242833154448722	1
ador-1	0.243033446677388	1
F32B6.10	0.243064137720464	1
W02B3.4	0.243500777485089	1
C05C9.3	0.243625072338252	1
C34F11.1	0.243685042801612	1
Y54E5A.8	0.243841242533725	1
F48G7.10	0.243867519567277	1
K08E7.6	0.243935649433573	1
srz-83	0.243940271794283	1
Y51A2A.4	0.243945758649677	1
klp-20	0.243988397890032	1
dop-3	0.244014039159758	1
Y67A10A.9	0.244084528419424	1
C12D8.15	0.244097308927028	1
kmo-2	0.245296770503875	1
C49C8.1	0.246228645139664	1
F07D3.3	0.246462250702066	1
rhgf-1	0.246588788526638	1
T10E9.6	0.24706371175859	1
C48D1.1	0.247530571880611	1
Y41G9A.2	0.248080721880832	1
C34D4.2	0.248344502211755	1
K02A11.2	0.249435042086448	1
T08G3.13	0.249698251870058	1
K07F5.8	0.249815679916331	1
spe-8	0.251018674401984	1
amt-2	0.251507787684571	1
mlck-1	0.252349422707795	1
F41E6.17	0.252381200531572	1
F32D8.1	0.252618199374752	1
F54H5.2	0.253173493017025	1
fbxa-37	0.254730772152038	1
R13A5.7	0.254899324533059	1
F52D2.6	0.25509347826473	1
C13C4.6	0.25514853279222	1
F14D12.1	0.25524923946076	1
Y17G7B.23	0.255252961461639	1
C45E1.4	0.255306226886405	1
F58B4.2	0.255344236731341	1
F07F6.1	0.255403876150098	1
C14A4.13	0.255596073012295	1
R08A2.7	0.255908665229853	1
ocr-2	0.255928604328531	1
ins-6	0.256242789534109	1
npr-12	0.256573557467219	1
K03A1.4	0.256803921086289	1
T23F6.3	0.257806938635894	1
T19D12.5	0.257932760978897	1
gcy-11	0.258629857729183	1
snf-7	0.259073830609158	1
Y111B2A.27	0.25917596626133	1
ZC581.2	0.259593870039337	1
F08F8.6	0.264943360668069	1
str-180	0.265700535394487	1
C04F12.16	0.267327446073843	1
mpst-4	0.267644282025424	1
R08C7.5	0.267826079087843	1
R08C7.8	0.269246003093588	1
ZC513.3	0.269357099529865	1
T06E4.5	0.26946325481127	1
acr-19	0.270145108055281	1
C09F12.3	0.270858545511936	1
H41C03.3	0.271312404656737	1
nhr-201	0.273765896791229	1
Y81G3A.6	0.273931275642718	1
F28F9.2	0.274590179554643	1
F22B5.6	0.274649425443128	1
K02F6.8	0.275586906363334	1
F14H8.8	0.276553045483047	1
K09F6.3	0.276996081744466	1
C28C12.4	0.279725575704838	1
C26B9.6	0.280187296983733	1
R07C3.13	0.280235676135694	1
lgc-18	0.280398235736482	1
bnc-1	0.280735447894785	1
Y73B6BL.35	0.280859291741042	1
D2096.9	0.281991589323006	1
C47A4.3	0.282013827134884	1
atln-2	0.28292934153422	1
arrd-4	0.283645341035742	1
icmt-1	0.284182341543844	1
chil-14	0.285005034468473	1
D1086.11	0.286429938358754	1
F49E10.4	0.286849860605898	1
ZC21.3	0.289048880855054	1
R02E12.4	0.289575774357628	1
AH9.3	0.2909798728405	1
C08A9.6	0.291698574928895	1
C33G3.6	0.291871674096221	1
Y116A8C.43	0.292154094404222	1
daf-8	0.292816885046682	1
abhd-5.1	0.293468695088891	1
C54D2.1	0.295217922759382	1
F10E9.1	0.29540301930975	1
C09B9.7	0.295993148327024	1
W10C6.2	0.296383651158144	1
C27A7.3	0.29782568314588	1
Y62H9A.13	0.297944534645282	1
nhr-63	0.298943641104735	1
M88.3	0.299471755802266	1
snb-7	0.300014554484763	1
T09F5.10	0.300462194622331	1
Y43C5A.4	0.300908882948962	1
scrm-7	0.301253121169984	1
T28C6.5	0.302544160756232	1
H27M09.5	0.303033935928695	1
vps-50	0.30340169465403	1
F16B3.3	0.306896069878002	1
F54C9.7	0.310169476885348	1
kal-1	0.311239897861733	1
CD4.1	0.311473655196513	1
K08F11.1	0.312495937649194	1
tag-343	0.312798568210434	1
gcy-17	0.313036165746361	1
