gene_short_name	scaled_TPM	group_number
icmt-1	1.26109369010824e-15	1
aman-1	1.56985410498873e-15	1
B0238.12	1.5823301486549501e-15	1
rsa-2	1.7103887080599402e-15	1
nrf-5	1.74653935491434e-15	1
T08B6.4	2.19008947432957e-15	1
ZC116.3	2.26073522329078e-15	1
Y73F4A.1	2.3377177606363603e-15	1
spe-12	2.34810431280693e-15	1
F58B4.6	2.3787739480986404e-15	1
sst-20	2.44997465504868e-15	1
unc-122	2.45305756509453e-15	1
klp-18	2.6843635942007106e-15	1
ttr-12	2.7178274067226303e-15	1
cec-9	2.7860163811536504e-15	1
lgc-28	2.8285764060067306e-15	1
ZK856.5	3.0820937667024802e-15	1
toe-2	3.0986896583562907e-15	1
clec-178	3.4416767249905007e-15	1
R07B1.8	3.4417852552805003e-15	1
zig-2	3.49089795202796e-15	1
Y73B6BL.23	3.9387693795398906e-15	1
F13D12.5	3.95595591529175e-15	1
ZK930.7	4.06081697389936e-15	1
F01G12.18	4.42270781606039e-15	1
T27A3.7	4.47165744420777e-15	1
F35C12.3	4.5064905023019e-15	1
C54D10.9	4.536826258201231e-15	1
oac-9	4.809756003959191e-15	1
sys-1	5.018930274891691e-15	1
ZK262.2	5.06530611199723e-15	1
F44G3.7	5.11863749431046e-15	1
C54D10.4	5.15425804450193e-15	1
aat-9	5.25048026244485e-15	1
C18A3.1	5.36912429075845e-15	1
F22B5.6	5.62743891418986e-15	1
M04F3.2	5.68485682940487e-15	1
ZK1025.3	5.89369012999643e-15	1
C25E10.17	6.423251628344821e-15	1
F38A5.22	6.591312394106391e-15	1
K09H9.7	6.825439814562771e-15	1
Y65B4BL.3	6.866592627285211e-15	1
Y37F4.5	7.436381991538671e-15	1
Y71F9AL.4	7.484781896116831e-15	1
bath-2	7.539199764322881e-15	1
scrm-6	7.54024628724073e-15	1
Y105E8A.27	7.54614234051929e-15	1
F55B11.3	7.596394811473951e-15	1
Y62H9A.4	7.63015411393265e-15	1
prom-1	7.634374291048411e-15	1
W05B10.6	7.649204272299861e-15	1
C27D8.4	7.90217464124473e-15	1
ttr-28	7.91955468986025e-15	1
F54H5.3	7.931004930230451e-15	1
C18H7.7	8.01819686497804e-15	1
Y6E2A.10	8.173431879175551e-15	1
ZK84.2	8.234024928372371e-15	1
D1086.6	8.388938982832591e-15	1
clec-222	8.436600695886781e-15	1
F36H12.2	8.4989256924449e-15	1
R08A2.1	8.828874040774121e-15	1
Y97E10AR.4	8.92447839699458e-15	1
B0294.1	9.87946974547977e-15	1
