gene_short_name	scaled_TPM	group_number
cup-4	2.0258918837672599e-16	1
T19C3.5	2.66966568425432e-16	1
lgc-26	2.8647847817831004e-16	1
ttr-1	5.59381626868536e-16	1
Y116A8C.3	6.09841233708381e-16	1
nas-20	7.860556803470739e-16	1
lgc-25	8.819856345979609e-16	1
mig-6	1.0799184649584102e-15	1
ule-3	1.17545443978945e-15	1
T05B11.4	1.32105380758309e-15	1
lgc-28	1.3378883379231902e-15	1
mtd-1	1.637407598894e-15	1
W02D9.6	2.06668222643966e-15	1
Y62H9A.3	2.2276901124562802e-15	1
D1086.6	2.41012030160822e-15	1
Y73F4A.1	2.4803554466149903e-15	1
K07A1.6	2.6788126892087904e-15	1
F55B11.3	2.79896092671457e-15	1
mec-10	2.9278071176768e-15	1
M162.7	3.13329992718583e-15	1
snf-9	3.3243604770794304e-15	1
Y105E8A.27	3.84552441296745e-15	1
F32E10.8	4.057797673814551e-15	1
clec-178	5.19300843476724e-15	1
F01G12.18	5.60778365689312e-15	1
C46E10.1	5.84314312037211e-15	1
C29E4.10	6.673703767109421e-15	1
ZK1251.3	6.6985345010079706e-15	1
C31H1.5	7.64415534017719e-15	1
ZK795.2	7.97363462565671e-15	1
C28C12.11	8.38833362665636e-15	1
H29C22.1	1.10818152413763e-14	1
dma-1	1.24237788646267e-14	1
mpz-6	1.33173261832395e-14	1
W05B10.6	1.65983968993123e-14	1
lron-5	1.80663877330287e-14	1
F38A5.22	1.98802974524916e-14	1
Y51A2B.6	2.04872209380847e-14	1
F31E8.5	2.12905509854289e-14	1
F54B3.2	2.36928480377584e-14	1
ZK813.3	2.70851211099868e-14	1
nep-8	2.79507458617221e-14	1
F15H9.1	2.88381810084722e-14	1
F16H11.1	2.94414397017865e-14	1
ZK1225.5	3.17770510652873e-14	1
nkb-2	3.8059449650129904e-14	1
nlp-20	3.99408117053125e-14	1
B0198.2	4.57123579807815e-14	1
mec-9	5.0071152442213104e-14	1
Y105C5B.18	6.13651526149513e-14	1
F47E1.4	6.35847074528715e-14	1
acp-3	9.08021861938057e-14	1
set-11	9.141706496735453e-14	1
ttr-12	1.06204424298635e-13	1
F54B3.4	1.19176896671885e-13	1
F56H1.10	1.25117595666015e-13	1
nlp-54	1.55555617456642e-13	1
srsx-33	1.71116430907802e-13	1
F33H1.6	2.2243253106195499e-13	1
F41F3.9	2.68007679700747e-13	1
K06B4.15	6.05524928068541e-13	1
T05B4.14	6.72213599519433e-13	1
nep-6	7.26265933331816e-13	1
Y51A2B.4	9.56032413140424e-13	1
F56C3.3	1.02782692362296e-12	1
Y62H9A.4	1.23581028044014e-12	1
T08B6.9	1.80893274919796e-12	1
ZK84.2	2.4478879363768e-12	1
C08B6.3	3.71202525297961e-12	1
F40H6.1	8.56308510584984e-12	1
K11H12.6	1.2824235857488498e-11	1
oac-23	1.5690728327280898e-11	1
D1054.10	2.9190889378705096e-11	1
Y43F8C.5	3.04616599844452e-11	1
F35C12.3	3.9853477773193e-11	1
best-11	4.54359442775521e-11	1
C04E6.13	4.55019502409928e-11	1
F07H5.6	6.31459844180468e-11	1
Y95B8A.4	7.99532531658928e-11	1
W02D9.7	9.5820353743176e-11	1
Y62H9A.5	1.02527973862361e-10	1
Y41D4B.24	1.03231430587138e-10	1
Y54G2A.15	1.05935162490685e-10	1
D1022.9	1.24982776855132e-10	1
C14F11.4	1.29626200884289e-10	1
irld-6	2.5306585360176003e-10	1
T02E1.7	6.384564888669461e-10	1
clec-153	6.59378014148992e-10	1
nlp-18	9.01168236410959e-10	1
C18H7.7	1.02478762240106e-09	1
clec-151	1.2995920335963702e-09	1
R01H2.2	2.1582578563724e-09	1
acc-1	2.9709380302797e-09	1
ZK813.7	3.21624028517724e-09	1
clec-119	3.4020490341625e-09	1
Y57G11B.3	4.08791134336102e-09	1
nlp-17	5.072988046856611e-09	1
frpr-10	6.57416922339545e-09	1
F55C12.4	7.89161446208326e-09	1
M28.9	8.57558052429874e-09	1
C25G6.4	1.09759590727079e-08	1
R13H4.7	1.35990818429097e-08	1
F35E2.9	1.36665936269837e-08	1
Y67D8B.5	3.50092487977273e-08	1
F15H10.7	3.89849889010357e-08	1
F17E9.4	5.14934034522446e-08	1
Y57G7A.6	5.74416386012898e-08	1
ZC190.8	6.03022276134352e-08	1
F02A9.1	6.84859525630686e-08	1
F26E4.3	9.25025169809199e-08	1
F25H5.2	9.3191051449489e-08	1
T08B6.4	1.4179025607732e-07	1
C09G5.13	1.50507246293853e-07	1
F57C2.4	2.43163980133477e-07	1
nlp-53	3.11100992341939e-07	1
ttr-14	3.42343468350503e-07	1
E02H9.7	3.84550931798047e-07	1
M02B1.4	4.38916325226054e-07	1
zig-4	4.88125807675458e-07	1
clec-147	5.6729374426664e-07	1
F36G9.13	5.80281676503299e-07	1
Y37D8A.19	5.97832367263157e-07	1
F01D5.7	6.25482793850434e-07	1
Y43F8C.9	7.53064496415696e-07	1
K08D9.9	1.21052979406113e-06	1
F47G6.3	1.27114464629067e-06	1
Y37D8A.5	1.48187909357685e-06	1
F35H10.2	1.50172830058246e-06	1
C18D11.10	1.50828031458652e-06	1
C04H5.7	1.52797128817496e-06	1
F14F7.4	1.56078275384056e-06	1
zig-2	1.70536381191206e-06	1
C06A12.3	2.2890393194978e-06	1
K10C9.1	2.47711384232939e-06	1
F37A4.4	2.52199928933563e-06	1
F36F2.8	2.93235961908027e-06	1
F58D2.2	3.57702664564731e-06	1
aqp-6	3.96239360939813e-06	1
mps-3	4.38331378796254e-06	1
comt-1	4.47077094588528e-06	1
irld-14	5.54711391238933e-06	1
frm-9	5.83096830866457e-06	1
unc-8	1.02454892566982e-05	1
Y58G8A.5	1.16637573889697e-05	1
flp-20	1.1787242819188e-05	1
T03F6.6	1.21854819933114e-05	1
ZK1010.5	1.62557155084106e-05	1
Y47D3A.13	1.74758893298848e-05	1
Y43F8A.2	2.09411993819919e-05	1
F10D11.4	2.16387638746412e-05	1
D1086.11	3.39835961236262e-05	1
F47E1.3	3.45983130664259e-05	1
ZK813.1	4.22623146523757e-05	1
ZC373.2	4.28206307081395e-05	1
degt-1	4.859778961772e-05	1
epi-1	5.57156790773127e-05	1
sek-5	6.56056711171636e-05	1
K12B6.4	8.34525381654375e-05	1
frpr-2	8.96875263814763e-05	1
snf-5	0.0001250063785431	1
lgc-48	0.0001334765689025	1
F46C5.7	0.0001387687999563	1
Y57G11C.40	0.0003154822192295	1
K02F6.3	0.0003346388095333	1
ZK1053.2	0.0003618211793171	1
ZK892.5	0.000365994749554	1
F54F7.3	0.0005622999652552	1
T22C1.9	0.0008149020354968	1
AC3.12	0.0008180486931759	1
twk-49	0.0009728079944726	1
C43G2.3	0.000976552801523	1
nlp-10	0.0011801685478949	1
flp-19	0.0013593928055578	1
nep-5	0.0014297838312563	1
F55B11.2	0.0014569483052476	1
W03D8.9	0.0015059474314142	1
F33D11.7	0.0015218713099822	1
npr-25	0.0016084865357166	1
C01G12.9	0.0019762924614045	1
ule-5	0.0020200131045725	1
abf-1	0.0020786574130523	1
F41B4.2	0.0022791625681463	1
Y75B8A.44	0.0024220079479535	1
Y53H1C.3	0.0025078004647917	1
clec-79	0.0025933455738705	1
scd-2	0.0034082501447436	1
dhhc-12	0.0037995961683825	1
Y47D7A.17	0.0039144537443211	1
hot-5	0.0040824985684946	1
K08C9.2	0.0042824008468458	1
flp-17	0.004490613604559	1
C02F5.5	0.0045620784270146	1
T21C9.11	0.0045980555771365	1
C04A11.1	0.0058352448682899	1
B0207.9	0.0074731503636093	1
