gene_short_name	scaled_TPM	group_number
aman-1	9.21521039454176e-16	1
clec-178	3.95619156669911e-15	1
lgc-25	6.437707525781401e-15	1
ule-3	7.28130801812852e-15	1
lgc-26	7.356615298682421e-15	1
Y73F4A.1	9.601324799647331e-15	1
F32E10.8	1.24145705920192e-14	1
Y49E10.29	1.47182128894016e-14	1
lgc-28	1.49641140394479e-14	1
F55B11.3	1.50511723118873e-14	1
ttr-1	1.79465751638577e-14	1
Y62H9A.4	2.8182176598435505e-14	1
Y116A8C.3	2.89806743482375e-14	1
K07A1.6	3.2833394444998303e-14	1
nep-8	4.0551314057916304e-14	1
C31H1.5	4.13920559422913e-14	1
Y95B8A.4	4.41225987892978e-14	1
ZK813.3	4.64158555223358e-14	1
W03D8.1	5.0184529263583e-14	1
F38A5.22	5.32013632731038e-14	1
F56C4.4	9.53627016358894e-14	1
F17E9.4	1.18050097423063e-13	1
Y69H2.3	1.90512625050981e-13	1
F15D4.6	2.12826109982026e-13	1
spe-12	2.6254006497756e-13	1
T05B4.14	2.70628919140501e-13	1
ZK250.14	3.9450286437836e-13	1
H29C22.1	4.3515373411814e-13	1
C54D10.4	1.12667187420197e-12	1
ZC190.7	1.34561305851455e-12	1
Y62H9A.3	1.49393461572448e-12	1
F17E9.18	5.68680332792607e-12	1
ule-5	8.33102506345951e-12	1
Y43F8C.5	5.65677911616796e-11	1
F35C12.3	6.705105120064639e-11	1
clec-151	7.32661964157675e-11	1
Y62H9A.5	8.12320545273062e-11	1
irld-4	1.51428938364032e-10	1
M02B1.4	2.07108455623362e-10	1
D1054.10	2.4544912520394903e-10	1
ZC373.2	4.35899518090645e-10	1
W02D9.7	4.56221451690016e-10	1
W02D9.6	8.78307159382283e-10	1
nkb-2	1.05355263375332e-09	1
ttr-12	1.31918006607046e-09	1
F56F4.3	1.38073872631353e-09	1
Y105C5B.17	2.78474236805115e-09	1
F54F7.9	4.69405589118122e-09	1
R10D12.10	6.37992765761888e-09	1
F55B11.2	7.5958762893679e-09	1
ZK892.3	8.357435497663411e-09	1
C18H7.7	1.03163509546648e-08	1
Y57G11B.3	3.49591877870074e-08	1
ssp-37	4.39687903253537e-08	1
ttr-9	5.26954286427022e-08	1
nas-20	6.20949637173642e-08	1
C55C3.8	1.19088763690731e-07	1
F40D4.17	1.46122492897844e-07	1
F57C2.4	2.24566986327419e-07	1
ZK813.7	2.39304635354266e-07	1
ttr-14	3.48762061433401e-07	1
Y37D8A.19	4.14278276052297e-07	1
Y38H6C.15	6.02769140122592e-07	1
Y57G11C.23	7.25707163254476e-07	1
Y105E8A.27	1.11837611219823e-06	1
C04H5.7	1.53030355782287e-06	1
T08B6.4	5.50254905963193e-06	1
ZK795.2	6.33381855196463e-06	1
C14F11.4	1.32750888910775e-05	1
ZK813.1	2.48827286869268e-05	1
ZK262.2	2.77627076367403e-05	1
D1086.6	3.75310359164594e-05	1
try-10	4.96683087179446e-05	1
Y105C5B.18	5.32916379026875e-05	1
K08C9.2	6.52791657100274e-05	1
irld-3	6.68892693321292e-05	1
M162.7	7.6196689936253e-05	1
C28C12.11	8.06096752922339e-05	1
F21C3.7	0.0001319896397869	1
ttr-28	0.0002706453607122	1
F54F7.3	0.0009086047664087	1
chil-14	0.0013257511070146	1
T11F8.5	0.0013554935584808	1
B0218.5	0.0017941136756198	1
ZK84.2	0.0026609898357337	1
D1081.12	0.0035995400124731	1
bath-3	0.0043541982975628	1
H34I24.1	0.0044280274091691	1
D1086.17	0.0053377749594848	1
C01G12.9	0.0053791594966119	1
wht-4	0.0066003261379742	1
D1086.11	0.0088411340377427	1
C04G6.6	0.0088677603621029	1
F36G9.13	0.0099159585712836	1
Y39B6A.30	0.0104208597764688	1
tsp-18	0.0121602149938137	1
irld-18	0.0139793027952977	1
Y57A10A.1	0.0140883659216603	1
Y54F10BM.3	0.0165801789329589	1
M28.9	0.0174265734095565	1
C06C6.7	0.0212583054626767	1
T08B6.9	0.0259429285240688	1
Y54G2A.15	0.026559874378122	1
Y37E11AL.2	0.027726733415348	1
D2062.4	0.0285610051322504	1
dhhc-12	0.0291721677409753	1
ttr-42	0.0345740535177357	1
Y57G7A.6	0.034607519792396	1
Y43F8C.9	0.0370829234306075	1
acs-6	0.0395982436710411	1
F54D10.4	0.0427957187553714	1
R06C7.2	0.0434197745926084	1
Y66D12A.19	0.0436290176789315	1
Y54G2A.13	0.0446656672534261	1
Y49E10.10	0.0455996456178409	1
C16A11.3	0.046353728982833	1
spe-44	0.048680039356086	1
C16C8.12	0.0508438569642499	1
T02E1.7	0.051619978057227	1
F23H12.3	0.0516999772833321	1
Y53C12A.6	0.0587683051639841	1
chk-2	0.0624184827412041	1
ipla-4	0.0630589939361808	1
Y57A10A.7	0.0642400574866888	1
C30F12.4	0.0659390778512031	1
bath-7	0.069561872577643	1
bath-30	0.0724514219725209	1
K11H3.4	0.0725704425563565	1
B0379.2	0.0740152177814736	1
C16C8.20	0.0791862095437443	1
wago-10	0.0795853149798539	1
R03D7.2	0.0827209054257004	1
K12H6.2	0.0849403576495553	1
mbtr-1	0.0849777618465577	1
F23B2.7	0.0881170709279216	1
F31E8.5	0.0881974911870245	1
samt-1	0.091398961211941	1
Y53C10A.10	0.0937789471265053	1
icmt-1	0.0952663635690262	1
C16C8.14	0.0965129155560578	1
T28A8.8	0.0984335912228116	1
K12D12.5	0.0998259659479727	1
T12F5.2	0.101958651815487	1
T16H12.13	0.106708713134014	1
F21D9.2	0.111432768890731	1
F14H8.8	0.113560747639392	1
gpr-1	0.114029203182089	1
fbxa-206	0.121598261095154	1
inx-22	0.123152459748011	1
T05D4.5	0.1236053264707	1
Y65B4BL.7	0.123959313692219	1
syp-1	0.124724549027725	1
B0250.7	0.125134237874833	1
C05B5.12	0.125548779700082	1
lin-38	0.126605625761187	1
W01A8.2	0.127471778882958	1
E02H1.2	0.130589494605635	1
C17D12.7	0.131432347566213	1
B0207.7	0.131497097051155	1
F14D2.14	0.132662390191951	1
F14D2.15	0.133109410796641	1
Y39B6A.16	0.134206327215224	1
orc-3	0.135395747893451	1
Y39F10C.1	0.136538808151693	1
Y39B6A.42	0.137146959059892	1
