gene_short_name	scaled_TPM	group_number
T19C3.5	9.53061191661214e-17	1
aman-1	1.66617024386401e-16	1
C31H1.5	2.79691522098912e-16	1
Y73F4A.1	8.98109513095155e-16	1
lgc-26	1.2976411116469401e-15	1
lgc-25	1.5317759838272501e-15	1
F16B12.1	1.6511695144706501e-15	1
oac-9	1.94022324504534e-15	1
cup-4	2.17943510671717e-15	1
nas-20	2.3579302018272204e-15	1
lgc-28	2.4194067730717504e-15	1
mtd-1	2.48130269730495e-15	1
clec-178	2.6776122255381504e-15	1
F35C12.3	2.68925018011107e-15	1
M162.7	2.7239999937351602e-15	1
K07A1.6	3.1183075775413107e-15	1
F55B11.3	3.2426221141521404e-15	1
Y116A8C.3	3.3771709662841605e-15	1
Y62H9A.3	3.4353568432850705e-15	1
spe-12	4.05177305913469e-15	1
Y62H9A.4	4.07423400817332e-15	1
clec-222	4.10381473885032e-15	1
cof-2	4.67628958805889e-15	1
ZK1251.3	4.79091371379879e-15	1
T28A11.17	5.833976619902711e-15	1
ttr-1	6.09715142957129e-15	1
ttr-9	6.169578948197071e-15	1
Y105E8A.27	6.697161591332241e-15	1
mec-10	7.50626262523233e-15	1
ZK795.2	7.63115073906913e-15	1
F32E10.8	1.04152393464952e-14	1
T19H5.7	1.22663311073247e-14	1
C54D10.4	1.63859288549408e-14	1
Y43F8C.5	1.93195074004069e-14	1
nlp-54	1.94853294974594e-14	1
W03G11.2	2.26989357342228e-14	1
F01G12.18	2.2948276432286e-14	1
R03G8.6	2.40104774208177e-14	1
C55C2.4	2.6497468159763505e-14	1
Y57G11C.23	2.87965800951264e-14	1
snf-9	3.70478981966955e-14	1
F11C1.10	4.57355616907212e-14	1
nep-8	5.8398428488119e-14	1
ZC190.7	6.087312359265962e-14	1
F26B1.1	7.25971490324663e-14	1
F47E1.4	7.53095550672378e-14	1
W03D8.1	7.929991897054282e-14	1
T16D1.1	1.01623995102587e-13	1
srw-98	1.07006934660417e-13	1
srb-17	1.12765543732483e-13	1
nkb-2	1.16000916516662e-13	1
Y105C5B.18	1.27764668392891e-13	1
F56H1.10	1.38872554189975e-13	1
M04D8.5	1.39212324707774e-13	1
F57A8.6	1.70445240978044e-13	1
srb-12	1.79997407708828e-13	1
F33H1.6	2.41012883757058e-13	1
F54F7.9	3.13016709429063e-13	1
F07E5.8	3.30384157728816e-13	1
lgc-14	4.10409951834943e-13	1
Y42H9AR.2	4.25381154701956e-13	1
irld-11	6.23846676464786e-13	1
nas-22	6.37589599470153e-13	1
R160.5	8.70323681402922e-13	1
Y59E9AR.2	8.73310046163197e-13	1
T05B4.14	9.08869494428368e-13	1
tbx-38	1.00024158990558e-12	1
ule-3	1.11644407152135e-12	1
srbc-24	1.19219641990252e-12	1
nep-6	1.19535258149782e-12	1
best-8	1.58748248588168e-12	1
Y51A2B.4	1.62467209742844e-12	1
