gene_short_name	scaled_TPM	group_number
aman-1	6.54274612908702e-16	1
Y73F4A.1	8.898553435664e-16	1
mig-6	1.02518019275932e-15	1
dig-1	1.03367477011559e-15	1
H29C22.1	1.2625554969236901e-15	1
ttr-1	1.4682499606020201e-15	1
ule-3	2.7940418587379306e-15	1
Y62H9A.4	2.82830632077214e-15	1
F55B11.3	2.8765863010087507e-15	1
Y116A8C.3	3.1052446671831504e-15	1
lgc-28	3.92589877203144e-15	1
K07A1.6	4.140635532801701e-15	1
Y62H9A.5	4.53299462196934e-15	1
F32E10.8	4.842648873147751e-15	1
ZC373.2	4.84397422753462e-15	1
F35C12.3	6.811427689126841e-15	1
ZK265.7	8.32007946148585e-15	1
W02D9.6	8.549106777705551e-15	1
ZK795.2	9.82292862428842e-15	1
M162.7	1.05272918888277e-14	1
C04H5.7	1.35805539381015e-14	1
T19C3.5	1.38479289374337e-14	1
C31H1.5	1.57627074160715e-14	1
ttr-12	1.68427507273894e-14	1
oig-5	1.95234212852098e-14	1
Y105C5B.17	1.95681143209786e-14	1
C46E10.1	2.03404629221376e-14	1
nkb-2	2.59536905046062e-14	1
C28C12.11	2.88318688374612e-14	1
E02H9.7	3.0349742356571e-14	1
F07A5.4	3.91202059571917e-14	1
D1081.11	6.34246963532183e-14	1
F46F5.14	7.06938432697553e-14	1
R01H2.2	7.46026557687904e-14	1
mec-9	1.03731082310181e-13	1
C54G7.1	1.09610736021741e-13	1
F16H11.1	1.29156061392721e-13	1
F53H4.2	1.32037262002019e-13	1
F40H6.1	1.54872450637005e-13	1
lron-5	1.58957745497175e-13	1
F47E1.4	1.94155306585582e-13	1
F54B3.4	2.06165700758168e-13	1
F31E8.5	2.86261603986564e-13	1
snf-9	3.89874012674788e-13	1
ZK250.14	4.66371380653719e-13	1
Y42H9AR.2	1.42866906513339e-12	1
ZK84.2	2.87402556997453e-12	1
K06B4.15	3.81925834210349e-12	1
Y105C5B.18	4.03317621838092e-12	1
clec-151	8.92579965351942e-12	1
T08B6.9	1.00799232088001e-11	1
M70.1	1.6840790814211597e-11	1
F22E5.17	2.3549376363253e-11	1
F07H5.6	3.57230645858332e-11	1
ttr-42	4.7241156538964487e-11	1
D1054.10	5.5815986638495794e-11	1
D1081.12	1.32734546736148e-10	1
C14F11.4	1.75629414764062e-10	1
nlp-18	3.3594488129045703e-10	1
W02D9.7	4.33704599533811e-10	1
nep-10	6.51746715112714e-10	1
unc-17	1.75829994479079e-09	1
T02E1.7	2.8226542528868e-09	1
Y69E1A.3	3.98344725040763e-09	1
C29F4.3	1.28133177186748e-08	1
M28.9	1.5870356715423e-08	1
ZK813.7	1.70635529850439e-08	1
F35E2.9	2.19835142073916e-08	1
Y43F8C.9	3.11571654475194e-08	1
acc-1	3.13737408134617e-08	1
peel-1	3.14865408096535e-08	1
C09B9.2	3.28988219216502e-08	1
C55A6.11	4.65762738646633e-08	1
ZK622.5	6.60129380254036e-08	1
F02A9.1	7.2878159845221e-08	1
sro-1	8.27194174927429e-08	1
F21D9.2	1.16756928123172e-07	1
D2062.4	1.263816827935e-07	1
K07D4.4	1.56788090218795e-07	1
Y67D8B.5	2.27347691927315e-07	1
ttr-14	3.21002797587237e-07	1
nlp-21	3.36393987809606e-07	1
twk-40	3.51608297840704e-07	1
F57C2.4	3.77783250387365e-07	1
T08B6.4	5.47521732563176e-07	1
Y37D8A.19	7.70366433310563e-07	1
aexr-3	1.0113274206769e-06	1
Y38H6C.15	1.64510899382038e-06	1
F47G6.3	1.86500425291051e-06	1
C53B7.3	2.0660789389704e-06	1
F35H10.2	2.7786103521517e-06	1
Y48G10A.6	3.2246993269514e-06	1
nlp-9	5.50795752857876e-06	1
irld-14	5.96406325222699e-06	1
ZK813.3	6.02586035502158e-06	1
K11G9.5	7.10006878105949e-06	1
F14D7.8	1.35026585726815e-05	1
acp-3	1.54525140842829e-05	1
W02C12.2	2.32186214368281e-05	1
ccb-2	3.38620952367077e-05	1
F56C4.4	3.78277190815587e-05	1
D1086.6	4.69362577609844e-05	1
tsp-18	4.99330009889443e-05	1
frm-9	5.45156616868557e-05	1
Y116A8C.23	5.70007390972015e-05	1
K08C9.2	6.98018574935328e-05	1
H34I24.1	7.79865323375658e-05	1
Y51A2B.5	9.85047316081493e-05	1
F21C3.7	0.0001214854765716	1
ZK813.1	0.0001440095200217	1
snf-5	0.0001867825817808	1
ZK688.10	0.0002100476534131	1
lgc-13	0.0002615135646411	1
ZK892.5	0.0002760710723913	1
W03D8.9	0.0003319220314626	1
T22C1.9	0.0004493785187982	1
Y37E3.19	0.0005005225291885	1
flp-19	0.0005869008794652	1
hot-5	0.000843996305351	1
C25E10.17	0.0009722355954638	1
F17E9.4	0.00106901603899	1
twk-49	0.0010933628463776	1
F59A1.13	0.0013505439547439	1
clec-79	0.0014968532587797	1
Y67D8B.3	0.0015467618294205	1
Y47D3A.13	0.0019026331112062	1
npr-3	0.0022765177795799	1
unc-46	0.0036106652503373	1
F54F7.3	0.0036511061948888	1
Y57G11C.40	0.0047098406794774	1
ule-5	0.005032707521617	1
irld-8	0.0052503707893259	1
unc-3	0.0052908826904429	1
C04A11.1	0.0055039107931991	1
T28B8.6	0.0077234056202705	1
dmsr-7	0.0093126714538755	1
kin-24	0.0110698306339973	1
C29E4.14	0.0134697759052813	1
flp-17	0.0144634073683459	1
Y54G2A.15	0.0152458115780613	1
acr-14	0.0155778220615195	1
B0244.9	0.0186735580498509	1
F56B3.6	0.0248410787283283	1
npr-2	0.0255318528903145	1
B0207.7	0.0261073363347992	1
C09D4.2	0.028027039581795	1
F58D5.6	0.0287731927583818	1
D1086.17	0.0292080802728063	1
acr-9	0.0306217864023195	1
C05E7.3	0.0307701742342648	1
F10E7.9	0.0323401599417385	1
zig-8	0.0331512310444925	1
F10E9.10	0.0358373719251754	1
hot-7	0.0361983001100017	1
T06E4.5	0.0363779330870895	1
Y53F4B.51	0.0365403081812698	1
C53B7.2	0.0377461087740534	1
C24B5.1	0.038517346312546	1
F23F1.6	0.0389263106043655	1
VM106R.1	0.0394028894102224	1
acs-10	0.040513480415078	1
C03A3.1	0.0413267351565332	1
F55B11.2	0.0415509934366803	1
R04B3.2	0.0434144740547208	1
gst-40	0.0435010933531481	1
K09F6.13	0.0437016928257005	1
ckr-1	0.0440972688317694	1
unc-104	0.0443892434623643	1
B0238.12	0.0455487215720066	1
nlp-14	0.0473457091506974	1
Y57G11A.2	0.0476481111337988	1
B0563.7	0.0478311958299269	1
acc-4	0.0486061580736121	1
clec-123	0.0489877335056668	1
Y48B6A.5	0.0494356257391485	1
snn-1	0.0507523427945375	1
tes-1	0.0545531934815235	1
ggr-2	0.0556635165333186	1
R12B2.8	0.05611339422371	1
