gene_short_name	scaled_TPM	group_number
Y62H9A.4	2.1386340191220904e-15	1
D1086.6	2.89860276642227e-15	1
mig-6	5.229773027651051e-15	1
ule-3	6.77242443038003e-15	1
Y105C5B.17	7.0222165697098e-15	1
Y73F4A.1	7.5625735380125e-15	1
F55B11.3	9.60078565162002e-15	1
clec-178	1.2065974467583e-14	1
ttr-1	2.41888303625078e-14	1
F32E10.8	2.61386465170214e-14	1
ZK813.3	3.3153426419013105e-14	1
K07A1.6	4.5077690029572604e-14	1
F17E9.4	4.82640416342523e-14	1
ttr-14	5.45837472078514e-14	1
H29C22.1	1.03488977741727e-13	1
Y37H2A.10	1.79544030194939e-13	1
Y62H9A.3	1.36381342696693e-12	1
ule-5	5.09985324020203e-12	1
D1054.10	4.5675597955167e-11	1
Y62H9A.5	5.48493128750423e-11	1
irld-4	1.49643814792181e-10	1
K12D12.4	1.9636258020896e-10	1
Y43F8C.5	4.00283029293755e-10	1
ZC373.2	8.31361182883035e-10	1
W02D9.7	1.02096036502493e-09	1
F55B11.2	4.3765246893827505e-09	1
ZC190.8	5.09312552306061e-08	1
nkb-2	6.17274290730401e-08	1
C04H5.7	6.52173353023535e-08	1
ZK813.7	7.89285673639397e-08	1
K08C9.2	8.76322134895377e-08	1
ttr-9	1.45283658235772e-07	1
D1086.17	1.84188229081017e-07	1
wht-8	5.46607166847749e-07	1
Y57G11C.1143	6.25768131905153e-07	1
F58D5.8	9.7584267651114e-07	1
Y37D8A.19	1.02181950288051e-06	1
F57C2.4	1.57174760658937e-06	1
Y69H2.3	2.08804073884268e-06	1
T08B6.4	9.37203839482267e-06	1
C14F11.4	1.77995896619774e-05	1
ZK813.1	5.05178625233126e-05	1
ZK84.2	8.77194883190293e-05	1
C28C12.11	0.0001910715752024	1
best-6	0.0003983340545955	1
Y43F8C.9	0.0005447472422264	1
C04G6.6	0.0064942535415788	1
Y116A8C.3	0.0096585752898593	1
D1086.11	0.0103650154260851	1
F40H6.1	0.0137613895665826	1
ttr-28	0.0192672789441487	1
Y54G2A.15	0.027983352932166	1
M28.9	0.0407864820534886	1
bath-3	0.0470320377381017	1
F13D12.5	0.0693777760703465	1
F21D9.2	0.0778683695766235	1
ttr-42	0.091247599381941	1
epi-1	0.133443518040219	1
R148.4	0.138317497577126	1
C48B4.6	0.152836299711949	1
Y66D12A.19	0.168652031539487	1
Y69A2AR.32	0.196434152129482	1
T07F10.1	0.234813341015381	1
Y54E2A.8	0.250102097988624	1
Y54F10BM.12	0.253279724406982	1
K12H6.2	0.25599951926467	1
dnj-28	0.272294154677523	1
B0035.6	0.291853642667358	1
Y39B6A.18	0.298361311097791	1
B0393.6	0.333879435667013	1
sygl-1	0.341156583657613	1
mct-5	0.345431587063052	1
klp-19	0.347085108596822	1
zim-1	0.358415342437446	1
hpr-17	0.371636726462764	1
Y69A2AR.19	0.377087731367826	1
Y71F9AL.4	0.388156326397555	1
pgl-3	0.395796884458252	1
orc-3	0.422397616377755	1
gla-3	0.426345355501652	1
W03C9.2	0.428747761979322	1
F55G1.5	0.445339581463643	1
prg-1	0.447616824164941	1
oma-1	0.461492915695102	1
snpc-3.2	0.478210459235484	1
Y48G1C.1	0.478851243687686	1
Y57G11A.2	0.487803163131065	1
inx-14	0.488117369073677	1
C46A5.5	0.495605869372214	1
hcp-1	0.495995854611146	1
mut-14	0.500675137113687	1
mex-5	0.501287796558845	1
C29A12.1	0.509046355429383	1
Y81G3A.1	0.519618284685854	1
Y54G11A.3	0.533049785542834	1
tim-1	0.535501091601927	1
C08F8.3	0.555316527095531	1
eme-1	0.573362918641231	1
bath-30	0.597952820832596	1
D1081.9	0.600316576696994	1
Y47G6A.3	0.600971916427821	1
egg-6	0.605274410586711	1
D1081.12	0.613056173764321	1
tofu-4	0.617372967861205	1
W05F2.3	0.621068201305696	1
F35G12.5	0.62161475484635	1
F45F2.11	0.621863528929075	1
duo-1	0.635813334667961	1
btb-20	0.637122461151318	1
Y111B2A.3	0.637968730556762	1
madf-8	0.651687951142548	1
F55A11.4	0.665267983968973	1
ogr-2	0.665674188973421	1
csc-1	0.670975648546999	1
lst-1	0.676715126428049	1
polh-1	0.676924946357576	1
C27D9.1	0.677678494830577	1
cep-1	0.688211645377545	1
C27B7.5	0.692591219099716	1
pri-2	0.709012579542501	1
immt-2	0.709832797126296	1
C41G7.3	0.716073465591939	1
hcp-4	0.717508635823775	1
bath-4	0.719624392059038	1
him-10	0.721237133413021	1
spd-5	0.72213512250517	1
C30F12.4	0.72803806295321	1
cdc-7	0.737588642006141	1
set-5	0.741632000527192	1
rec-1	0.766457494378996	1
C42C1.8	0.768066684126074	1
sws-1	0.772689861025104	1
tag-153	0.794666125798276	1
C38D4.4	0.798683692089839	1
knl-3	0.80028771691245	1
F56C9.3	0.800835221630897	1
hcp-3	0.808565508149342	1
dhs-11	0.811306544907237	1
fbf-2	0.818461477455639	1
timm-17B.2	0.821930143034418	1
mis-12	0.825442088006322	1
F07H5.10	0.825517267518593	1
T28A8.6	0.833254226082649	1
T12F5.2	0.840173265677367	1
F25H8.1	0.846184895657909	1
C48B4.7	0.849925794960544	1
T16A9.5	0.851410227821232	1
tdpt-1	0.864081174899042	1
C16C8.11	0.86408572230635	1
mut-7	0.864901466738186	1
Y14H12B.2	0.889028559314901	1
EEED8.14	0.897187163362626	1
Y42H9B.3	0.897487884026108	1
F53H4.2	0.900176226647636	1
Y49F6B.2	0.904888250982157	1
ppw-1	0.906099067364603	1
T07F10.5	0.906464334527914	1
H20J04.4	0.913438788042417	1
Y102A5C.2	0.916714200941692	1
brd-1	0.929215458299157	1
chs-1	0.935569894643864	1
ife-3	0.938251799419155	1
C28C12.12	0.941024213897961	1
Y48A5A.1	0.947849319398162	1
C48B4.10	0.954560677036201	1
H38K22.7	0.960192853408391	1
F57A10.4	0.962481101308727	1
Y105E8A.8	0.965279072250486	1
fbxa-197	0.969633800383144	1
F32A11.3	0.969821582794747	1
polg-1	0.975462063797675	1
C01G8.1	0.976423208841928	1
era-1	0.984548867019443	1
M01A10.1	0.988116881864166	1
deps-1	0.992902225054117	1
Y47G6A.25	0.995612141926589	1
psf-3	0.997013301135127	1
Y53F4B.9	1.00861501871383	1
C45G9.2	1.01001022502256	1
chaf-1	1.01281732720128	1
rha-2	1.02201768554302	1
nspc-17	1.02702531635084	1
rog-1	1.02844903782537	1
Y47G6A.14	1.03923294931978	1
F21F3.4	1.04305556653948	1
mom-2	1.04403834711223	1
F56D6.13	1.04773555797662	1
set-32	1.06120648542262	1
C54G4.9	1.07477828915097	1
K06A5.2	1.07592668650564	1
C16C8.14	1.09221412625835	1
F14D2.11	1.09261529937088	1
F33E11.2	1.09574036608682	1
D1086.7	1.10186113417957	1
Y53F4A.2	1.10539986870349	1
T22H9.1	1.10554922552288	1
nxf-2	1.11399653772068	1
such-1	1.11979345286288	1
B0304.4	1.12514799100816	1
C48B4.9	1.12806707902143	1
atm-1	1.13389509534803	1
C34E10.10	1.13582908831571	1
Y54E10A.12	1.13799078320894	1
K06A1.2	1.1469094769193	1
coh-3	1.1483753469221	1
K11D12.13	1.15646059791334	1
elpc-3	1.1592526393075	1
set-9	1.16089423289511	1
mrps-22	1.16241843815466	1
CD4.8	1.16970772908775	1
ZK596.2	1.17680507310248	1
Y39B6A.33	1.17765411751247	1
fbxa-145	1.18497399571766	1
Y57G11B.5	1.1878752002703	1
C50C3.1	1.18812537732418	1
air-2	1.1967840615899	1
C46G7.5	1.19901405167722	1
Y37B11A.2	1.19936372789105	1
C48B6.2	1.20660633489916	1
C35D10.7	1.20660784198962	1
fog-2	1.20805083062734	1
T28A8.5	1.20874697787444	1
glh-3	1.22314057546422	1
F19F10.11	1.2401861251207	1
his-62	1.24175692565245	1
Y75D11A.3	1.25582449297068	1
daz-1	1.25610418410529	1
Y51H4A.15	1.25636328861675	1
fbxa-107	1.27637807920588	1
gsp-3	1.28302195785469	1
Y54F10BM.1	1.28407981391206	1
dsb-2	1.2881176692996	1
F53A3.7	1.28831577423585	1
T28A8.8	1.29328909289071	1
ceh-92	1.29715230223518	1
F16C3.4	1.29944030229016	1
ent-1	1.31076361223117	1
dnj-17	1.31226723858219	1
lin-3	1.31663280747419	1
ZK287.7	1.31959766887828	1
F59A3.12	1.32381167048714	1
apn-1	1.32425799451767	1
C14B1.12	1.32427198952171	1
F33H1.3	1.33457929760304	1
dut-1	1.34193413683265	1
F25G6.9	1.36522264333873	1
xpf-1	1.3873568292414	1
toca-2	1.38740719881793	1
ZK1067.2	1.38798319198062	1
E02H9.3	1.39050085044247	1
ulp-5	1.39674070025424	1
C01B10.8	1.40689918661138	1
T10B5.3	1.40871309551205	1
adsl-1	1.43459345006564	1
F56A11.6	1.4491182635346	1
Y67H2A.7	1.48283980912658	1
F35H10.2	1.50182979078886	1
F18A1.7	1.50320928395367	1
R05D3.12	1.50396746878419	1
dhhc-6	1.51259019025329	1
